Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (linux64 - "Oracle Linux Server 9.4")

CPU model: Intel(R) Xeon(R) CPU E5-2660 v4 @ 2.00GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 28 physical cores, 28 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  3599.374167438
SoftMemLimit  16
NumericFocus  1
Threads  1

Academic license 2690100 - for non-commercial use only - registered to ju___@uclm.es
Optimize a model with 1785 rows, 480 columns and 6060 nonzeros
Model fingerprint: 0x4086ff65
Variable types: 24 continuous, 456 integer (456 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+13]
  Objective range  [5e+09, 7e+09]
  Bounds range     [2e+03, 1e+04]
  RHS range        [1e+00, 2e+14]
Warning: Model contains large matrix coefficient range
Warning: Model contains large objective coefficients
Warning: Model contains large rhs
Found heuristic solution: objective -0.0000000
Presolve removed 338 rows and 12 columns
Presolve time: 0.04s
Presolved: 1447 rows, 468 columns, 6036 nonzeros
Variable types: 24 continuous, 444 integer (444 binary)

Root relaxation: objective 7.591680e+10, 166 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 7.5917e+10    0    4   -0.00000 7.5917e+10      -     -    0s
H    0     0                    1.416960e+10 7.5917e+10   436%     -    0s
     0     0 7.5917e+10    0   30 1.4170e+10 7.5917e+10   436%     -    0s
H    0     0                    3.300480e+10 7.5917e+10   130%     -    0s
H    0     0                    3.876480e+10 7.5917e+10  95.8%     -    0s
     0     0 7.5917e+10    0   22 3.8765e+10 7.5917e+10  95.8%     -    0s
     0     0 7.5917e+10    0    4 3.8765e+10 7.5917e+10  95.8%     -    0s
H    0     0                    4.584960e+10 7.5917e+10  65.6%     -    0s
     0     0 7.5917e+10    0    6 4.5850e+10 7.5917e+10  65.6%     -    0s
     0     0 7.5917e+10    0    6 4.5850e+10 7.5917e+10  65.6%     -    0s
H    0     0                    5.051520e+10 7.5917e+10  50.3%     -    0s
     0     0 7.5917e+10    0    5 5.0515e+10 7.5917e+10  50.3%     -    0s
H    0     0                    6.336000e+10 7.5917e+10  19.8%     -    0s
     0     0 7.5917e+10    0    2 6.3360e+10 7.5917e+10  19.8%     -    0s
H    0     0                    7.044480e+10 7.5917e+10  7.77%     -    0s
     0     0 7.5917e+10    0    2 7.0445e+10 7.5917e+10  7.77%     -    0s
     0     0 7.5917e+10    0    2 7.0445e+10 7.5917e+10  7.77%     -    0s
     0     2 7.5917e+10    0    2 7.0445e+10 7.5917e+10  7.77%     -    0s
  2698   223 7.5917e+10   57   13 7.0445e+10 7.5917e+10  7.77%   7.4    5s
* 4474   278              54    7.125120e+10 7.5917e+10  6.55%   1.2    8s
  4775   174 infeasible   49      7.1251e+10 7.5917e+10  6.55%   2.7   10s
  5683    75 infeasible   41      7.1251e+10 7.5917e+10  6.55%   7.4   15s
  6732    84 7.5917e+10   48   29 7.1251e+10 7.5917e+10  6.55%  11.0   20s
  7649    71 7.5917e+10   39   21 7.1251e+10 7.5917e+10  6.55%  13.7   25s
  8626    76 7.5917e+10   42   30 7.1251e+10 7.5917e+10  6.55%  16.0   30s
  9554   371 infeasible   61      7.1251e+10 7.5917e+10  6.55%  17.1   35s
 10473   560 7.5917e+10   53    7 7.1251e+10 7.5917e+10  6.55%  17.9   40s
 11565   710 7.5917e+10   46   15 7.1251e+10 7.5917e+10  6.55%  19.2   45s
 12638   785 infeasible   54      7.1251e+10 7.5917e+10  6.55%  20.5   50s
 13597   900 7.5917e+10   57   12 7.1251e+10 7.5917e+10  6.55%  21.3   55s
 14578  1033 infeasible   53      7.1251e+10 7.5917e+10  6.55%  22.0   60s
 15582  1113 infeasible   59      7.1251e+10 7.5917e+10  6.55%  22.7   65s
 16507  1166 7.5917e+10   50   10 7.1251e+10 7.5917e+10  6.55%  23.4   70s
 17317  1186 7.5917e+10   53    8 7.1251e+10 7.5917e+10  6.55%  24.0   75s
 18246  1236 7.5917e+10   60   15 7.1251e+10 7.5917e+10  6.55%  24.5   80s
 18959  1295 7.5917e+10   38   40 7.1251e+10 7.5917e+10  6.55%  24.9   86s
 19617  1347 7.5917e+10   53   24 7.1251e+10 7.5917e+10  6.55%  25.0   90s
 20367  1411 7.5917e+10   59   34 7.1251e+10 7.5917e+10  6.55%  25.3   95s
 21047  1511 7.5917e+10   42   20 7.1251e+10 7.5917e+10  6.55%  25.7  100s
 21809  1607 7.5917e+10   52   21 7.1251e+10 7.5917e+10  6.55%  26.1  105s
 22557  1733 7.5917e+10   45   18 7.1251e+10 7.5917e+10  6.55%  26.4  110s
 23394  1737 7.5917e+10   48   19 7.1251e+10 7.5917e+10  6.55%  26.7  115s
 24080  1784 infeasible   62      7.1251e+10 7.5917e+10  6.55%  27.1  120s
 24973  1857 7.5917e+10   60    6 7.1251e+10 7.5917e+10  6.55%  27.4  125s
 25845  1929 7.5917e+10   46   24 7.1251e+10 7.5917e+10  6.55%  27.7  130s
 26661  2029 infeasible   62      7.1251e+10 7.5917e+10  6.55%  27.9  135s
