Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (linux64 - "Oracle Linux Server 9.4")

CPU model: Intel(R) Xeon(R) CPU E5-2660 v4 @ 2.00GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 28 physical cores, 28 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  3597.446784014
SoftMemLimit  16
NumericFocus  1
Threads  1

Academic license 2690100 - for non-commercial use only - registered to ju___@uclm.es
Optimize a model with 8667 rows, 2074 columns and 32620 nonzeros
Model fingerprint: 0xefd6605d
Variable types: 48 continuous, 2026 integer (2026 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+13]
  Objective range  [1e+09, 5e+09]
  Bounds range     [2e+03, 1e+04]
  RHS range        [1e+00, 2e+14]
Warning: Model contains large matrix coefficient range
Warning: Model contains large objective coefficients
Warning: Model contains large rhs
Found heuristic solution: objective -0.0000000
Presolve removed 1421 rows and 1 columns
Presolve time: 0.14s
Presolved: 7246 rows, 2073 columns, 26279 nonzeros
Variable types: 48 continuous, 2025 integer (2025 binary)

Root relaxation: objective 6.837596e+10, 639 iterations, 0.03 seconds (0.02 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 6.8376e+10    0  168   -0.00000 6.8376e+10      -     -    0s
H    0     0                    1.850205e+10 6.8376e+10   270%     -    0s
     0     0 6.8376e+10    0  139 1.8502e+10 6.8376e+10   270%     -    1s
     0     0 6.8376e+10    0  128 1.8502e+10 6.8376e+10   270%     -    1s
     0     0 6.8376e+10    0  131 1.8502e+10 6.8376e+10   270%     -    1s
H    0     0                    2.348315e+10 6.8376e+10   191%     -    1s
H    0     0                    3.273418e+10 6.8376e+10   109%     -    1s
     0     0 6.8376e+10    0  115 3.2734e+10 6.8376e+10   109%     -    1s
     0     0 6.8376e+10    0  178 3.2734e+10 6.8376e+10   109%     -    2s
H    0     0                    3.771528e+10 6.8376e+10  81.3%     -    2s
     0     0 6.8376e+10    0  163 3.7715e+10 6.8376e+10  81.3%     -    2s
     0     0 6.8376e+10    0   31 3.7715e+10 6.8376e+10  81.3%     -    3s
     0     0 6.8376e+10    0   31 3.7715e+10 6.8376e+10  81.3%     -    3s
     0     0 6.8376e+10    0   30 3.7715e+10 6.8376e+10  81.3%     -    3s
     0     0 6.8376e+10    0   24 3.7715e+10 6.8376e+10  81.3%     -    3s
H    0     0                    4.079895e+10 6.8376e+10  67.6%     -    3s
H    0     0                    5.463596e+10 6.8376e+10  25.1%     -    3s
     0     2 6.8376e+10    0   16 5.4636e+10 6.8376e+10  25.1%     -    4s
    27    20 6.8376e+10   15   87 5.4636e+10 6.8376e+10  25.1%  68.0    5s
H   52    37                    5.607596e+10 6.8376e+10  21.9%  54.7    5s
H  108    64                    5.751596e+10 6.8376e+10  18.9%  40.1    7s
   352   226 6.8376e+10   67   61 5.7516e+10 6.8376e+10  18.9%  42.5   10s
   534   348 6.8376e+10   50   60 5.7516e+10 6.8376e+10  18.9%  40.6   15s
   674   435 6.8376e+10   42   28 5.7516e+10 6.8376e+10  18.9%  53.4   20s
   690   446 6.8376e+10   42   16 5.7516e+10 6.8376e+10  18.9%  52.2   25s
   770   489 6.8376e+10   59   45 5.7516e+10 6.8376e+10  18.9%  89.1   30s
   983   486 6.8376e+10   75  105 5.7516e+10 6.8376e+10  18.9%  77.4   35s
  1062   512 6.8376e+10   78   72 5.7516e+10 6.8376e+10  18.9%  78.3   40s
H 1126   525                    5.926598e+10 6.8376e+10  15.4%  75.3   43s
  1174   546 6.8376e+10   63  107 5.9266e+10 6.8376e+10  15.4%  74.8   45s
  1298   607 6.8376e+10   45  114 5.9266e+10 6.8376e+10  15.4%  70.8   50s
  1556   685 6.8376e+10   38  144 5.9266e+10 6.8376e+10  15.4%  64.2   56s
  1746   762 6.8376e+10   74   45 5.9266e+10 6.8376e+10  15.4%  60.5   60s
  2068   921 infeasible   53      5.9266e+10 6.8376e+10  15.4%  57.4   65s
  2469  1020 6.0972e+10  103   62 5.9266e+10 6.8376e+10  15.4%  51.9   70s
H 2703  1179                    6.005711e+10 6.8376e+10  13.9%  51.0   74s
  2713  1183 6.8376e+10   74   91 6.0057e+10 6.8376e+10  13.9%  50.9   75s
  2953  1318 6.8376e+10   73   48 6.0057e+10 6.8376e+10  13.9%  50.1   80s
  3272  1406 6.8376e+10   69   64 6.0057e+10 6.8376e+10  13.9%  48.2   85s
H 3302  1303                    6.385196e+10 6.8376e+10  7.09%  48.0   85s
  3587  1299 infeasible   79      6.3852e+10 6.8376e+10  7.09%  46.9   90s
  4038  1333 6.8376e+10  107   32 6.3852e+10 6.8376e+10  7.09%  44.7   95s
  4382  1318 6.8376e+10   76   70 6.3852e+10 6.8376e+10  7.09%  43.9  100s
  4673  1303 6.8376e+10   78   86 6.3852e+10 6.8376e+10  7.09%  44.7  105s
  4889  1304 6.8376e+10   76   94 6.3852e+10 6.8376e+10  7.09%  44.9  110s
  5274  1330 infeasible   85      6.3852e+10 6.8376e+10  7.09%  43.4  115s
