Item ident;Id truck;Id stack;Item code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
0091017700_08062023003950;P209574901;P209574901_1;A1;0;0;0;1010;1206;785
0091017700_08062023001574;P209574901;P209574901_1;A2;0;0;785;1010;1206;1570
0091017700_08062023005052;P209574901;P209574901_1;A3;0;0;1570;1010;1206;2355
0091017700_08062023004962;P209574901;P209574901_2;B1;0;1440;0;1200;2440;975
0091017700_08062023002224;P209574901;P209574901_2;B2;0;1440;975;1200;2440;1905
0091017700_08062023004421;P209574901;P209574901_2;B3;0;1440;1905;1200;2440;2835
0091017700_08062023001574;P209574901;P209574901_3;C1;1010;0;0;2216;1010;785
0091017700_08062023003950;P209574901;P209574901_3;C2;1010;0;785;2216;1010;1570
0091017700_08062023005052;P209574901;P209574901_3;C3;1010;0;1570;2216;1010;2355
0091017700_08062023001574;P209574901;P209574901_4;D1;1200;1206;0;2406;2216;785
0091017700_08062023001574;P209574901;P209574901_4;D2;1200;1206;785;2406;2216;1570
0091017700_08062023003950;P209574901;P209574901_4;D3;1200;1206;1570;2406;2216;2355
0091017700_08062023004962;P209574901;P209574901_5;E1;2406;206;0;3606;1206;975
0091017700_08062023004421;P209574901;P209574901_5;E2;2406;206;975;3606;1206;1905
0091017700_08062023004962;P209574901;P209574901_5;E3;2406;206;1905;3606;1206;2835
0091017700_08062023004421;P209574901;P209574901_6;F1;2406;1206;0;3606;2206;975
0091017700_08062023004962;P209574901;P209574901_6;F2;2406;1206;975;3606;2206;1905
0091017700_08062023004962;P209574901;P209574901_6;F3;2406;1206;1905;3606;2206;2835
0091017700_08062023005052;P209574901;P209574901_7;G1;3606;0;0;4616;1206;785
0091017700_08062023001574;P209574901;P209574901_7;G2;3606;0;785;4616;1206;1570
0091017700_08062023005052;P209574901;P209574901_7;G3;3606;0;1570;4616;1206;2355
0091017700_08062023005052;P209574901;P209574901_8;H1;3606;1206;0;4616;2412;785
0091017700_08062023005052;P209574901;P209574901_8;H2;3606;1206;785;4616;2412;1570
0091017700_08062023005052;P209574901;P209574901_8;H3;3606;1206;1570;4616;2412;2355
0091017700_08062023002253;P209574901;P209574901_9;I1;4616;6;0;5616;1206;975
0091017700_08062023003806;P209574901;P209574901_9;I2;4616;6;975;5616;1206;1905
0091017700_08062023005615;P209574901;P209574901_9;I3;4616;6;1905;5616;1206;2835
0091017700_08062023002253;P209574901;P209574901_10;J1;4616;1206;0;5816;2206;975
0091017700_08062023000115;P209574901;P209574901_10;J2;4616;1206;975;5816;2206;1905
0091017700_08062023002253;P209574901;P209574901_10;J3;4616;1206;1905;5816;2206;2835
0091017700_08062023000049;P209574901;P209574901_11;K1;5816;0;0;6826;1206;985
0091017700_08062023003241;P209574901;P209574901_11;K2;5816;0;985;6826;1206;1970
0091017700_08062023003353;P209574901;P209574901_11;K3;5816;0;1970;6826;1206;2955
0091017700_08062023003905;P209574901;P209574901_12;L1;5816;1440;0;7016;2440;975
0091017700_08062023001801;P209574901;P209574901_12;L2;5816;1440;975;7016;2440;1905
0091017700_08062023002098;P209574901;P209574901_12;L3;5816;1440;1905;7016;2440;2835
0091017700_08062023000049;P209574901;P209574901_13;M1;6826;0;0;7836;1206;985
0091017700_08062023000049;P209574901;P209574901_13;M2;6826;0;985;7836;1206;1970
0091017700_08062023003241;P209574901;P209574901_13;M3;6826;0;1970;7836;1206;2955
0091017700_08062023000049;P209574901;P209574901_14;N1;7836;0;0;8846;1206;985
0091017700_08062023003353;P209574901;P209574901_14;N2;7836;0;985;8846;1206;1970
0091017700_08062023003353;P209574901;P209574901_14;N3;7836;0;1970;8846;1206;2955
0091017700_08062023003905;P209574901;P209574901_15;O1;7836;1206;0;9036;2206;975
0091017700_08062023002098;P209574901;P209574901_15;O2;7836;1206;975;9036;2206;1905
0091017700_08062023005615;P209574901;P209574901_15;O3;7836;1206;1905;9036;2206;2835
0091017700_08062023005615;P209574901;P209574901_16;P1;8846;206;0;10046;1206;975
0091017700_08062023003905;P209574901;P209574901_16;P2;8846;206;975;10046;1206;1905
0091017700_08062023005615;P209574901;P209574901_16;P3;8846;206;1905;10046;1206;2835
0091017700_08062023002103;P209574901;P209574901_17;Q1;9036;1206;0;10036;2406;975
0091017700_08062023002098;P209574901;P209574901_17;Q2;9036;1206;975;10036;2406;1905
0091017700_08062023005448;P209574901;P209574901_17;Q3;9036;1206;1905;10036;2406;2835
0091017700_08062023005704;P209574901;P209574901_18;R1;10046;206;0;11246;1206;975
0091017700_08062023002098;P209574901;P209574901_18;R2;10046;206;975;11246;1206;1905
0091017700_08062023005814;P209574901;P209574901_18;R3;10046;206;1905;11246;1206;2835
0091017700_08062023003806;P209574901;P209574901_19;S1;10046;1206;0;11046;2406;975
0091017700_08062023001801;P209574901;P209574901_19;S2;10046;1206;975;11046;2406;1905
0091017700_08062023005615;P209574901;P209574901_19;S3;10046;1206;1905;11046;2406;2835
0091017700_08062023003905;P209574901;P209574901_20;T1;11046;1206;0;12246;2206;975
0091017700_08062023001801;P209574901;P209574901_20;T2;11046;1206;975;12246;2206;1905
0091017700_08062023002098;P209574901;P209574901_20;T3;11046;1206;1905;12246;2206;2835
0091017700_08062023005814;P209574901;P209574901_21;U1;12246;440;0;13446;1440;975
0091017700_08062023002103;P209574901;P209574901_21;U2;12246;440;975;13446;1440;1905
0091017700_08062023003905;P209574901;P209574901_21;U3;12246;440;1905;13446;1440;2835
0091017700_08062023002098;P209574901;P209574901_22;V1;12246;1440;0;13446;2440;975
0091017700_08062023001801;P209574901;P209574901_22;V2;12246;1440;975;13446;2440;1905
0091017700_08062023005615;P209574901;P209574901_22;V3;12246;1440;1905;13446;2440;2835
