Id truck;Id stack;Stack code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
P209574901;P209574901_1;A;0;0;0;1010;1206;2355
P209574901;P209574901_2;B;0;1440;0;1200;2440;2835
P209574901;P209574901_3;C;1010;0;0;2216;1010;2355
P209574901;P209574901_4;D;1200;1206;0;2406;2216;2355
P209574901;P209574901_5;E;2406;206;0;3606;1206;2835
P209574901;P209574901_6;F;2406;1206;0;3606;2206;2835
P209574901;P209574901_7;G;3606;0;0;4616;1206;2355
P209574901;P209574901_8;H;3606;1206;0;4616;2412;2355
P209574901;P209574901_9;I;4616;6;0;5616;1206;2835
P209574901;P209574901_10;J;4616;1206;0;5816;2206;2835
P209574901;P209574901_11;K;5816;0;0;6826;1206;2955
P209574901;P209574901_12;L;5816;1440;0;7016;2440;2835
P209574901;P209574901_13;M;6826;0;0;7836;1206;2955
P209574901;P209574901_14;N;7836;0;0;8846;1206;2955
P209574901;P209574901_15;O;7836;1206;0;9036;2206;2835
P209574901;P209574901_16;P;8846;206;0;10046;1206;2835
P209574901;P209574901_17;Q;9036;1206;0;10036;2406;2835
P209574901;P209574901_18;R;10046;206;0;11246;1206;2835
P209574901;P209574901_19;S;10046;1206;0;11046;2406;2835
P209574901;P209574901_20;T;11046;1206;0;12246;2206;2835
P209574901;P209574901_21;U;12246;440;0;13446;1440;2835
P209574901;P209574901_22;V;12246;1440;0;13446;2440;2835
