Id truck;Id stack;Stack code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
P199630901;P199630901_1;A;0;0;0;1200;1000;2835
P199630901;P199630901_2;B;0;1440;0;1200;2440;2835
P199630901;P199630901_3;C;1200;440;0;2400;1440;2835
P199630901;P199630901_4;D;2400;440;0;3600;1440;2835
P199630901;P199630901_5;E;2400;1440;0;3600;2440;2835
P199630901;P199630901_6;F;3600;0;0;4800;1000;2835
P199630901;P199630901_7;G;3600;1440;0;4800;2440;2835
P199630901;P199630901_8;H;4800;440;0;6000;1440;2835
P199630901;P199630901_9;I;6000;440;0;7200;1440;2835
P199630901;P199630901_10;J;7200;0;0;8400;1000;2835
P199630901;P199630901_11;K;7200;1000;0;8400;2000;2835
P199630901;P199630901_12;L;8400;0;0;9600;1000;1905
P199630901;P199630901_13;M;8400;1000;0;9600;2000;1905
P199630901;P199630901_14;N;9600;0;0;10800;1000;1905
P199630901;P199630901_15;O;9600;1000;0;10800;2000;1905
P199630901;P199630901_16;P;10800;0;0;11800;1200;1905
