Item ident;Id truck;Id stack;Item code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
0091017200_14062023000006;P199630901;P199630901_1;A1;0;1200;0;1200;2200;975
0091017200_14062023000109;P199630901;P199630901_1;A2;0;1200;975;1200;2200;1905
0091017200_14062023000119;P199630901;P199630901_1;A3;0;1200;1905;1200;2200;2835
0091017200_14062023000046;P199630901;P199630901_2;B1;1200;0;0;2200;1200;975
0091017200_14062023000026;P199630901;P199630901_2;B2;1200;0;975;2200;1200;1905
0091017200_14062023000109;P199630901;P199630901_2;B3;1200;0;1905;2200;1200;2835
0091017200_14062023000046;P199630901;P199630901_3;C1;1200;1440;0;2400;2440;975
0091017200_14062023000016;P199630901;P199630901_3;C2;1200;1440;975;2400;2440;1905
0091017200_14062023000051;P199630901;P199630901_3;C3;1200;1440;1905;2400;2440;2835
0091017200_14062023000006;P199630901;P199630901_4;D1;2200;0;0;3400;1000;975
0091017200_14062023000011;P199630901;P199630901_4;D2;2200;0;975;3400;1000;1905
0091017200_14062023000026;P199630901;P199630901_4;D3;2200;0;1905;3400;1000;2835
0091017200_14062023000109;P199630901;P199630901_5;E1;2400;1440;0;3600;2440;975
0091017200_14062023000051;P199630901;P199630901_5;E2;2400;1440;975;3600;2440;1905
0091017200_14062023000102;P199630901;P199630901_5;E3;2400;1440;1905;3600;2440;2835
0091017200_14062023000011;P199630901;P199630901_6;F1;3400;0;0;4400;1200;975
0091017200_14062023000046;P199630901;P199630901_6;F2;3400;0;975;4400;1200;1905
0091017200_14062023000109;P199630901;P199630901_6;F3;3400;0;1905;4400;1200;2835
0091017200_14062023000006;P199630901;P199630901_7;G1;3600;1440;0;4800;2440;975
0091017200_14062023000006;P199630901;P199630901_7;G2;3600;1440;975;4800;2440;1905
0091017200_14062023000016;P199630901;P199630901_7;G3;3600;1440;1905;4800;2440;2835
0091017200_14062023000109;P199630901;P199630901_8;H1;4400;40;0;5400;1240;975
0091017200_14062023000026;P199630901;P199630901_8;H2;4400;40;975;5400;1240;1905
0091017200_14062023000092;P199630901;P199630901_8;H3;4400;40;1905;5400;1240;2835
0091017200_14062023000051;P199630901;P199630901_9;I1;5400;0;0;6600;1000;975
0091017200_14062023000016;P199630901;P199630901_9;I2;5400;0;975;6600;1000;1905
0091017200_14062023000046;P199630901;P199630901_9;I3;5400;0;1905;6600;1000;2835
0091017200_14062023000011;P199630901;P199630901_10;J1;5400;1240;0;6600;2240;975
0091017200_14062023000026;P199630901;P199630901_10;J2;5400;1240;975;6600;2240;1905
0091017200_14062023000026;P199630901;P199630901_10;J3;5400;1240;1905;6600;2240;2835
0091017200_14062023000006;P199630901;P199630901_11;K1;6600;0;0;7800;1000;975
0091017200_14062023000011;P199630901;P199630901_11;K2;6600;0;975;7800;1000;1905
0091017200_14062023000046;P199630901;P199630901_11;K3;6600;0;1905;7800;1000;2835
0091017200_14062023000031;P199630901;P199630901_12;L1;6600;1240;0;7600;2440;975
0091017200_14062023000031;P199630901;P199630901_12;L2;6600;1240;975;7600;2440;1905
0091017200_14062023000094;P199630901;P199630901_13;M1;7600;1240;0;8600;2440;975
0091017200_14062023000031;P199630901;P199630901_13;M2;7600;1240;975;8600;2440;1905
0091017200_14062023000094;P199630901;P199630901_14;N1;7800;0;0;8800;1200;975
0091017200_14062023000094;P199630901;P199630901_14;N2;7800;0;975;8800;1200;1905
0091017200_14062023000127;P199630901;P199630901_15;O1;8600;1240;0;9800;2240;975
0091017200_14062023000121;P199630901;P199630901_15;O2;8600;1240;975;9800;2240;1905
0091017200_14062023000127;P199630901;P199630901_16;P1;8800;0;0;9800;1200;975
0091017200_14062023000031;P199630901;P199630901_16;P2;8800;0;975;9800;1200;1905
0091017200_14062023000094;P199630901;P199630901_17;Q1;9800;240;0;11000;1240;975
0091017200_14062023000031;P199630901;P199630901_17;Q2;9800;240;975;11000;1240;1905
0091017200_14062023000121;P199630901;P199630901_18;R1;9800;1240;0;11000;2240;975
0091017200_14062023000094;P199630901;P199630901_18;R2;9800;1240;975;11000;2240;1905
0091017200_14062023000094;P199630901;P199630901_19;S1;11000;40;0;12000;1240;975
0091017200_14062023000094;P199630901;P199630901_19;S2;11000;40;975;12000;1240;1905
0091017200_14062023000031;P199630901;P199630901_20;T1;11000;1440;0;12200;2440;975
0091017200_14062023000121;P199630901;P199630901_20;T2;11000;1440;975;12200;2440;1905
0091017200_14062023000127;P199630901;P199630901_21;U1;12000;0;0;13200;1000;975
0091017200_14062023000031;P199630901;P199630901_21;U2;12000;0;975;13200;1000;1905
0091017200_14062023000078;P199630901;P199630901_22;V1;12200;1440;0;13400;2440;975
