Item ident;Id truck;Id stack;Item code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
0090038200_14062023016949;P210390025;P210390025_1;A1;0;0;0;3200;2400;1700
0090038200_14062023002700;P210390025;P210390025_2;B1;3200;0;0;6400;2400;1700
0090038200_14062023006999;P210390025;P210390025_3;C1;6400;35;0;8200;1235;1000
0090038200_14062023014461;P210390025;P210390025_3;C2;6400;35;1000;8200;1235;2285
0090038200_14062023008698;P210390025;P210390025_4;D1;6400;1235;0;8600;2435;1250
0090038200_14062023016628;P210390025;P210390025_4;D2;6400;1235;1250;8600;2435;2455
0090038200_14062023021340;P210390025;P210390025_5;E1;8200;0;0;10200;1200;1500
0090038200_14062023016057;P210390025;P210390025_6;F1;8600;1235;0;10205;2440;960
0090038200_14062023016057;P210390025;P210390025_6;F2;8600;1235;960;10205;2440;1875
0090038200_14062023020150;P210390025;P210390025_6;F3;8600;1235;1875;10205;2440;2790
0090038200_14062023000196;P210390025;P210390025_7;G1;10205;0;0;13405;2400;1700
