Id truck;Id stack;Stack code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
P200050703;P200050703_1;A;0;440;0;1200;1440;2790
P200050703;P200050703_2;B;0;1440;0;1200;2440;2835
P200050703;P200050703_3;C;1200;0;0;2210;1206;2270
P200050703;P200050703_4;D;1200;1440;0;2400;2440;2835
P200050703;P200050703_5;E;2210;40;0;3210;1240;2835
P200050703;P200050703_6;F;2400;1440;0;3600;2440;2790
P200050703;P200050703_7;G;3210;0;0;4210;1200;2835
P200050703;P200050703_8;H;3600;1240;0;4600;2440;2835
P200050703;P200050703_9;I;4210;240;0;5410;1240;2790
P200050703;P200050703_10;J;5410;0;0;6410;1200;2835
P200050703;P200050703_11;K;5410;1200;0;6410;2400;2835
P200050703;P200050703_12;L;6410;40;0;7410;1240;2745
P200050703;P200050703_13;M;6410;1240;0;7410;2440;2790
P200050703;P200050703_14;N;7410;0;0;8610;1000;2835
P200050703;P200050703_15;O;7410;1240;0;8610;2240;2790
P200050703;P200050703_16;P;8610;0;0;9610;1200;2790
P200050703;P200050703_17;Q;8610;1440;0;9810;2440;2790
P200050703;P200050703_18;R;9610;0;0;10810;1000;2835
P200050703;P200050703_19;S;9810;1440;0;11010;2440;2835
P200050703;P200050703_20;T;10810;0;0;12010;1000;2835
P200050703;P200050703_21;U;11010;1000;0;12210;2000;2790
P200050703;P200050703_22;V;12210;0;0;13210;1200;2835
P200050703;P200050703_23;W;12210;1200;0;13410;2200;2835
