Item ident;Id truck;Id stack;Item code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
0090017100_14062023014595;P192050601;P192050601_1;A1;0;0;0;1000;1200;975
0090017100_14062023004361;P192050601;P192050601_1;A2;0;0;975;1000;1200;1905
0090017100_14062023015292;P192050601;P192050601_1;A3;0;0;1905;1000;1200;2835
0090017100_14062023018978;P192050601;P192050601_2;B1;0;1200;0;1200;2200;930
0090017100_14062023004361;P192050601;P192050601_2;B2;0;1200;930;1200;2200;1860
0090017100_14062023004361;P192050601;P192050601_2;B3;0;1200;1860;1200;2200;2790
0090017100_14062023015504;P192050601;P192050601_3;C1;1200;0;0;2400;1800;1050
0090017100_14062023015504;P192050601;P192050601_3;C2;1200;0;1050;2400;1800;2055
0090017100_14062023025583;P192050601;P192050601_4;D1;2400;0;0;3600;1000;975
0090017100_14062023007657;P192050601;P192050601_4;D2;2400;0;975;3600;1000;1905
0090017100_14062023014791;P192050601;P192050601_4;D3;2400;0;1905;3600;1000;2835
0090017100_14062023015536;P192050601;P192050601_5;E1;2400;1430;0;3606;2440;1085
0090017100_14062023016884;P192050601;P192050601_5;E2;2400;1430;1085;3606;2440;2270
0090017100_14062023002915;P192050601;P192050601_6;F1;3600;0;0;4600;1200;975
0090017100_14062023002915;P192050601;P192050601_6;F2;3600;0;975;4600;1200;1905
0090017100_14062023025583;P192050601;P192050601_6;F3;3600;0;1905;4600;1200;2835
0090017100_14062023024540;P192050601;P192050601_7;G1;3606;1440;0;4806;2440;975
0090017100_14062023024148;P192050601;P192050601_7;G2;3606;1440;975;4806;2440;1905
0090017100_14062023024540;P192050601;P192050601_7;G3;3606;1440;1905;4806;2440;2835
0090017100_14062023008751;P192050601;P192050601_8;H1;4600;0;0;5800;1000;930
0090017100_14062023024148;P192050601;P192050601_8;H2;4600;0;930;5800;1000;1860
0090017100_14062023024148;P192050601;P192050601_8;H3;4600;0;1860;5800;1000;2790
0090017100_14062023011362;P192050601;P192050601_9;I1;4806;1000;0;5806;2200;930
0090017100_14062023008169;P192050601;P192050601_9;I2;4806;1000;930;5806;2200;1860
0090017100_14062023017017;P192050601;P192050601_9;I3;4806;1000;1860;5806;2200;2745
0090017100_14062023025583;P192050601;P192050601_10;J1;5806;0;0;7006;1000;975
0090017100_14062023000444;P192050601;P192050601_10;J2;5806;0;975;7006;1000;1905
0090017100_14062023025583;P192050601;P192050601_10;J3;5806;0;1905;7006;1000;2835
0090017100_14062023016286;P192050601;P192050601_11;K1;5806;1240;0;6806;2440;930
0090017100_14062023011792;P192050601;P192050601_11;K2;5806;1240;930;6806;2440;1860
0090017100_14062023011792;P192050601;P192050601_11;K3;5806;1240;1860;6806;2440;2790
0090017100_14062023025583;P192050601;P192050601_12;L1;6806;1440;0;8006;2440;975
0090017100_14062023007657;P192050601;P192050601_12;L2;6806;1440;975;8006;2440;1905
0090017100_14062023024540;P192050601;P192050601_12;L3;6806;1440;1905;8006;2440;2835
0090017100_14062023024148;P192050601;P192050601_13;M1;7006;0;0;8206;1000;975
0090017100_14062023002915;P192050601;P192050601_13;M2;7006;0;975;8206;1000;1905
0090017100_14062023020966;P192050601;P192050601_13;M3;7006;0;1905;8206;1000;2835
0090017100_14062023014791;P192050601;P192050601_14;N1;8006;1206;0;9206;2206;975
0090017100_14062023019595;P192050601;P192050601_14;N2;8006;1206;975;9206;2206;1860
0090017100_14062023024540;P192050601;P192050601_14;N3;8006;1206;1860;9206;2206;2790
0090017100_14062023010023;P192050601;P192050601_15;O1;8206;0;0;9206;1200;930
0090017100_14062023014791;P192050601;P192050601_15;O2;8206;0;930;9206;1200;1860
0090017100_14062023026277;P192050601;P192050601_15;O3;8206;0;1860;9206;1200;2790
0090017100_14062023010913;P192050601;P192050601_16;P1;9206;0;0;10216;1206;1085
0090017100_14062023014691;P192050601;P192050601_16;P2;9206;0;1085;10216;1206;2170
0090017100_14062023007657;P192050601;P192050601_17;Q1;9206;1240;0;10206;2440;975
0090017100_14062023002677;P192050601;P192050601_17;Q2;9206;1240;975;10206;2440;1905
0090017100_14062023024540;P192050601;P192050601_17;Q3;9206;1240;1905;10206;2440;2835
0090017100_14062023020966;P192050601;P192050601_18;R1;10216;200;0;11416;1200;975
0090017100_14062023024148;P192050601;P192050601_18;R2;10216;200;975;11416;1200;1905
0090017100_14062023024540;P192050601;P192050601_18;R3;10216;200;1905;11416;1200;2835
0090017100_14062023007657;P192050601;P192050601_19;S1;11416;0;0;12416;1200;975
0090017100_14062023008169;P192050601;P192050601_19;S2;11416;0;975;12416;1200;1905
0090017100_14062023024148;P192050601;P192050601_19;S3;11416;0;1905;12416;1200;2835
0090017100_14062023024148;P192050601;P192050601_20;T1;11416;1200;0;12416;2400;975
0090017100_14062023011362;P192050601;P192050601_20;T2;11416;1200;975;12416;2400;1860
0090017100_14062023024540;P192050601;P192050601_20;T3;11416;1200;1860;12416;2400;2790
0090017100_14062023007657;P192050601;P192050601_21;U1;12416;0;0;13416;1200;975
0090017100_14062023024540;P192050601;P192050601_21;U2;12416;0;975;13416;1200;1905
0090017100_14062023025583;P192050601;P192050601_21;U3;12416;0;1905;13416;1200;2835
0090017100_14062023008169;P192050601;P192050601_22;V1;12416;1240;0;13416;2440;975
0090017100_14062023002145;P192050601;P192050601_22;V2;12416;1240;975;13416;2440;1860
0090017100_14062023025583;P192050601;P192050601_22;V3;12416;1240;1860;13416;2440;2790
