Item ident;Id truck;Id stack;Item code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
0090017100_08062023001697;P172156215;P172156215_1;A1;0;0;0;1200;1000;750
0090017100_08062023010293;P172156215;P172156215_1;A2;0;0;750;1200;1000;1455
0090017100_08062023011409;P172156215;P172156215_1;A3;0;0;1455;1200;1000;2160
0090017100_08062023021025;P172156215;P172156215_1;A4;0;0;2160;1200;1000;2865
0090017100_08062023014484;P172156215;P172156215_2;B1;0;1240;0;1600;2440;930
0090017100_08062023004090;P172156215;P172156215_2;B2;0;1240;930;1600;2440;1815
0090017100_08062023004090;P172156215;P172156215_2;B3;0;1240;1815;1600;2440;2700
0090017100_08062023024219;P172156215;P172156215_3;C1;1600;40;0;2600;1240;750
0090017100_08062023010293;P172156215;P172156215_3;C2;1600;40;750;2600;1240;1455
0090017100_08062023016461;P172156215;P172156215_3;C3;1600;40;1455;2600;1240;2160
0090017100_08062023024219;P172156215;P172156215_3;C4;1600;40;2160;2600;1240;2865
0090017100_08062023022382;P172156215;P172156215_4;D1;1600;1240;0;3200;2440;750
0090017100_08062023006626;P172156215;P172156215_4;D2;1600;1240;750;3200;2440;1635
0090017100_08062023009818;P172156215;P172156215_4;D3;1600;1240;1635;3200;2440;2520
0090017100_08062023006961;P172156215;P172156215_5;E1;3200;0;0;4400;1600;750
0090017100_08062023006626;P172156215;P172156215_5;E2;3200;0;750;4400;1600;1635
0090017100_08062023016399;P172156215;P172156215_5;E3;3200;0;1635;4400;1600;2520
0090017100_08062023016399;P172156215;P172156215_6;F1;4400;0;0;6000;1200;930
0090017100_08062023004090;P172156215;P172156215_6;F2;4400;0;930;6000;1200;1815
0090017100_08062023014484;P172156215;P172156215_6;F3;4400;0;1815;6000;1200;2700
0090017100_08062023006626;P172156215;P172156215_7;G1;4400;1200;0;6000;2400;930
0090017100_08062023004090;P172156215;P172156215_7;G2;4400;1200;930;6000;2400;1815
0090017100_08062023014484;P172156215;P172156215_7;G3;4400;1200;1815;6000;2400;2700
0090017100_08062023014484;P172156215;P172156215_8;H1;6000;240;0;7600;1440;930
0090017100_08062023006626;P172156215;P172156215_8;H2;6000;240;930;7600;1440;1815
0090017100_08062023016399;P172156215;P172156215_8;H3;6000;240;1815;7600;1440;2700
0090017100_08062023021025;P172156215;P172156215_9;I1;6000;1440;0;7200;2440;750
0090017100_08062023001697;P172156215;P172156215_9;I2;6000;1440;750;7200;2440;1455
0090017100_08062023011409;P172156215;P172156215_9;I3;6000;1440;1455;7200;2440;2160
0090017100_08062023011409;P172156215;P172156215_9;I4;6000;1440;2160;7200;2440;2865
0090017100_08062023001697;P172156215;P172156215_10;J1;7600;0;0;8600;1200;750
0090017100_08062023001697;P172156215;P172156215_10;J2;7600;0;750;8600;1200;1455
0090017100_08062023001697;P172156215;P172156215_10;J3;7600;0;1455;8600;1200;2160
0090017100_08062023024219;P172156215;P172156215_10;J4;7600;0;2160;8600;1200;2865
0090017100_08062023024186;P172156215;P172156215_11;K1;7600;1240;0;9200;2440;750
0090017100_08062023014484;P172156215;P172156215_11;K2;7600;1240;750;9200;2440;1635
0090017100_08062023016399;P172156215;P172156215_11;K3;7600;1240;1635;9200;2440;2520
0090017100_08062023016461;P172156215;P172156215_12;L1;8600;0;0;9800;1000;750
0090017100_08062023010293;P172156215;P172156215_12;L2;8600;0;750;9800;1000;1455
0090017100_08062023011409;P172156215;P172156215_12;L3;8600;0;1455;9800;1000;2160
0090017100_08062023021025;P172156215;P172156215_12;L4;8600;0;2160;9800;1000;2865
0090017100_08062023011409;P172156215;P172156215_13;M1;9200;1440;0;10400;2440;750
0090017100_08062023005161;P172156215;P172156215_13;M2;9200;1440;750;10400;2440;1455
0090017100_08062023021025;P172156215;P172156215_13;M3;9200;1440;1455;10400;2440;2160
0090017100_08062023024219;P172156215;P172156215_13;M4;9200;1440;2160;10400;2440;2865
0090017100_08062023006626;P172156215;P172156215_14;N1;9800;0;0;11400;1200;930
0090017100_08062023006626;P172156215;P172156215_14;N2;9800;0;930;11400;1200;1815
0090017100_08062023014484;P172156215;P172156215_14;N3;9800;0;1815;11400;1200;2700
0090017100_08062023010293;P172156215;P172156215_15;O1;10400;1240;0;11400;2440;750
0090017100_08062023022880;P172156215;P172156215_15;O2;10400;1240;750;11400;2440;1455
0090017100_08062023024219;P172156215;P172156215_15;O3;10400;1240;1455;11400;2440;2160
0090017100_08062023024219;P172156215;P172156215_15;O4;10400;1240;2160;11400;2440;2865
0090017100_08062023016399;P172156215;P172156215_16;P1;11400;0;0;13000;1200;930
0090017100_08062023006626;P172156215;P172156215_16;P2;11400;0;930;13000;1200;1815
0090017100_08062023014484;P172156215;P172156215_16;P3;11400;0;1815;13000;1200;2700
0090017100_08062023021025;P172156215;P172156215_17;Q1;11400;1200;0;12600;2200;750
0090017100_08062023001697;P172156215;P172156215_17;Q2;11400;1200;750;12600;2200;1455
0090017100_08062023010293;P172156215;P172156215_17;Q3;11400;1200;1455;12600;2200;2160
0090017100_08062023011409;P172156215;P172156215_17;Q4;11400;1200;2160;12600;2200;2865
