Id truck;Id stack;Stack code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
P172156215;P172156215_1;A;0;0;0;1200;1000;2865
P172156215;P172156215_2;B;0;1240;0;1600;2440;2700
P172156215;P172156215_3;C;1600;40;0;2600;1240;2865
P172156215;P172156215_4;D;1600;1240;0;3200;2440;2520
P172156215;P172156215_5;E;3200;0;0;4400;1600;2520
P172156215;P172156215_6;F;4400;0;0;6000;1200;2700
P172156215;P172156215_7;G;4400;1200;0;6000;2400;2700
P172156215;P172156215_8;H;6000;240;0;7600;1440;2700
P172156215;P172156215_9;I;6000;1440;0;7200;2440;2865
P172156215;P172156215_10;J;7600;0;0;8600;1200;2865
P172156215;P172156215_11;K;7600;1240;0;9200;2440;2520
P172156215;P172156215_12;L;8600;0;0;9800;1000;2865
P172156215;P172156215_13;M;9200;1440;0;10400;2440;2865
P172156215;P172156215_14;N;9800;0;0;11400;1200;2700
P172156215;P172156215_15;O;10400;1240;0;11400;2440;2865
P172156215;P172156215_16;P;11400;0;0;13000;1200;2700
P172156215;P172156215_17;Q;11400;1200;0;12600;2200;2865
