scope;anomaly;data;
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023002158;input item qty = 2;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023003100;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023005789;input item qty = 3;output item qty = 1
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023006016;input item qty = 3;output item qty = 2
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023006181;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023006384;input item qty = 6;output item qty = 4
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023006974;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023008391;input item qty = 2;output item qty = 1
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023008714;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023009092;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023010682;input item qty = 2;output item qty = 1
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023010731;input item qty = 5;output item qty = 4
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023011861;input item qty = 6;output item qty = 5
