Item ident;Id truck;Id stack;Item code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
0090018000_08062023003275;P213752701;P213752701_1;A1;0;0;0;1000;1200;975
0090018000_08062023003514;P213752701;P213752701_1;A2;0;0;975;1000;1200;1905
0090018000_08062023007379;P213752701;P213752701_1;A3;0;0;1905;1000;1200;2835
0090018000_08062023013724;P213752701;P213752701_2;B1;0;1300;0;1000;2500;975
0090018000_08062023003719;P213752701;P213752701_2;B2;0;1300;975;1000;2500;1905
0090018000_08062023008865;P213752701;P213752701_2;B3;0;1300;1905;1000;2500;2835
0090018000_08062023014641;P213752701;P213752701_3;C1;1000;0;0;2000;1200;750
0090018000_08062023014641;P213752701;P213752701_3;C2;1000;0;750;2000;1200;1455
0090018000_08062023014641;P213752701;P213752701_3;C3;1000;0;1455;2000;1200;2160
0090018000_08062023014641;P213752701;P213752701_3;C4;1000;0;2160;2000;1200;2865
0090018000_08062023003719;P213752701;P213752701_4;D1;1000;1500;0;2200;2500;975
0090018000_08062023003719;P213752701;P213752701_4;D2;1000;1500;975;2200;2500;1905
0090018000_08062023007379;P213752701;P213752701_4;D3;1000;1500;1905;2200;2500;2835
0090018000_08062023008321;P213752701;P213752701_5;E1;2000;0;0;3000;1200;750
0090018000_08062023007379;P213752701;P213752701_5;E2;2000;0;750;3000;1200;1680
0090018000_08062023010314;P213752701;P213752701_5;E3;2000;0;1680;3000;1200;2610
0090018000_08062023004036;P213752701;P213752701_6;F1;2200;1300;0;3200;2500;930
0090018000_08062023008865;P213752701;P213752701_6;F2;2200;1300;930;3200;2500;1860
0090018000_08062023008865;P213752701;P213752701_6;F3;2200;1300;1860;3200;2500;2790
0090018000_08062023006979;P213752701;P213752701_7;G1;3000;0;0;4000;1200;1057
0090018000_08062023006297;P213752701;P213752701_7;G2;3000;0;1057;4000;1200;1516
0090018000_08062023008870;P213752701;P213752701_7;G3;3000;0;1516;4000;1200;1975
0090018000_08062023012069;P213752701;P213752701_7;G4;3000;0;1975;4000;1200;2334
0090018000_08062023013174;P213752701;P213752701_8;H1;3200;1300;0;4200;2500;1057
0090018000_08062023003738;P213752701;P213752701_8;H2;3200;1300;1057;4200;2500;2114
0090018000_08062023011556;P213752701;P213752701_8;H3;3200;1300;2114;4200;2500;2473
0090018000_08062023013360;P213752701;P213752701_8;H4;3200;1300;2473;4200;2500;2932
0090018000_08062023014641;P213752701;P213752701_9;I1;4000;200;0;5200;1200;750
0090018000_08062023006171;P213752701;P213752701_9;I2;4000;200;750;5200;1200;1680
0090018000_08062023012768;P213752701;P213752701_9;I3;4000;200;1680;5200;1200;2610
0090018000_08062023014641;P213752701;P213752701_10;J1;4200;1200;0;5200;2400;750
0090018000_08062023008321;P213752701;P213752701_10;J2;4200;1200;750;5200;2400;1455
0090018000_08062023010735;P213752701;P213752701_10;J3;4200;1200;1455;5200;2400;2160
0090018000_08062023014641;P213752701;P213752701_10;J4;4200;1200;2160;5200;2400;2865
0090018000_08062023012997;P213752701;P213752701_11;K1;5200;200;0;6400;1200;930
0090018000_08062023007932;P213752701;P213752701_11;K2;5200;200;930;6400;1200;1860
0090018000_08062023012768;P213752701;P213752701_11;K3;5200;200;1860;6400;1200;2790
0090018000_08062023002775;P213752701;P213752701_12;L1;5200;1300;0;6200;2500;975
0090018000_08062023004036;P213752701;P213752701_12;L2;5200;1300;975;6200;2500;1860
0090018000_08062023006171;P213752701;P213752701_12;L3;5200;1300;1860;6200;2500;2790
0090018000_08062023003719;P213752701;P213752701_13;M1;6200;1500;0;7400;2500;975
0090018000_08062023003459;P213752701;P213752701_13;M2;6200;1500;975;7400;2500;1905
0090018000_08062023006171;P213752701;P213752701_13;M3;6200;1500;1905;7400;2500;2835
0090018000_08062023013724;P213752701;P213752701_14;N1;6400;0;0;7600;1000;975
0090018000_08062023006171;P213752701;P213752701_14;N2;6400;0;975;7600;1000;1905
0090018000_08062023012768;P213752701;P213752701_14;N3;6400;0;1905;7600;1000;2835
0090018000_08062023006171;P213752701;P213752701_15;O1;7400;1300;0;8600;2300;975
0090018000_08062023002775;P213752701;P213752701_15;O2;7400;1300;975;8600;2300;1905
0090018000_08062023003459;P213752701;P213752701_15;O3;7400;1300;1905;8600;2300;2835
0090018000_08062023002847;P213752701;P213752701_16;P1;7600;0;0;8600;1200;259
0090018000_08062023003045;P213752701;P213752701_16;P2;7600;0;259;8600;1200;1202
0090018000_08062023004972;P213752701;P213752701_16;P3;7600;0;1202;8600;1200;1661
0090018000_08062023013981;P213752701;P213752701_16;P4;7600;0;1661;8600;1200;2718
0090018000_08062023005449;P213752701;P213752701_17;Q1;8600;0;0;9600;1200;1057
0090018000_08062023001424;P213752701;P213752701_17;Q2;8600;0;1057;9600;1200;1416
0090018000_08062023005520;P213752701;P213752701_17;Q3;8600;0;1416;9600;1200;2473
0090018000_08062023007945;P213752701;P213752701_17;Q4;8600;0;2473;9600;1200;2832
0090018000_08062023004500;P213752701;P213752701_18;R1;8600;1200;0;10205;2405;1450
0090018000_08062023004500;P213752701;P213752701_18;R2;8600;1200;1450;10205;2405;2855
0090018000_08062023003459;P213752701;P213752701_19;S1;10205;1200;0;11205;2400;975
0090018000_08062023003459;P213752701;P213752701_19;S2;10205;1200;975;11205;2400;1905
0090018000_08062023003719;P213752701;P213752701_19;S3;10205;1200;1905;11205;2400;2835
0090018000_08062023012768;P213752701;P213752701_20;T1;11205;200;0;12405;1200;975
0090018000_08062023006171;P213752701;P213752701_20;T2;11205;200;975;12405;1200;1905
0090018000_08062023006171;P213752701;P213752701_20;T3;11205;200;1905;12405;1200;2835
0090018000_08062023006171;P213752701;P213752701_21;U1;11205;1300;0;12405;2300;975
0090018000_08062023008865;P213752701;P213752701_21;U2;11205;1300;975;12405;2300;1905
0090018000_08062023012768;P213752701;P213752701_21;U3;11205;1300;1905;12405;2300;2835
0090018000_08062023006171;P213752701;P213752701_22;V1;12405;300;0;13605;1300;975
0090018000_08062023003514;P213752701;P213752701_22;V2;12405;300;975;13605;1300;1905
0090018000_08062023012997;P213752701;P213752701_22;V3;12405;300;1905;13605;1300;2790
0090018000_08062023007379;P213752701;P213752701_23;W1;12405;1300;0;13605;2300;975
0090018000_08062023003719;P213752701;P213752701_23;W2;12405;1300;975;13605;2300;1905
0090018000_08062023008865;P213752701;P213752701_23;W3;12405;1300;1905;13605;2300;2835
0090018000_08062023003514;P213752701;P213752701_24;X1;13605;300;0;14805;1300;975
0090018000_08062023007379;P213752701;P213752701_24;X2;13605;300;975;14805;1300;1905
0090018000_08062023012768;P213752701;P213752701_24;X3;13605;300;1905;14805;1300;2835
