Id truck;Id stack;Stack code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
P212738701;P212738701_1;A;0;500;0;2350;1500;2760
P212738701;P212738701_2;B;0;1500;0;2350;2500;2760
P212738701;P212738701_3;C;2350;500;0;4700;1500;2760
P212738701;P212738701_4;D;2350;1500;0;4700;2500;2760
P212738701;P212738701_5;E;4700;500;0;7050;1500;2760
P212738701;P212738701_6;F;4700;1500;0;7050;2500;2760
P212738701;P212738701_7;G;7050;150;0;8050;2500;2760
P212738701;P212738701_8;H;8050;150;0;9050;2500;2760
P212738701;P212738701_9;I;9050;0;0;11400;1000;2760
P212738701;P212738701_10;J;9050;1500;0;11400;2500;2760
P212738701;P212738701_11;K;11400;500;0;13750;1500;2760
P212738701;P212738701_12;L;11400;1500;0;13750;2500;2760
P212738701;P212738701_13;M;13750;0;0;14750;2350;2760
