Id truck;Id stack;Stack code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
P166069101;P166069101_1;A;0;0;0;1200;1800;2340
P166069101;P166069101_2;B;1200;40;0;2400;2440;2460
P166069101;P166069101_3;C;2400;40;0;3600;2440;2460
P166069101;P166069101_4;D;3600;0;0;4800;2400;2000
P166069101;P166069101_5;E;4800;0;0;6000;2400;2460
P166069101;P166069101_6;F;6000;0;0;7200;2400;2460
P166069101;P166069101_7;G;7200;0;0;8400;2400;2500
P166069101;P166069101_8;H;8400;40;0;9600;2440;2460
P166069101;P166069101_9;I;9600;40;0;10800;2440;2000
P166069101;P166069101_10;J;10800;40;0;12000;2440;1900
P166069101;P166069101_11;K;12000;40;0;13200;2440;2460
