Item ident;Id truck;Id stack;Item code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
0090016900_08062023002895;P185060613;P185060613_1;A1;0;0;0;1600;1200;930
0090016900_08062023009791;P185060613;P185060613_1;A2;0;0;930;1600;1200;1815
0090016900_08062023025756;P185060613;P185060613_1;A3;0;0;1815;1600;1200;2700
0090016900_08062023023851;P185060613;P185060613_2;B1;0;1200;0;1600;2400;930
0090016900_08062023005222;P185060613;P185060613_2;B2;0;1200;930;1600;2400;1815
0090016900_08062023014369;P185060613;P185060613_2;B3;0;1200;1815;1600;2400;2700
0090016900_08062023022217;P185060613;P185060613_3;C1;1600;0;0;2800;1000;930
0090016900_08062023013295;P185060613;P185060613_3;C2;1600;0;930;2800;1000;1815
0090016900_08062023019321;P185060613;P185060613_3;C3;1600;0;1815;2800;1000;2700
0090016900_08062023018145;P185060613;P185060613_4;D1;1600;1200;0;4800;2400;1490
0090016900_08062023030394;P185060613;P185060613_4;D2;1600;1200;1490;4800;2400;1945
0090016900_08062023035281;P185060613;P185060613_4;D3;1600;1200;1945;4800;2400;2400
0090016900_08062023035390;P185060613;P185060613_4;D4;1600;1200;2400;4800;2400;2855
0090016900_08062023015094;P185060613;P185060613_5;E1;2800;0;0;3800;1200;930
0090016900_08062023008887;P185060613;P185060613_5;E2;2800;0;930;3800;1200;1815
0090016900_08062023027359;P185060613;P185060613_5;E3;2800;0;1815;3800;1200;2700
0090016900_08062023040206;P185060613;P185060613_6;F1;3800;0;0;6400;1200;1490
0090016900_08062023040206;P185060613;P185060613_6;F2;3800;0;1490;6400;1200;2935
0090016900_08062023027172;P185060613;P185060613_7;G1;4800;1440;0;6000;2440;930
0090016900_08062023002713;P185060613;P185060613_7;G2;4800;1440;930;6000;2440;1815
0090016900_08062023028591;P185060613;P185060613_7;G3;4800;1440;1815;6000;2440;2700
0090016900_08062023029635;P185060613;P185060613_8;H1;6000;1240;0;8600;2440;1490
0090016900_08062023031886;P185060613;P185060613_9;I1;6400;0;0;9600;1200;500
0090016900_08062023000790;P185060613;P185060613_9;I2;6400;0;500;9600;1200;1945
0090016900_08062023031101;P185060613;P185060613_9;I3;6400;0;1945;9600;1200;2400
0090016900_08062023039668;P185060613;P185060613_9;I4;6400;0;2400;9600;1200;2855
0090016900_08062023043247;P185060613;P185060613_10;J1;8600;1240;0;11200;2440;1490
0090016900_08062023035717;P185060613;P185060613_10;J2;8600;1240;1490;11200;2440;2935
0090016900_08062023030302;P185060613;P185060613_11;K1;9600;0;0;12800;1200;1490
0090016900_08062023014981;P185060613;P185060613_11;K2;9600;0;1490;12800;1200;2935
0090016900_08062023015762;P185060613;P185060613_12;L1;11200;1200;0;11770;1980;478
0090016900_08062023022482;P185060613;P185060613_12;L2;11200;1200;478;11770;1980;909
0090016900_08062023025798;P185060613;P185060613_12;L3;11200;1200;909;11770;1980;1340
0090016900_08062023026298;P185060613;P185060613_13;M1;11770;1200;0;13370;2400;930
0090016900_08062023005222;P185060613;P185060613_13;M2;11770;1200;930;13370;2400;1815
0090016900_08062023018348;P185060613;P185060613_13;M3;11770;1200;1815;13370;2400;2700
