scope;anomaly;data;
Constraint I1;different qty between inputs and outputs for item ident = 0090016900_14062023002282;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016900_14062023004509;input item qty = 2;output item qty = 1
Constraint I1;different qty between inputs and outputs for item ident = 0090016900_14062023004672;input item qty = 2;output item qty = 1
Constraint I1;different qty between inputs and outputs for item ident = 0090016900_14062023005309;input item qty = 2;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016900_14062023007608;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016900_14062023007744;input item qty = 3;output item qty = 2
Constraint I1;different qty between inputs and outputs for item ident = 0090016900_14062023008162;input item qty = 28;output item qty = 26
Constraint I1;different qty between inputs and outputs for item ident = 0090016900_14062023015007;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016900_14062023017227;input item qty = 2;output item qty = 1
Constraint I1;different qty between inputs and outputs for item ident = 0090016900_14062023021532;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016900_14062023024735;input item qty = 2;output item qty = 1
Constraint I1;different qty between inputs and outputs for item ident = 0090016900_14062023029729;input item qty = 2;output item qty = 1
Constraint I1;different qty between inputs and outputs for item ident = 0090016900_14062023032637;input item qty = 2;output item qty = 1
Constraint I1;different qty between inputs and outputs for item ident = 0090016900_14062023039606;input item qty = 2;output item qty = 1
Constraint I1;different qty between inputs and outputs for item ident = 0090016900_14062023041566;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016900_14062023041798;input item qty = 1;output item qty = 0
