Id truck;Id stack;Stack code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
P193220605;P193220605_1;A;0;280;0;570;1060;1340
P193220605;P193220605_2;B;570;1060;0;1170;1860;2632
P193220605;P193220605_3;C;1170;640;0;2370;1640;2610
P193220605;P193220605_4;D;1170;1640;0;1970;2240;2632
P193220605;P193220605_5;E;2370;0;0;3570;1000;2610
P193220605;P193220605_6;F;2370;1000;0;3170;1600;2632
P193220605;P193220605_7;G;2370;1640;0;3170;2240;2632
P193220605;P193220605_8;H;3570;0;0;4370;600;2114
P193220605;P193220605_9;I;3570;800;0;4370;1400;1596
P193220605;P193220605_10;J;4370;800;0;4970;1600;2114
P193220605;P193220605_11;K;4970;200;0;5540;980;1771
P193220605;P193220605_12;L;5540;0;0;6540;1200;2835
P193220605;P193220605_13;M;6540;600;0;7540;1800;2610
P193220605;P193220605_14;N;7540;0;0;8140;800;2114
P193220605;P193220605_15;O;7540;1040;0;8340;1640;1596
P193220605;P193220605_16;P;8340;800;0;9340;2000;2385
P193220605;P193220605_17;Q;9340;1640;0;10140;2240;560
P193220605;P193220605_18;R;10140;1640;0;10710;2420;1340
P193220605;P193220605_19;S;10710;840;0;11310;1640;560
P193220605;P193220605_20;T;10710;1640;0;11310;2440;1596
P193220605;P193220605_21;U;11310;200;0;11910;1000;2114
P193220605;P193220605_22;V;11310;1240;0;12310;2440;2835
P193220605;P193220605_23;W;11910;0;0;12710;600;2114
