scope;anomaly;data;
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023003467;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023007383;input item qty = 3;output item qty = 2
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023008516;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023011412;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023012259;input item qty = 8;output item qty = 5
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023016629;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023017230;input item qty = 2;output item qty = 1
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023022823;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023023772;input item qty = 2;output item qty = 1
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023025463;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023033873;input item qty = 7;output item qty = 3
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023034537;input item qty = 5;output item qty = 3
