Item ident;Id truck;Id stack;Item code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
0090018000_08062023001308;P233730401;P233730401_1;A1;0;900;0;1200;2500;930
0090018000_08062023001308;P233730401;P233730401_1;A2;0;900;930;1200;2500;1815
0090018000_08062023001308;P233730401;P233730401_1;A3;0;900;1815;1200;2500;2700
0090018000_08062023013334;P233730401;P233730401_2;B1;1200;0;0;2400;1000;1057
0090018000_08062023010967;P233730401;P233730401_2;B2;1200;0;1057;2400;1000;1516
0090018000_08062023013334;P233730401;P233730401_2;B3;1200;0;1516;2400;1000;2573
0090018000_08062023013763;P233730401;P233730401_3;C1;1200;1300;0;2400;2300;975
0090018000_08062023013763;P233730401;P233730401_3;C2;1200;1300;975;2400;2300;1905
0090018000_08062023013763;P233730401;P233730401_3;C3;1200;1300;1905;2400;2300;2835
0090018000_08062023001019;P233730401;P233730401_4;D1;2400;200;0;3600;1200;975
0090018000_08062023001019;P233730401;P233730401_4;D2;2400;200;975;3600;1200;1905
0090018000_08062023013763;P233730401;P233730401_4;D3;2400;200;1905;3600;1200;2835
0090018000_08062023013763;P233730401;P233730401_5;E1;2400;1200;0;3400;2400;975
0090018000_08062023001019;P233730401;P233730401_5;E2;2400;1200;975;3400;2400;1905
0090018000_08062023001019;P233730401;P233730401_5;E3;2400;1200;1905;3400;2400;2835
0090018000_08062023008810;P233730401;P233730401_6;F1;3600;0;0;5200;1200;930
0090018000_08062023001308;P233730401;P233730401_6;F2;3600;0;930;5200;1200;1815
0090018000_08062023008810;P233730401;P233730401_6;F3;3600;0;1815;5200;1200;2700
0090018000_08062023001308;P233730401;P233730401_7;G1;3600;1200;0;5200;2400;930
0090018000_08062023001308;P233730401;P233730401_7;G2;3600;1200;930;5200;2400;1815
0090018000_08062023008810;P233730401;P233730401_7;G3;3600;1200;1815;5200;2400;2700
0090018000_08062023008810;P233730401;P233730401_8;H1;5200;900;0;6400;2500;930
0090018000_08062023001308;P233730401;P233730401_8;H2;5200;900;930;6400;2500;1815
0090018000_08062023008810;P233730401;P233730401_8;H3;5200;900;1815;6400;2500;2700
0090018000_08062023012238;P233730401;P233730401_9;I1;6400;200;0;7600;1200;975
0090018000_08062023001019;P233730401;P233730401_9;I2;6400;200;975;7600;1200;1905
0090018000_08062023013763;P233730401;P233730401_9;I3;6400;200;1905;7600;1200;2835
0090018000_08062023013763;P233730401;P233730401_10;J1;6400;1200;0;7600;2200;975
0090018000_08062023001019;P233730401;P233730401_10;J2;6400;1200;975;7600;2200;1905
0090018000_08062023001019;P233730401;P233730401_10;J3;6400;1200;1905;7600;2200;2835
0090018000_08062023008810;P233730401;P233730401_11;K1;7600;0;0;9200;1200;930
0090018000_08062023001308;P233730401;P233730401_11;K2;7600;0;930;9200;1200;1815
0090018000_08062023008810;P233730401;P233730401_11;K3;7600;0;1815;9200;1200;2700
0090018000_08062023001019;P233730401;P233730401_12;L1;7600;1200;0;8800;2200;975
0090018000_08062023013763;P233730401;P233730401_12;L2;7600;1200;975;8800;2200;1905
0090018000_08062023013763;P233730401;P233730401_12;L3;7600;1200;1905;8800;2200;2835
0090018000_08062023002163;P233730401;P233730401_13;M1;8800;1200;0;9800;2400;758
0090018000_08062023010967;P233730401;P233730401_13;M2;8800;1200;758;9800;2400;1217
0090018000_08062023001308;P233730401;P233730401_14;N1;9200;0;0;10800;1200;930
0090018000_08062023001308;P233730401;P233730401_14;N2;9200;0;930;10800;1200;1815
0090018000_08062023001308;P233730401;P233730401_14;N3;9200;0;1815;10800;1200;2700
0090018000_08062023013763;P233730401;P233730401_15;O1;9800;1300;0;10800;2500;975
0090018000_08062023001019;P233730401;P233730401_15;O2;9800;1300;975;10800;2500;1905
0090018000_08062023001019;P233730401;P233730401_15;O3;9800;1300;1905;10800;2500;2835
0090018000_08062023008810;P233730401;P233730401_16;P1;10800;100;0;12400;1300;930
0090018000_08062023001308;P233730401;P233730401_16;P2;10800;100;930;12400;1300;1815
0090018000_08062023008810;P233730401;P233730401_16;P3;10800;100;1815;12400;1300;2700
0090018000_08062023001308;P233730401;P233730401_17;Q1;10800;1300;0;12400;2500;930
0090018000_08062023001308;P233730401;P233730401_17;Q2;10800;1300;930;12400;2500;1815
0090018000_08062023008810;P233730401;P233730401_17;Q3;10800;1300;1815;12400;2500;2700
0090018000_08062023001488;P233730401;P233730401_18;R1;12400;0;0;13400;1200;975
0090018000_08062023001019;P233730401;P233730401_18;R2;12400;0;975;13400;1200;1905
0090018000_08062023013763;P233730401;P233730401_18;R3;12400;0;1905;13400;1200;2835
0090018000_08062023001308;P233730401;P233730401_19;S1;13400;900;0;14600;2500;930
0090018000_08062023008810;P233730401;P233730401_19;S2;13400;900;930;14600;2500;1815
0090018000_08062023008810;P233730401;P233730401_19;S3;13400;900;1815;14600;2500;2700
