Id truck;Id stack;Stack code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
P233730401;P233730401_1;A;0;900;0;1200;2500;2700
P233730401;P233730401_2;B;1200;0;0;2400;1000;2573
P233730401;P233730401_3;C;1200;1300;0;2400;2300;2835
P233730401;P233730401_4;D;2400;200;0;3600;1200;2835
P233730401;P233730401_5;E;2400;1200;0;3400;2400;2835
P233730401;P233730401_6;F;3600;0;0;5200;1200;2700
P233730401;P233730401_7;G;3600;1200;0;5200;2400;2700
P233730401;P233730401_8;H;5200;900;0;6400;2500;2700
P233730401;P233730401_9;I;6400;200;0;7600;1200;2835
P233730401;P233730401_10;J;6400;1200;0;7600;2200;2835
P233730401;P233730401_11;K;7600;0;0;9200;1200;2700
P233730401;P233730401_12;L;7600;1200;0;8800;2200;2835
P233730401;P233730401_13;M;8800;1200;0;9800;2400;1217
P233730401;P233730401_14;N;9200;0;0;10800;1200;2700
P233730401;P233730401_15;O;9800;1300;0;10800;2500;2835
P233730401;P233730401_16;P;10800;100;0;12400;1300;2700
P233730401;P233730401_17;Q;10800;1300;0;12400;2500;2700
P233730401;P233730401_18;R;12400;0;0;13400;1200;2835
P233730401;P233730401_19;S;13400;900;0;14600;2500;2700
