Item ident;Id truck;Id stack;Item code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
0090016200_08062023011135;P206138803;P206138803_1;A1;0;200;0;1200;1200;975
0090016200_08062023011135;P206138803;P206138803_1;A2;0;200;975;1200;1200;1905
0090016200_08062023011135;P206138803;P206138803_1;A3;0;200;1905;1200;1200;2835
0090016200_08062023011135;P206138803;P206138803_2;B1;1200;0;0;2200;1200;975
0090016200_08062023011135;P206138803;P206138803_2;B2;1200;0;975;2200;1200;1905
0090016200_08062023011135;P206138803;P206138803_2;B3;1200;0;1905;2200;1200;2835
0090016200_08062023011135;P206138803;P206138803_3;C1;1200;1200;0;2400;2200;975
0090016200_08062023011135;P206138803;P206138803_3;C2;1200;1200;975;2400;2200;1905
0090016200_08062023011135;P206138803;P206138803_3;C3;1200;1200;1905;2400;2200;2835
0090016200_08062023011135;P206138803;P206138803_4;D1;2200;0;0;3200;1200;975
0090016200_08062023011135;P206138803;P206138803_4;D2;2200;0;975;3200;1200;1905
0090016200_08062023011135;P206138803;P206138803_4;D3;2200;0;1905;3200;1200;2835
0090016200_08062023034072;P206138803;P206138803_5;E1;2400;1240;0;4000;2440;930
0090016200_08062023008501;P206138803;P206138803_5;E2;2400;1240;930;4000;2440;1815
0090016200_08062023008501;P206138803;P206138803_5;E3;2400;1240;1815;4000;2440;2700
0090016200_08062023034072;P206138803;P206138803_6;F1;3200;0;0;4800;1200;930
0090016200_08062023029206;P206138803;P206138803_6;F2;3200;0;930;4800;1200;1815
0090016200_08062023034072;P206138803;P206138803_6;F3;3200;0;1815;4800;1200;2700
0090016200_08062023030895;P206138803;P206138803_7;G1;4000;1440;0;5200;2440;975
0090016200_08062023006679;P206138803;P206138803_7;G2;4000;1440;975;5200;2440;1905
0090016200_08062023006679;P206138803;P206138803_7;G3;4000;1440;1905;5200;2440;2835
0090016200_08062023008501;P206138803;P206138803_8;H1;4800;0;0;6400;1200;930
0090016200_08062023004105;P206138803;P206138803_8;H2;4800;0;930;6400;1200;1815
0090016200_08062023029206;P206138803;P206138803_8;H3;4800;0;1815;6400;1200;2700
0090016200_08062023034072;P206138803;P206138803_9;I1;5200;1240;0;6800;2440;930
0090016200_08062023008501;P206138803;P206138803_9;I2;5200;1240;930;6800;2440;1815
0090016200_08062023029206;P206138803;P206138803_9;I3;5200;1240;1815;6800;2440;2700
0090016200_08062023030895;P206138803;P206138803_10;J1;6400;0;0;7600;1000;975
0090016200_08062023006679;P206138803;P206138803_10;J2;6400;0;975;7600;1000;1905
0090016200_08062023031670;P206138803;P206138803_10;J3;6400;0;1905;7600;1000;2835
0090016200_08062023030895;P206138803;P206138803_11;K1;6800;1240;0;7800;2440;975
0090016200_08062023006679;P206138803;P206138803_11;K2;6800;1240;975;7800;2440;1905
0090016200_08062023006679;P206138803;P206138803_11;K3;6800;1240;1905;7800;2440;2835
0090016200_08062023008585;P206138803;P206138803_12;L1;7600;0;0;8800;1000;750
0090016200_08062023015208;P206138803;P206138803_12;L2;7600;0;750;8800;1000;1680
0090016200_08062023030895;P206138803;P206138803_12;L3;7600;0;1680;8800;1000;2610
0090016200_08062023034041;P206138803;P206138803_13;M1;7800;1240;0;8800;2440;975
0090016200_08062023008585;P206138803;P206138803_13;M2;7800;1240;975;8800;2440;1680
0090016200_08062023030895;P206138803;P206138803_13;M3;7800;1240;1680;8800;2440;2610
0090016200_08062023006679;P206138803;P206138803_14;N1;8800;0;0;9800;1200;975
0090016200_08062023006679;P206138803;P206138803_14;N2;8800;0;975;9800;1200;1905
0090016200_08062023030895;P206138803;P206138803_14;N3;8800;0;1905;9800;1200;2835
0090016200_08062023034072;P206138803;P206138803_15;O1;9800;0;0;11000;1600;930
0090016200_08062023008501;P206138803;P206138803_15;O2;9800;0;930;11000;1600;1815
0090016200_08062023008501;P206138803;P206138803_15;O3;9800;0;1815;11000;1600;2700
0090016200_08062023006679;P206138803;P206138803_16;P1;11000;0;0;12200;1000;975
0090016200_08062023006679;P206138803;P206138803_16;P2;11000;0;975;12200;1000;1905
0090016200_08062023015208;P206138803;P206138803_16;P3;11000;0;1905;12200;1000;2835
0090016200_08062023030895;P206138803;P206138803_17;Q1;11000;1240;0;12000;2440;975
0090016200_08062023006679;P206138803;P206138803_17;Q2;11000;1240;975;12000;2440;1905
0090016200_08062023030895;P206138803;P206138803_17;Q3;11000;1240;1905;12000;2440;2835
0090016200_08062023034284;P206138803;P206138803_18;R1;12000;1660;0;12570;2440;478
0090016200_08062023034284;P206138803;P206138803_18;R2;12000;1660;478;12570;2440;909
