Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (linux64 - "Oracle Linux Server 9.4")

CPU model: Intel(R) Xeon(R) CPU E5-2660 v4 @ 2.00GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 28 physical cores, 28 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  3595.577934007
SoftMemLimit  16
NumericFocus  1
Threads  1

Academic license 2690100 - for non-commercial use only - registered to ju___@uclm.es
Optimize a model with 46192 rows, 11016 columns and 169442 nonzeros
Model fingerprint: 0x846faa89
Variable types: 116 continuous, 10900 integer (10900 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+13]
  Objective range  [1e+09, 3e+09]
  Bounds range     [1e+03, 2e+04]
  RHS range        [1e+00, 2e+14]
Warning: Model contains large matrix coefficient range
Warning: Model contains large objective coefficients
Warning: Model contains large rhs

Loaded user MIP start with objective 1.11567e+11

Presolve removed 11662 rows and 380 columns
Presolve time: 1.46s
Presolved: 34530 rows, 10636 columns, 129846 nonzeros
Variable types: 116 continuous, 10520 integer (10520 binary)

Use crossover to convert LP symmetric solution to basic solution...

Root relaxation: objective 1.150784e+11, 3984 iterations, 0.63 seconds (0.56 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 1.1508e+11    0  463 1.1157e+11 1.1508e+11  3.15%     -    4s
     0     0 1.1478e+11    0 1205 1.1157e+11 1.1478e+11  2.88%     -   13s
     0     0 1.1367e+11    0  717 1.1157e+11 1.1367e+11  1.89%     -   14s
     0     0 1.1351e+11    0  824 1.1157e+11 1.1351e+11  1.74%     -   15s
     0     0 1.1351e+11    0  731 1.1157e+11 1.1351e+11  1.74%     -   15s
     0     0 1.1351e+11    0 1107 1.1157e+11 1.1351e+11  1.74%     -   17s
     0     0 1.1351e+11    0 1051 1.1157e+11 1.1351e+11  1.74%     -   18s
     0     0 1.1351e+11    0 1084 1.1157e+11 1.1351e+11  1.74%     -   19s
     0     0 1.1351e+11    0  948 1.1157e+11 1.1351e+11  1.74%     -   20s
     0     0 1.1351e+11    0  863 1.1157e+11 1.1351e+11  1.74%     -   24s
     0     0 1.1351e+11    0  806 1.1157e+11 1.1351e+11  1.74%     -   24s
     0     0 1.1351e+11    0  529 1.1157e+11 1.1351e+11  1.74%     -   27s
     0     0 1.1351e+11    0  460 1.1157e+11 1.1351e+11  1.74%     -   27s
     0     0 1.1351e+11    0  347 1.1157e+11 1.1351e+11  1.74%     -   29s
     0     0 1.1351e+11    0  291 1.1157e+11 1.1351e+11  1.74%     -   30s
     0     0 1.1351e+11    0   32 1.1157e+11 1.1351e+11  1.74%     -   32s
     0     0 1.1351e+11    0   46 1.1157e+11 1.1351e+11  1.74%     -   32s
     0     0 1.1351e+11    0   33 1.1157e+11 1.1351e+11  1.74%     -   33s
     0     0 1.1351e+11    0   41 1.1157e+11 1.1351e+11  1.74%     -   34s
     0     0 1.1351e+11    0   67 1.1157e+11 1.1351e+11  1.74%     -   35s
     0     0 1.1351e+11    0   73 1.1157e+11 1.1351e+11  1.74%     -   35s
     0     0 1.1351e+11    0   35 1.1157e+11 1.1351e+11  1.74%     -   36s
     0     0 1.1351e+11    0   30 1.1157e+11 1.1351e+11  1.74%     -   37s
     0     2 1.1351e+11    0   27 1.1157e+11 1.1351e+11  1.74%     -   53s
     8    10 1.1351e+11    4  853 1.1157e+11 1.1351e+11  1.74%   755   55s
    54    56 1.1351e+11   27  450 1.1157e+11 1.1351e+11  1.74%   161   60s
    98    92 1.1351e+11   50  439 1.1157e+11 1.1351e+11  1.74%   132   65s
   138   124 1.1351e+11   70  465 1.1157e+11 1.1351e+11  1.74%   134   70s
   215   173 1.1351e+11  109  431 1.1157e+11 1.1351e+11  1.74%   158   75s
   266   218 1.1351e+11  134  429 1.1157e+11 1.1351e+11  1.74%   180   80s
   306   248 1.1312e+11  156  543 1.1157e+11 1.1351e+11  1.74%   198   85s
   326   262 1.1317e+11  167  517 1.1157e+11 1.1351e+11  1.74%   202   93s
   346   273 1.1351e+11  178  425 1.1157e+11 1.1351e+11  1.74%   215   95s
   353   279 1.1351e+11  183  420 1.1157e+11 1.1351e+11  1.74%   215  102s
   388   305 1.1351e+11  212  446 1.1157e+11 1.1351e+11  1.74%   207  105s
   397   306 1.1351e+11  217  458 1.1157e+11 1.1351e+11  1.74%   206  111s
   431   313     cutoff   10      1.1157e+11 1.1351e+11  1.74%   226  115s
   452   326 1.1351e+11   11  655 1.1157e+11 1.1351e+11  1.74%   228  125s
   491   363 1.1351e+11   42  519 1.1157e+11 1.1351e+11  1.74%   215  130s
   589   449 1.1351e+11   98  509 1.1157e+11 1.1351e+11  1.74%   195  135s
   602   457 1.1325e+11  172   30 1.1157e+11 1.1351e+11  1.74%   191  144s
   604   458 1.1294e+11   12  703 1.1157e+11 1.1351e+11  1.74%   191  156s
   605   459 1.1351e+11   37  397 1.1157e+11 1.1351e+11  1.74%   190  162s
   612   465 1.1351e+11   92  767 1.1157e+11 1.1351e+11  1.74%   251  170s
