Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (linux64 - "Oracle Linux Server 9.4")

CPU model: Intel(R) Xeon(R) CPU E5-2660 v4 @ 2.00GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 28 physical cores, 28 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  3597.906078017
SoftMemLimit  16
NumericFocus  1
Threads  1

Academic license 2690100 - for non-commercial use only - registered to ju___@uclm.es
Optimize a model with 21709 rows, 4916 columns and 97784 nonzeros
Model fingerprint: 0xefffefc2
Variable types: 72 continuous, 4844 integer (4844 binary)
Coefficient statistics:
  Matrix range     [1e+00, 7e+12]
  Objective range  [3e+08, 3e+09]
  Bounds range     [1e+03, 1e+04]
  RHS range        [1e+00, 2e+14]
Warning: Model contains large matrix coefficient range
Warning: Model contains large objective coefficients
Warning: Model contains large rhs

Loaded user MIP start with objective 8.1318e+10

Presolve removed 16737 rows and 3368 columns
Presolve time: 0.30s
Presolved: 4972 rows, 1548 columns, 16833 nonzeros
Variable types: 57 continuous, 1491 integer (1491 binary)

Root relaxation: objective 8.420480e+10, 821 iterations, 0.05 seconds (0.03 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 8.4205e+10    0  139 8.1318e+10 8.4205e+10  3.55%     -    0s
     0     0 8.4205e+10    0  191 8.1318e+10 8.4205e+10  3.55%     -    0s
     0     0 8.4205e+10    0  188 8.1318e+10 8.4205e+10  3.55%     -    0s
     0     0 8.4205e+10    0    4 8.1318e+10 8.4205e+10  3.55%     -    1s
     0     0 8.4205e+10    0    6 8.1318e+10 8.4205e+10  3.55%     -    1s
     0     0 8.4205e+10    0    8 8.1318e+10 8.4205e+10  3.55%     -    1s
     0     0 8.4205e+10    0    7 8.1318e+10 8.4205e+10  3.55%     -    1s
     0     0 8.4205e+10    0    7 8.1318e+10 8.4205e+10  3.55%     -    1s
     0     2 8.4205e+10    0    7 8.1318e+10 8.4205e+10  3.55%     -    1s
   386   141 8.4205e+10   64   85 8.1318e+10 8.4205e+10  3.55%  28.8    5s
  1054   232 8.4205e+10   65   35 8.1318e+10 8.4205e+10  3.55%  25.1   10s
  2101   242 8.4205e+10   77   24 8.1318e+10 8.4205e+10  3.55%  15.9   15s
  2964   268 8.4205e+10   75    6 8.1318e+10 8.4205e+10  3.55%  13.9   20s
  2982   280 8.4205e+10   12   38 8.1318e+10 8.4205e+10  3.55%  13.8   25s
H 3092   327                    8.307680e+10 8.4205e+10  1.36%   9.4   27s
  3138   341 8.4205e+10   44  145 8.3077e+10 8.4205e+10  1.36%  10.1   30s
  3291   408 8.4205e+10   74   53 8.3077e+10 8.4205e+10  1.36%  11.6   35s
  3466   468 8.4205e+10   18  192 8.3077e+10 8.4205e+10  1.36%  13.1   40s
  3632   565 8.4205e+10   59   80 8.3077e+10 8.4205e+10  1.36%  14.4   45s
  3755   599 8.4205e+10   24  183 8.3077e+10 8.4205e+10  1.36%  15.4   50s
  4482   801 8.4205e+10  114   22 8.3077e+10 8.4205e+10  1.36%  15.7   55s
  4738   811 8.4205e+10  116   17 8.3077e+10 8.4205e+10  1.36%  17.4   60s
  5073   814 8.4205e+10  111   17 8.3077e+10 8.4205e+10  1.36%  18.9   65s
  5194   855 8.4205e+10   68  116 8.3077e+10 8.4205e+10  1.36%  20.1   70s
  5333   938 8.4205e+10   64  145 8.3077e+10 8.4205e+10  1.36%  21.3   75s
  5510  1053 8.4205e+10   73   44 8.3077e+10 8.4205e+10  1.36%  22.1   80s
  5620  1085 8.4205e+10   63   60 8.3077e+10 8.4205e+10  1.36%  22.5   87s
  5674  1125 8.4205e+10   51   63 8.3077e+10 8.4205e+10  1.36%  22.9   90s
  5873  1204 8.4205e+10   89   11 8.3077e+10 8.4205e+10  1.36%  23.9   95s
  6034  1195 8.4205e+10   19  152 8.3077e+10 8.4205e+10  1.36%  25.1  100s
  6248  1273 8.4205e+10  115   18 8.3077e+10 8.4205e+10  1.36%  26.3  105s
  6458  1295 infeasible   85      8.3077e+10 8.4205e+10  1.36%  27.0  110s
  6623  1336 8.4205e+10   62   23 8.3077e+10 8.4205e+10  1.36%  28.3  115s
  6807  1370     cutoff   86      8.3077e+10 8.4205e+10  1.36%  29.1  120s
  6991  1402 8.4205e+10   69   57 8.3077e+10 8.4205e+10  1.36%  30.6  125s
  7135  1440 8.4205e+10   78   33 8.3077e+10 8.4205e+10  1.36%  31.3  131s
  7225  1462 infeasible   78      8.3077e+10 8.4205e+10  1.36%  31.8  135s
  7397  1474 8.4205e+10   77   64 8.3077e+10 8.4205e+10  1.36%  32.9  140s
  7529  1476 8.4205e+10   78   56 8.3077e+10 8.4205e+10  1.36%  33.9  145s
  7651  1460 8.4205e+10   84   27 8.3077e+10 8.4205e+10  1.36%  35.0  150s
  7826  1464 infeasible   81      8.3077e+10 8.4205e+10  1.36%  35.7  155s
  7970  1536 8.4205e+10   66   58 8.3077e+10 8.4205e+10  1.36%  36.2  160s
  8174  1578 8.4205e+10   72   30 8.3077e+10 8.4205e+10  1.36%  36.9  165s
