Item ident;Id truck;Id stack;Item code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
0091017700_08062023001574;P209574901;P209574901_1;A1;0;0;0;1010;1206;785
0091017700_08062023005052;P209574901;P209574901_1;A2;0;0;785;1010;1206;1570
0091017700_08062023005052;P209574901;P209574901_1;A3;0;0;1570;1010;1206;2355
0091017700_08062023001574;P209574901;P209574901_2;B1;0;1234;0;1010;2440;785
0091017700_08062023003950;P209574901;P209574901_2;B2;0;1234;785;1010;2440;1570
0091017700_08062023005052;P209574901;P209574901_2;B3;0;1234;1570;1010;2440;2355
0091017700_08062023002224;P209574901;P209574901_3;C1;1010;40;0;2010;1240;975
0091017700_08062023004962;P209574901;P209574901_3;C2;1010;40;975;2010;1240;1905
0091017700_08062023004962;P209574901;P209574901_3;C3;1010;40;1905;2010;1240;2835
0091017700_08062023002224;P209574901;P209574901_4;D1;1010;1240;0;2010;2440;975
0091017700_08062023004962;P209574901;P209574901_4;D2;1010;1240;975;2010;2440;1905
0091017700_08062023004962;P209574901;P209574901_4;D3;1010;1240;1905;2010;2440;2835
0091017700_08062023002224;P209574901;P209574901_5;E1;2010;0;0;3010;1200;975
0091017700_08062023004421;P209574901;P209574901_5;E2;2010;0;975;3010;1200;1905
0091017700_08062023004962;P209574901;P209574901_5;E3;2010;0;1905;3010;1200;2835
0091017700_08062023004421;P209574901;P209574901_6;F1;2010;1206;0;3010;2406;975
0091017700_08062023004962;P209574901;P209574901_6;F2;2010;1206;975;3010;2406;1905
0091017700_08062023004962;P209574901;P209574901_6;F3;2010;1206;1905;3010;2406;2835
0091017700_08062023004421;P209574901;P209574901_7;G1;3010;0;0;4010;1200;975
0091017700_08062023004421;P209574901;P209574901_7;G2;3010;0;975;4010;1200;1905
0091017700_08062023004962;P209574901;P209574901_7;G3;3010;0;1905;4010;1200;2835
0091017700_08062023001574;P209574901;P209574901_8;H1;3010;1234;0;4020;2440;785
0091017700_08062023001574;P209574901;P209574901_8;H2;3010;1234;785;4020;2440;1570
0091017700_08062023005052;P209574901;P209574901_8;H3;3010;1234;1570;4020;2440;2355
0091017700_08062023001574;P209574901;P209574901_9;I1;4010;0;0;5020;1206;785
0091017700_08062023005052;P209574901;P209574901_9;I2;4010;0;785;5020;1206;1570
