Item ident;Id truck;Id stack;Item code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
0090038200_14062023016057;P210390025;P210390025_1;A1;0;0;0;1605;1205;960
0090038200_14062023016057;P210390025;P210390025_1;A2;0;0;960;1605;1205;1875
0090038200_14062023020150;P210390025;P210390025_1;A3;0;0;1875;1605;1205;2790
0090038200_14062023021340;P210390025;P210390025_2;B1;0;1205;0;2000;2405;1500
0090038200_14062023005476;P210390025;P210390025_3;C1;1605;0;0;3805;1200;1250
0090038200_14062023008698;P210390025;P210390025_3;C2;1605;0;1250;3805;1200;2455
0090038200_14062023006999;P210390025;P210390025_4;D1;2000;1205;0;3800;2405;1000
0090038200_14062023014461;P210390025;P210390025_4;D2;2000;1205;1000;3800;2405;2285
0090038200_14062023002700;P210390025;P210390025_5;E1;3805;0;0;7005;2400;1700
0090038200_14062023000196;P210390025;P210390025_6;F1;7005;0;0;10205;2400;1700
0090038200_14062023016949;P210390025;P210390025_7;G1;10205;0;0;13405;2400;1700
