Item ident;Id truck;Id stack;Item code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
0090017100_14062023018978;P192050601;P192050601_1;A1;0;0;0;1000;1200;930
0090017100_14062023004361;P192050601;P192050601_1;A2;0;0;930;1000;1200;1860
0090017100_14062023014595;P192050601;P192050601_1;A3;0;0;1860;1000;1200;2790
0090017100_14062023015292;P192050601;P192050601_2;B1;0;1440;0;1200;2440;975
0090017100_14062023004361;P192050601;P192050601_2;B2;0;1440;975;1200;2440;1905
0090017100_14062023004361;P192050601;P192050601_2;B3;0;1440;1905;1200;2440;2835
0090017100_14062023020786;P192050601;P192050601_3;C1;1000;0;0;2010;1206;1085
0090017100_14062023021507;P192050601;P192050601_3;C2;1000;0;1085;2010;1206;1470
0090017100_14062023015504;P192050601;P192050601_4;D1;1200;1240;0;3000;2440;1050
0090017100_14062023015504;P192050601;P192050601_4;D2;1200;1240;1050;3000;2440;2055
0090017100_14062023014691;P192050601;P192050601_5;E1;2010;0;0;3020;1206;1085
0090017100_14062023016884;P192050601;P192050601_5;E2;2010;0;1085;3020;1206;2270
0090017100_14062023008169;P192050601;P192050601_6;F1;3000;1240;0;4000;2440;975
0090017100_14062023011792;P192050601;P192050601_6;F2;3000;1240;975;4000;2440;1905
0090017100_14062023024540;P192050601;P192050601_6;F3;3000;1240;1905;4000;2440;2835
0090017100_14062023002915;P192050601;P192050601_7;G1;3020;40;0;4020;1240;975
0090017100_14062023007657;P192050601;P192050601_7;G2;3020;40;975;4020;1240;1905
0090017100_14062023024540;P192050601;P192050601_7;G3;3020;40;1905;4020;1240;2835
0090017100_14062023010023;P192050601;P192050601_8;H1;4020;40;0;5020;1240;930
0090017100_14062023024540;P192050601;P192050601_8;H2;4020;40;930;5020;1240;1860
0090017100_14062023025583;P192050601;P192050601_8;H3;4020;40;1860;5020;1240;2790
0090017100_14062023020966;P192050601;P192050601_9;I1;4020;1240;0;5020;2440;975
0090017100_14062023014791;P192050601;P192050601_9;I2;4020;1240;975;5020;2440;1905
0090017100_14062023025583;P192050601;P192050601_9;I3;4020;1240;1905;5020;2440;2835
0090017100_14062023024148;P192050601;P192050601_10;J1;5020;40;0;6020;1240;975
0090017100_14062023011792;P192050601;P192050601_10;J2;5020;40;975;6020;1240;1905
0090017100_14062023024148;P192050601;P192050601_10;J3;5020;40;1905;6020;1240;2835
0090017100_14062023024540;P192050601;P192050601_11;K1;5020;1440;0;6220;2440;975
0090017100_14062023007657;P192050601;P192050601_11;K2;5020;1440;975;6220;2440;1905
0090017100_14062023025583;P192050601;P192050601_11;K3;5020;1440;1905;6220;2440;2835
0090017100_14062023024540;P192050601;P192050601_12;L1;6020;0;0;7020;1200;975
0090017100_14062023007657;P192050601;P192050601_12;L2;6020;0;975;7020;1200;1905
0090017100_14062023025583;P192050601;P192050601_12;L3;6020;0;1905;7020;1200;2835
0090017100_14062023002677;P192050601;P192050601_13;M1;6220;1240;0;7220;2440;975
0090017100_14062023016543;P192050601;P192050601_13;M2;6220;1240;975;7220;2440;1860
0090017100_14062023024148;P192050601;P192050601_13;M3;6220;1240;1860;7220;2440;2790
0090017100_14062023024540;P192050601;P192050601_14;N1;7020;40;0;8020;1240;975
0090017100_14062023008751;P192050601;P192050601_14;N2;7020;40;975;8020;1240;1860
0090017100_14062023016543;P192050601;P192050601_14;N3;7020;40;1860;8020;1240;2745
0090017100_14062023024148;P192050601;P192050601_15;O1;7220;1240;0;8220;2440;975
0090017100_14062023016286;P192050601;P192050601_15;O2;7220;1240;975;8220;2440;1860
0090017100_14062023025583;P192050601;P192050601_15;O3;7220;1240;1860;8220;2440;2790
0090017100_14062023008169;P192050601;P192050601_16;P1;8020;40;0;9020;1240;975
0090017100_14062023002915;P192050601;P192050601_16;P2;8020;40;975;9020;1240;1905
0090017100_14062023025583;P192050601;P192050601_16;P3;8020;40;1905;9020;1240;2835
0090017100_14062023024148;P192050601;P192050601_17;Q1;8220;1240;0;9220;2440;975
0090017100_14062023007657;P192050601;P192050601_17;Q2;8220;1240;975;9220;2440;1905
0090017100_14062023024540;P192050601;P192050601_17;Q3;8220;1240;1905;9220;2440;2835
0090017100_14062023000444;P192050601;P192050601_18;R1;9020;0;0;10020;1200;975
0090017100_14062023014791;P192050601;P192050601_18;R2;9020;0;975;10020;1200;1905
0090017100_14062023026277;P192050601;P192050601_18;R3;9020;0;1905;10020;1200;2835
0090017100_14062023011362;P192050601;P192050601_19;S1;9220;1240;0;10220;2440;930
0090017100_14062023011362;P192050601;P192050601_19;S2;9220;1240;930;10220;2440;1815
0090017100_14062023011792;P192050601;P192050601_19;S3;9220;1240;1815;10220;2440;2745
0090017100_14062023024148;P192050601;P192050601_20;T1;10220;40;0;11220;1240;975
0090017100_14062023008169;P192050601;P192050601_20;T2;10220;40;975;11220;1240;1905
0090017100_14062023024540;P192050601;P192050601_20;T3;10220;40;1905;11220;1240;2835
0090017100_14062023020966;P192050601;P192050601_21;U1;10220;1240;0;11220;2440;975
0090017100_14062023014791;P192050601;P192050601_21;U2;10220;1240;975;11220;2440;1905
0090017100_14062023025583;P192050601;P192050601_21;U3;10220;1240;1905;11220;2440;2835
0090017100_14062023010981;P192050601;P192050601_22;V1;11220;0;0;12220;1200;930
0090017100_14062023011362;P192050601;P192050601_22;V2;11220;0;930;12220;1200;1815
0090017100_14062023024148;P192050601;P192050601_22;V3;11220;0;1815;12220;1200;2745
0090017100_14062023015536;P192050601;P192050601_23;W1;11220;1240;0;12426;2250;1085
0090017100_14062023010913;P192050601;P192050601_23;W2;11220;1240;1085;12426;2250;2170
0090017100_14062023007657;P192050601;P192050601_24;X1;12220;240;0;13420;1240;975
0090017100_14062023008169;P192050601;P192050601_24;X2;12220;240;975;13420;1240;1905
0090017100_14062023024540;P192050601;P192050601_24;X3;12220;240;1905;13420;1240;2835
