Id truck;Id stack;Stack code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
P192050601;P192050601_1;A;0;0;0;1000;1200;2790
P192050601;P192050601_2;B;0;1440;0;1200;2440;2835
P192050601;P192050601_3;C;1000;0;0;2010;1206;1470
P192050601;P192050601_4;D;1200;1240;0;3000;2440;2055
P192050601;P192050601_5;E;2010;0;0;3020;1206;2270
P192050601;P192050601_6;F;3000;1240;0;4000;2440;2835
P192050601;P192050601_7;G;3020;40;0;4020;1240;2835
P192050601;P192050601_8;H;4020;40;0;5020;1240;2790
P192050601;P192050601_9;I;4020;1240;0;5020;2440;2835
P192050601;P192050601_10;J;5020;40;0;6020;1240;2835
P192050601;P192050601_11;K;5020;1440;0;6220;2440;2835
P192050601;P192050601_12;L;6020;0;0;7020;1200;2835
P192050601;P192050601_13;M;6220;1240;0;7220;2440;2790
P192050601;P192050601_14;N;7020;40;0;8020;1240;2745
P192050601;P192050601_15;O;7220;1240;0;8220;2440;2790
P192050601;P192050601_16;P;8020;40;0;9020;1240;2835
P192050601;P192050601_17;Q;8220;1240;0;9220;2440;2835
P192050601;P192050601_18;R;9020;0;0;10020;1200;2835
P192050601;P192050601_19;S;9220;1240;0;10220;2440;2745
P192050601;P192050601_20;T;10220;40;0;11220;1240;2835
P192050601;P192050601_21;U;10220;1240;0;11220;2440;2835
P192050601;P192050601_22;V;11220;0;0;12220;1200;2745
P192050601;P192050601_23;W;11220;1240;0;12426;2250;2170
P192050601;P192050601_24;X;12220;240;0;13420;1240;2835
P192050601;P192050601_25;Y;12426;1240;0;13426;2440;2790
