Item ident;Id truck;Id stack;Item code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
0090017100_08062023004090;P172156215;P172156215_1;A1;0;0;0;1600;1200;930
0090017100_08062023014484;P172156215;P172156215_1;A2;0;0;930;1600;1200;1815
0090017100_08062023014484;P172156215;P172156215_1;A3;0;0;1815;1600;1200;2700
0090017100_08062023004090;P172156215;P172156215_2;B1;0;1240;0;1600;2440;930
0090017100_08062023014484;P172156215;P172156215_2;B2;0;1240;930;1600;2440;1815
0090017100_08062023014484;P172156215;P172156215_2;B3;0;1240;1815;1600;2440;2700
0090017100_08062023006961;P172156215;P172156215_3;C1;1600;0;0;3200;1200;750
0090017100_08062023013337;P172156215;P172156215_3;C2;1600;0;750;3200;1200;1455
0090017100_08062023021953;P172156215;P172156215_3;C3;1600;0;1455;3200;1200;2160
0090017100_08062023024186;P172156215;P172156215_3;C4;1600;0;2160;3200;1200;2865
0090017100_08062023004090;P172156215;P172156215_4;D1;1600;1240;0;3200;2440;930
0090017100_08062023014484;P172156215;P172156215_4;D2;1600;1240;930;3200;2440;1815
0090017100_08062023014484;P172156215;P172156215_4;D3;1600;1240;1815;3200;2440;2700
0090017100_08062023001697;P172156215;P172156215_5;E1;3200;0;0;4200;1200;750
0090017100_08062023024219;P172156215;P172156215_5;E2;3200;0;750;4200;1200;1455
0090017100_08062023024219;P172156215;P172156215_5;E3;3200;0;1455;4200;1200;2160
0090017100_08062023024219;P172156215;P172156215_5;E4;3200;0;2160;4200;1200;2865
0090017100_08062023001697;P172156215;P172156215_6;F1;3200;1240;0;4200;2440;750
0090017100_08062023024219;P172156215;P172156215_6;F2;3200;1240;750;4200;2440;1455
0090017100_08062023024219;P172156215;P172156215_6;F3;3200;1240;1455;4200;2440;2160
0090017100_08062023024219;P172156215;P172156215_6;F4;3200;1240;2160;4200;2440;2865
0090017100_08062023001697;P172156215;P172156215_7;G1;4200;0;0;5200;1200;750
0090017100_08062023021025;P172156215;P172156215_7;G2;4200;0;750;5200;1200;1455
0090017100_08062023021025;P172156215;P172156215_7;G3;4200;0;1455;5200;1200;2160
0090017100_08062023022880;P172156215;P172156215_7;G4;4200;0;2160;5200;1200;2865
0090017100_08062023001697;P172156215;P172156215_8;H1;4200;1240;0;5200;2440;750
0090017100_08062023021025;P172156215;P172156215_8;H2;4200;1240;750;5200;2440;1455
0090017100_08062023021025;P172156215;P172156215_8;H3;4200;1240;1455;5200;2440;2160
0090017100_08062023021025;P172156215;P172156215_8;H4;4200;1240;2160;5200;2440;2865
0090017100_08062023001697;P172156215;P172156215_9;I1;5200;0;0;6200;1200;750
0090017100_08062023011409;P172156215;P172156215_9;I2;5200;0;750;6200;1200;1455
0090017100_08062023016461;P172156215;P172156215_9;I3;5200;0;1455;6200;1200;2160
0090017100_08062023016461;P172156215;P172156215_9;I4;5200;0;2160;6200;1200;2865
0090017100_08062023001697;P172156215;P172156215_10;J1;5200;1240;0;6200;2440;750
0090017100_08062023011409;P172156215;P172156215_10;J2;5200;1240;750;6200;2440;1455
0090017100_08062023011409;P172156215;P172156215_10;J3;5200;1240;1455;6200;2440;2160
0090017100_08062023011409;P172156215;P172156215_10;J4;5200;1240;2160;6200;2440;2865
0090017100_08062023006626;P172156215;P172156215_11;K1;6200;0;0;7800;1200;930
0090017100_08062023006626;P172156215;P172156215_11;K2;6200;0;930;7800;1200;1815
0090017100_08062023006626;P172156215;P172156215_11;K3;6200;0;1815;7800;1200;2700
0090017100_08062023009818;P172156215;P172156215_12;L1;6200;1240;0;7800;2440;930
0090017100_08062023006626;P172156215;P172156215_12;L2;6200;1240;930;7800;2440;1815
0090017100_08062023016399;P172156215;P172156215_12;L3;6200;1240;1815;7800;2440;2700
0090017100_08062023006626;P172156215;P172156215_13;M1;7800;0;0;9400;1200;930
0090017100_08062023006626;P172156215;P172156215_13;M2;7800;0;930;9400;1200;1815
0090017100_08062023006626;P172156215;P172156215_13;M3;7800;0;1815;9400;1200;2700
0090017100_08062023006626;P172156215;P172156215_14;N1;7800;1240;0;9400;2440;930
0090017100_08062023006626;P172156215;P172156215_14;N2;7800;1240;930;9400;2440;1815
0090017100_08062023014484;P172156215;P172156215_14;N3;7800;1240;1815;9400;2440;2700
0090017100_08062023004090;P172156215;P172156215_15;O1;9400;0;0;11000;1200;930
0090017100_08062023014484;P172156215;P172156215_15;O2;9400;0;930;11000;1200;1815
0090017100_08062023014484;P172156215;P172156215_15;O3;9400;0;1815;11000;1200;2700
0090017100_08062023005161;P172156215;P172156215_16;P1;9400;1240;0;10400;2440;750
0090017100_08062023010293;P172156215;P172156215_16;P2;9400;1240;750;10400;2440;1455
0090017100_08062023011409;P172156215;P172156215_16;P3;9400;1240;1455;10400;2440;2160
0090017100_08062023011409;P172156215;P172156215_16;P4;9400;1240;2160;10400;2440;2865
0090017100_08062023009818;P172156215;P172156215_17;Q1;10400;1240;0;12000;2440;930
0090017100_08062023004090;P172156215;P172156215_17;Q2;10400;1240;930;12000;2440;1815
0090017100_08062023016399;P172156215;P172156215_17;Q3;10400;1240;1815;12000;2440;2700
0090017100_08062023010293;P172156215;P172156215_18;R1;11000;0;0;12000;1200;750
0090017100_08062023010293;P172156215;P172156215_18;R2;11000;0;750;12000;1200;1455
0090017100_08062023010293;P172156215;P172156215_18;R3;11000;0;1455;12000;1200;2160
0090017100_08062023010293;P172156215;P172156215_18;R4;11000;0;2160;12000;1200;2865
0090017100_08062023016399;P172156215;P172156215_19;S1;12000;0;0;13200;1600;930
0090017100_08062023016399;P172156215;P172156215_19;S2;12000;0;930;13200;1600;1815
0090017100_08062023016399;P172156215;P172156215_19;S3;12000;0;1815;13200;1600;2700
