Id truck;Id stack;Stack code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
P213752701;P213752701_1;A;0;0;0;1605;1205;2855
P213752701;P213752701_2;B;0;1205;0;1000;2405;2835
P213752701;P213752701_3;C;1000;1205;0;2000;2405;2835
P213752701;P213752701_4;D;1605;0;0;2605;1200;2835
P213752701;P213752701_5;E;2000;1205;0;3000;2405;2835
P213752701;P213752701_6;F;2605;0;0;3605;1200;2865
P213752701;P213752701_7;G;3000;1205;0;4000;2405;2835
P213752701;P213752701_8;H;3605;0;0;4605;1200;2932
P213752701;P213752701_9;I;4000;1300;0;5000;2500;2790
P213752701;P213752701_10;J;4605;0;0;5605;1200;2835
P213752701;P213752701_11;K;5000;1300;0;6000;2500;2745
P213752701;P213752701_12;L;5605;0;0;6605;1200;2790
P213752701;P213752701_13;M;6000;1300;0;7000;2500;2932
P213752701;P213752701_14;N;6605;0;0;7605;1200;2790
P213752701;P213752701_15;O;7000;1200;0;8000;2400;2790
P213752701;P213752701_16;P;7605;0;0;8605;1200;2835
P213752701;P213752701_17;Q;8000;1200;0;9200;2200;2835
P213752701;P213752701_18;R;8605;0;0;9605;1200;2835
P213752701;P213752701_19;S;9200;1200;0;10200;2400;2835
P213752701;P213752701_20;T;9605;0;0;10605;1200;2790
P213752701;P213752701_21;U;10200;1200;0;11400;2200;2835
P213752701;P213752701_22;V;10605;0;0;11605;1200;2932
P213752701;P213752701_23;W;11400;1200;0;12600;2200;2565
P213752701;P213752701_24;X;11605;0;0;12605;1200;2835
P213752701;P213752701_25;Y;12600;1200;0;13600;2400;2790
P213752701;P213752701_26;Z;12605;0;0;13605;1200;2865
P213752701;P213752701_27;AA;13600;1200;0;14600;2400;2865
P213752701;P213752701_28;AB;13605;0;0;14605;1200;2790
