Item ident;Id truck;Id stack;Item code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
0090016900_08062023023349;P165069123;P165069123_1;A1;0;0;0;1800;1200;2340
0090016900_08062023008284;P165069123;P165069123_2;B1;0;1240;0;1800;2440;2340
0090016900_08062023019628;P165069123;P165069123_3;C1;1800;0;0;3600;1200;2340
0090016900_08062023003190;P165069123;P165069123_4;D1;1800;1240;0;4200;2440;2460
0090016900_08062023029004;P165069123;P165069123_5;E1;3600;0;0;5400;1200;2340
0090016900_08062023023349;P165069123;P165069123_6;F1;4200;1240;0;6000;2440;2340
0090016900_08062023023349;P165069123;P165069123_7;G1;5400;0;0;7200;1200;2340
0090016900_08062023026918;P165069123;P165069123_8;H1;6000;1240;0;7800;2440;2340
0090016900_08062023032826;P165069123;P165069123_9;I1;7200;0;0;9600;1200;1900
0090016900_08062023023349;P165069123;P165069123_10;J1;7800;1240;0;9600;2440;2340
0090016900_08062023010198;P165069123;P165069123_11;K1;9600;0;0;10800;2400;1900
0090016900_08062023039316;P165069123;P165069123_12;L1;10800;0;0;13200;1200;1900
0090016900_08062023025018;P165069123;P165069123_13;M1;10800;1240;0;13200;2440;1900
