Item ident;Id truck;Id stack;Item code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
0090018000_08062023004922;P216730301;P216730301_1;A1;0;0;0;1000;1200;975
0090018000_08062023004922;P216730301;P216730301_1;A2;0;0;975;1000;1200;1905
0090018000_08062023013363;P216730301;P216730301_1;A3;0;0;1905;1000;1200;2835
0090018000_08062023004922;P216730301;P216730301_2;B1;0;1200;0;1200;2200;975
0090018000_08062023005542;P216730301;P216730301_2;B2;0;1200;975;1200;2200;1905
0090018000_08062023011963;P216730301;P216730301_2;B3;0;1200;1905;1200;2200;2835
0090018000_08062023013550;P216730301;P216730301_3;C1;1000;0;0;2000;1200;1057
0090018000_08062023001493;P216730301;P216730301_3;C2;1000;0;1057;2000;1200;1316
0090018000_08062023005032;P216730301;P216730301_3;C3;1000;0;1316;2000;1200;1775
0090018000_08062023006664;P216730301;P216730301_3;C4;1000;0;1775;2000;1200;2930
0090018000_08062023004922;P216730301;P216730301_4;D1;1200;1200;0;2200;2400;975
0090018000_08062023003160;P216730301;P216730301_4;D2;1200;1200;975;2200;2400;1905
0090018000_08062023013363;P216730301;P216730301_4;D3;1200;1200;1905;2200;2400;2835
0090018000_08062023013581;P216730301;P216730301_5;E1;2000;0;0;3000;1200;459
0090018000_08062023000034;P216730301;P216730301_5;E2;2000;0;459;3000;1200;918
0090018000_08062023003435;P216730301;P216730301_5;E3;2000;0;918;3000;1200;1377
0090018000_08062023003921;P216730301;P216730301_5;E4;2000;0;1377;3000;1200;1836
0090018000_08062023006909;P216730301;P216730301_5;E5;2000;0;1836;3000;1200;2893
0090018000_08062023005554;P216730301;P216730301_6;F1;2200;1200;0;3200;2400;975
0090018000_08062023005542;P216730301;P216730301_6;F2;2200;1200;975;3200;2400;1905
0090018000_08062023011053;P216730301;P216730301_6;F3;2200;1200;1905;3200;2400;2835
0090018000_08062023007683;P216730301;P216730301_7;G1;3000;0;0;4600;1200;975
0090018000_08062023005952;P216730301;P216730301_7;G2;3000;0;975;4600;1200;1905
0090018000_08062023007683;P216730301;P216730301_7;G3;3000;0;1905;4600;1200;2835
0090018000_08062023009551;P216730301;P216730301_8;H1;3200;1300;0;4200;2500;750
0090018000_08062023008959;P216730301;P216730301_8;H2;3200;1300;750;4200;2500;1455
0090018000_08062023008959;P216730301;P216730301_8;H3;3200;1300;1455;4200;2500;2160
0090018000_08062023011484;P216730301;P216730301_8;H4;3200;1300;2160;4200;2500;2865
0090018000_08062023000209;P216730301;P216730301_9;I1;4200;1300;0;5200;2500;975
0090018000_08062023000209;P216730301;P216730301_9;I2;4200;1300;975;5200;2500;1905
0090018000_08062023014096;P216730301;P216730301_9;I3;4200;1300;1905;5200;2500;2835
0090018000_08062023005554;P216730301;P216730301_10;J1;4600;0;0;5600;1200;975
0090018000_08062023006776;P216730301;P216730301_10;J2;4600;0;975;5600;1200;1905
0090018000_08062023011963;P216730301;P216730301_10;J3;4600;0;1905;5600;1200;2835
0090018000_08062023010216;P216730301;P216730301_11;K1;5200;1300;0;6200;2500;1057
0090018000_08062023002610;P216730301;P216730301_11;K2;5200;1300;1057;6200;2500;1416
0090018000_08062023003328;P216730301;P216730301_11;K3;5200;1300;1416;6200;2500;1775
0090018000_08062023005440;P216730301;P216730301_11;K4;5200;1300;1775;6200;2500;2196
0090018000_08062023007200;P216730301;P216730301_11;K5;5200;1300;2196;6200;2500;2555
0090018000_08062023008688;P216730301;P216730301_11;K6;5200;1300;2555;6200;2500;2914
0090018000_08062023008510;P216730301;P216730301_12;L1;5600;0;0;6600;1200;1057
0090018000_08062023006381;P216730301;P216730301_12;L2;5600;0;1057;6600;1200;1516
0090018000_08062023010216;P216730301;P216730301_12;L3;5600;0;1516;6600;1200;2573
0090018000_08062023000143;P216730301;P216730301_13;M1;6200;1300;0;7200;2500;1057
0090018000_08062023011156;P216730301;P216730301_13;M2;6200;1300;1057;7200;2500;1815
0090018000_08062023014030;P216730301;P216730301_13;M3;6200;1300;1815;7200;2500;2872
0090018000_08062023013363;P216730301;P216730301_14;N1;6600;0;0;7600;1200;975
0090018000_08062023003407;P216730301;P216730301_14;N2;6600;0;975;7600;1200;1905
0090018000_08062023011963;P216730301;P216730301_14;N3;6600;0;1905;7600;1200;2835
0090018000_08062023013363;P216730301;P216730301_15;O1;7200;1300;0;8200;2500;975
0090018000_08062023000597;P216730301;P216730301_15;O2;7200;1300;975;8200;2500;1905
0090018000_08062023013824;P216730301;P216730301_15;O3;7200;1300;1905;8200;2500;2835
