Id truck;Id stack;Stack code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
P177706603;P177706603_1;A;0;0;0;1000;1200;1905
P177706603;P177706603_2;B;0;1260;0;1000;2460;1905
P177706603;P177706603_3;C;1000;0;0;2000;1200;1905
P177706603;P177706603_4;D;1000;1260;0;2000;2460;1905
P177706603;P177706603_5;E;2000;0;0;3000;1200;1905
P177706603;P177706603_6;F;2000;1260;0;3000;2460;1905
P177706603;P177706603_7;G;3000;0;0;4000;1200;1905
P177706603;P177706603_8;H;3000;1260;0;4000;2460;1905
P177706603;P177706603_9;I;4000;0;0;5000;1200;975
P177706603;P177706603_10;J;4000;1255;0;5605;2460;1450
P177706603;P177706603_11;K;5000;0;0;6600;1200;2555
P177706603;P177706603_12;L;5605;1260;0;7205;2460;2555
P177706603;P177706603_13;M;6600;0;0;8200;1200;2555
P177706603;P177706603_14;N;7205;1260;0;8805;2460;2555
P177706603;P177706603_15;O;8200;0;0;9800;1200;2555
P177706603;P177706603_16;P;8805;1260;0;10405;2460;2555
P177706603;P177706603_17;Q;9800;0;0;11400;1200;2555
P177706603;P177706603_18;R;10405;1260;0;12005;2460;2555
P177706603;P177706603_19;S;11400;0;0;13000;1200;2555
P177706603;P177706603_20;T;12005;1260;0;13605;2460;2555
P177706603;P177706603_21;U;13000;0;0;14600;1200;1300
P177706603;P177706603_22;V;13605;1255;0;15210;2460;1450
P177706603;P177706603_23;W;14600;0;0;16205;1205;1450
P177706603;P177706603_24;X;15210;1255;0;16815;2460;1450
P177706603;P177706603_25;Y;16205;0;0;17810;1205;1450
P177706603;P177706603_26;Z;16815;1255;0;18420;2460;1450
P177706603;P177706603_27;AA;17810;0;0;19415;1205;1450
P177706603;P177706603_28;AB;18420;1255;0;20025;2460;1450
P177706603;P177706603_29;AC;19415;0;0;21020;1205;1450
P177706603;P177706603_30;AD;20025;1255;0;21630;2460;1450
P177706603;P177706603_31;AE;21020;0;0;22625;1205;1450
P177706603;P177706603_32;AF;21630;1255;0;23235;2460;1450
P177706603;P177706603_33;AG;22625;0;0;24230;1205;1450
P177706603;P177706603_34;AH;23235;1255;0;24840;2460;1450
