Id truck;Id stack;Stack code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
P206291501;P206291501_1;A;0;620;0;1000;1820;895
P206291501;P206291501_2;B;1000;0;0;2010;1206;2525
P206291501;P206291501_3;C;1000;1234;0;2010;2440;2525
P206291501;P206291501_4;D;2010;820;0;3210;1620;740
P206291501;P206291501_5;E;3210;820;0;4410;1620;740
P206291501;P206291501_6;F;3210;1620;0;4410;2420;740
P206291501;P206291501_7;G;4410;40;0;5610;840;740
P206291501;P206291501_8;H;4410;840;0;5610;1640;740
P206291501;P206291501_9;I;4410;1640;0;5610;2440;740
P206291501;P206291501_10;J;5610;0;0;6810;800;740
P206291501;P206291501_11;K;5610;800;0;6810;1600;740
P206291501;P206291501_12;L;5610;1640;0;6810;2440;740
P206291501;P206291501_13;M;6810;0;0;8010;800;740
P206291501;P206291501_14;N;6810;800;0;8010;1600;740
P206291501;P206291501_15;O;6810;1640;0;8010;2440;740
P206291501;P206291501_16;P;8010;0;0;9210;800;740
P206291501;P206291501_17;Q;8010;800;0;9210;1600;740
P206291501;P206291501_18;R;8010;1640;0;9210;2440;740
P206291501;P206291501_19;S;9210;0;0;10410;800;740
P206291501;P206291501_20;T;9210;1234;0;10220;2440;2168
P206291501;P206291501_21;U;10220;1234;0;11230;2440;2170
P206291501;P206291501_22;V;10410;0;0;11420;1206;2170
P206291501;P206291501_23;W;11230;1234;0;12240;2440;2264
P206291501;P206291501_24;X;11420;0;0;12430;1206;2166
