Item ident;Id truck;Id stack;Item code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
0090016200_08062023032826;P185291501;P185291501_1;A1;0;0;0;1010;1206;1185
0090016200_08062023011499;P185291501;P185291501_1;A2;0;0;1185;1010;1206;1570
0090016200_08062023031374;P185291501;P185291501_1;A3;0;0;1570;1010;1206;1955
0090016200_08062023002597;P185291501;P185291501_2;B1;0;1206;0;1010;2412;385
0090016200_08062023002597;P185291501;P185291501_2;B2;0;1206;385;1010;2412;770
0090016200_08062023006020;P185291501;P185291501_2;B3;0;1206;770;1010;2412;1755
0090016200_08062023026116;P185291501;P185291501_2;B4;0;1206;1755;1010;2412;2540
0090016200_08062023029115;P185291501;P185291501_3;C1;1010;230;0;2216;1240;385
0090016200_08062023002597;P185291501;P185291501_3;C2;1010;230;385;2216;1240;770
0090016200_08062023006020;P185291501;P185291501_3;C3;1010;230;770;2216;1240;1755
0090016200_08062023010950;P185291501;P185291501_3;C4;1010;230;1755;2216;1240;2740
0090016200_08062023012658;P185291501;P185291501_4;D1;1010;1240;0;2010;2440;895
0090016200_08062023015307;P185291501;P185291501_5;E1;2010;1600;0;3210;2400;740
0090016200_08062023013141;P185291501;P185291501_6;F1;2216;0;0;3416;800;740
0090016200_08062023013141;P185291501;P185291501_7;G1;3210;800;0;4410;1600;740
0090016200_08062023015307;P185291501;P185291501_8;H1;3210;1600;0;4410;2400;740
0090016200_08062023013141;P185291501;P185291501_9;I1;4410;0;0;5610;800;740
0090016200_08062023013141;P185291501;P185291501_10;J1;4410;800;0;5610;1600;740
0090016200_08062023013141;P185291501;P185291501_11;K1;4410;1640;0;5610;2440;740
0090016200_08062023013141;P185291501;P185291501_12;L1;5610;0;0;6810;800;740
0090016200_08062023013141;P185291501;P185291501_13;M1;5610;800;0;6810;1600;740
0090016200_08062023013141;P185291501;P185291501_14;N1;5610;1640;0;6810;2440;740
0090016200_08062023013141;P185291501;P185291501_15;O1;6810;0;0;8010;800;740
0090016200_08062023013141;P185291501;P185291501_16;P1;6810;800;0;8010;1600;740
0090016200_08062023013141;P185291501;P185291501_17;Q1;6810;1640;0;8010;2440;740
0090016200_08062023013141;P185291501;P185291501_18;R1;8010;0;0;9210;800;740
0090016200_08062023013141;P185291501;P185291501_19;S1;8010;800;0;9210;1600;740
0090016200_08062023015307;P185291501;P185291501_20;T1;8010;1600;0;9210;2400;740
0090016200_08062023013141;P185291501;P185291501_21;U1;9210;0;0;10410;800;740
0090016200_08062023013141;P185291501;P185291501_22;V1;9210;800;0;10410;1600;740
0090016200_08062023013141;P185291501;P185291501_23;W1;9210;1600;0;10410;2400;740
0090016200_08062023003145;P185291501;P185291501_24;X1;10410;28;0;11420;1234;1083
0090016200_08062023019109;P185291501;P185291501_25;Y1;10410;1234;0;11420;2440;1085
0090016200_08062023028099;P185291501;P185291501_25;Y2;10410;1234;1085;11420;2440;2266
0090016200_08062023028099;P185291501;P185291501_26;Z1;11420;0;0;12430;1206;1181
0090016200_08062023003145;P185291501;P185291501_26;Z2;11420;0;1181;12430;1206;2264
0090016200_08062023002058;P185291501;P185291501_27;AA1;11420;1234;0;12430;2440;1085
0090016200_08062023002058;P185291501;P185291501_27;AA2;11420;1234;1085;12430;2440;2170
0090016200_08062023017412;P185291501;P185291501_28;AB1;12430;0;0;13440;1206;783
0090016200_08062023009762;P185291501;P185291501_28;AB2;12430;0;783;13440;1206;1866
0090016200_08062023003145;P185291501;P185291501_29;AC1;12430;1234;0;13440;2440;1083
0090016200_08062023002058;P185291501;P185291501_29;AC2;12430;1234;1083;13440;2440;2168
