Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (linux64 - "Oracle Linux Server 9.4")

CPU model: Intel(R) Xeon(R) CPU E5-2660 v4 @ 2.00GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 28 physical cores, 28 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  3597.965785825
SoftMemLimit  16
NumericFocus  1
Threads  1

Academic license 2690100 - for non-commercial use only - registered to ju___@uclm.es
Optimize a model with 17627 rows, 4086 columns and 67907 nonzeros
Model fingerprint: 0x3e84a93b
Variable types: 68 continuous, 4018 integer (4018 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+13]
  Objective range  [1e+09, 3e+09]
  Bounds range     [1e+03, 1e+04]
  RHS range        [1e+00, 2e+14]
Warning: Model contains large matrix coefficient range
Warning: Model contains large objective coefficients
Warning: Model contains large rhs
Found heuristic solution: objective -0.0000000
Presolve removed 9603 rows and 1657 columns
Presolve time: 0.43s
Presolved: 8024 rows, 2429 columns, 29472 nonzeros
Variable types: 64 continuous, 2365 integer (2362 binary)

Root relaxation: objective 8.871842e+10, 1504 iterations, 0.14 seconds (0.09 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 8.8718e+10    0  275   -0.00000 8.8718e+10      -     -    1s
     0     0 8.8718e+10    0  263   -0.00000 8.8718e+10      -     -    1s
H    0     0                    3.004345e+09 8.8718e+10  2853%     -    1s
     0     0 8.8718e+10    0  386 3.0043e+09 8.8718e+10  2853%     -    1s
H    0     0                    2.617688e+10 8.8718e+10   239%     -    1s
     0     0 8.8718e+10    0  446 2.6177e+10 8.8718e+10   239%     -    1s
     0     0 8.8718e+10    0  114 2.6177e+10 8.8718e+10   239%     -    3s
H    0     0                    3.300704e+10 8.8718e+10   169%     -    3s
     0     0 8.8718e+10    0  324 3.3007e+10 8.8718e+10   169%     -    3s
     0     0 8.8718e+10    0  113 3.3007e+10 8.8718e+10   169%     -    4s
     0     0 8.8718e+10    0  152 3.3007e+10 8.8718e+10   169%     -    4s
     0     0 8.8718e+10    0  169 3.3007e+10 8.8718e+10   169%     -    4s
H    0     0                    4.666736e+10 8.8718e+10  90.1%     -    4s
     0     0 8.8718e+10    0  391 4.6667e+10 8.8718e+10  90.1%     -    4s
     0     0 8.8718e+10    0  132 4.6667e+10 8.8718e+10  90.1%     -    5s
H    0     0                    5.752059e+10 8.8718e+10  54.2%     -    5s
     0     0 8.8718e+10    0  166 5.7521e+10 8.8718e+10  54.2%     -    5s
     0     0 8.8718e+10    0  182 5.7521e+10 8.8718e+10  54.2%     -    5s
     0     0 8.8718e+10    0  181 5.7521e+10 8.8718e+10  54.2%     -    5s
     0     2 8.8718e+10    0   67 5.7521e+10 8.8718e+10  54.2%     -    6s
H   26    21                    6.346694e+10 8.8718e+10  39.8%   164    8s
H   26    21                    6.465720e+10 8.8718e+10  37.2%   164    8s
H   26    21                    6.807228e+10 8.8718e+10  30.3%   164    8s
H   26    21                    6.911175e+10 8.8718e+10  28.4%   164    9s
    98    70 8.5303e+10   52   83 6.9112e+10 8.8718e+10  28.4%  74.7   10s
   319   242 8.5148e+10   27  119 6.9112e+10 8.8441e+10  28.0%  85.3   15s
   624   446 8.5714e+10   88  181 6.9112e+10 8.7887e+10  27.2%  63.6   21s
H  632   428                    7.252683e+10 8.7887e+10  21.2%  62.8   24s
   634   430 8.7377e+10   29  189 7.2527e+10 8.7887e+10  21.2%  62.6   25s
   774   489 8.6187e+10   36  149 7.2527e+10 8.7528e+10  20.7%  80.2   30s
*  869   514              89    7.576050e+10 8.7528e+10  15.5%  78.0   33s
   882   513 8.5148e+10   20  147 7.5760e+10 8.7528e+10  15.5%  77.5   35s
  1104   641 8.5148e+10   81  102 7.5760e+10 8.7528e+10  15.5%  69.4   40s
  1284   723 8.7055e+10   34  182 7.5760e+10 8.7528e+10  15.5%  67.0   45s
  1592   877 infeasible  104      7.5760e+10 8.7528e+10  15.5%  61.8   50s
  1871  1023 8.5303e+10   86   93 7.5760e+10 8.7528e+10  15.5%  60.1   55s
  2028  1146 8.7055e+10   28  149 7.5760e+10 8.7528e+10  15.5%  60.6   60s
  2411  1470 8.7055e+10   78   70 7.5760e+10 8.7528e+10  15.5%  57.7   65s
  2716  1722 8.7055e+10   87   94 7.5760e+10 8.7528e+10  15.5%  57.0   70s
  2958  1914 8.7055e+10   53  117 7.5760e+10 8.7528e+10  15.5%  56.1   76s
  3013  1945 8.7528e+10   26  163 7.5760e+10 8.7528e+10  15.5%  56.1   80s
  3205  2096 8.7055e+10   81   86 7.5760e+10 8.7528e+10  15.5%  56.3   85s
  3557  2369 8.7528e+10   32  157 7.5760e+10 8.7528e+10  15.5%  54.4   90s
  3886  2622 infeasible   62      7.5760e+10 8.7528e+10  15.5%  53.5   95s
  4290  2933 8.7055e+10   65   63 7.5760e+10 8.7528e+10  15.5%  51.6  100s
  4610  3166 8.7055e+10   52   94 7.5760e+10 8.7528e+10  15.5%  51.1  105s
