Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (linux64 - "Oracle Linux Server 9.4")

CPU model: Intel(R) Xeon(R) CPU E5-2660 v4 @ 2.00GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 28 physical cores, 28 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  3597.611263718
SoftMemLimit  16
NumericFocus  1
Threads  1

Academic license 2690100 - for non-commercial use only - registered to ju___@uclm.es
Optimize a model with 21577 rows, 5160 columns and 75312 nonzeros
Model fingerprint: 0x3d340e0e
Variable types: 80 continuous, 5080 integer (5080 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+13]
  Objective range  [1e+09, 2e+09]
  Bounds range     [1e+03, 1e+04]
  RHS range        [1e+00, 2e+14]
Warning: Model contains large matrix coefficient range
Warning: Model contains large objective coefficients
Warning: Model contains large rhs
Found heuristic solution: objective -0.0000000
Presolve removed 6906 rows and 880 columns
Presolve time: 0.44s
Presolved: 14671 rows, 4280 columns, 53679 nonzeros
Variable types: 80 continuous, 4200 integer (4200 binary)

Root relaxation: objective 5.590275e+10, 2774 iterations, 0.30 seconds (0.19 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 5.5903e+10    0  490   -0.00000 5.5903e+10      -     -    2s
H    0     0                    2.340000e+09 5.5903e+10  2289%     -    2s
H    0     0                    8.190000e+09 5.5903e+10   583%     -    2s
H    0     0                    9.270000e+09 5.5903e+10   503%     -    2s
H    0     0                    1.044000e+10 5.5903e+10   435%     -    2s
     0     0 5.5347e+10    0  524 1.0440e+10 5.5347e+10   430%     -    4s
     0     0 5.5347e+10    0  528 1.0440e+10 5.5347e+10   430%     -    4s
     0     0 5.5347e+10    0  630 1.0440e+10 5.5347e+10   430%     -    6s
H    0     0                    2.047680e+10 5.5347e+10   170%     -    6s
     0     0 5.5347e+10    0  580 2.0477e+10 5.5347e+10   170%     -    6s
     0     0 5.5347e+10    0  513 2.0477e+10 5.5347e+10   170%     -    7s
H    0     0                    2.583360e+10 5.5347e+10   114%     -    7s
     0     0 5.5347e+10    0  484 2.5834e+10 5.5347e+10   114%     -    7s
     0     0 5.5347e+10    0  401 2.5834e+10 5.5347e+10   114%     -    8s
     0     0 5.5347e+10    0  404 2.5834e+10 5.5347e+10   114%     -    8s
     0     0 5.5347e+10    0  317 2.5834e+10 5.5347e+10   114%     -    9s
H    0     0                    3.290040e+10 5.5347e+10  68.2%     -    9s
     0     0 5.5347e+10    0  231 3.2900e+10 5.5347e+10  68.2%     -    9s
     0     0 5.5347e+10    0  388 3.2900e+10 5.5347e+10  68.2%     -   10s
     0     0 5.5347e+10    0  343 3.2900e+10 5.5347e+10  68.2%     -   10s
     0     0 5.5347e+10    0  388 3.2900e+10 5.5347e+10  68.2%     -   10s
     0     0 5.5347e+10    0  373 3.2900e+10 5.5347e+10  68.2%     -   11s
H    0     0                    3.461040e+10 5.5347e+10  59.9%     -   12s
     0     2 5.5347e+10    0  148 3.4610e+10 5.5347e+10  59.9%     -   12s
H   26    26                    3.974040e+10 5.5347e+10  39.3%   322   13s
H   27    27                    4.658040e+10 5.5347e+10  18.8%   312   14s
    37    39 5.4185e+10   21  258 4.6580e+10 5.5347e+10  18.8%   269   15s
   135   114 5.3600e+10   77  123 4.6580e+10 5.5347e+10  18.8%   116   20s
   271   177 5.3600e+10   46  221 4.6580e+10 5.5347e+10  18.8%   101   25s
   409   265 5.4185e+10   15  385 4.6580e+10 5.5347e+10  18.8%  91.5   30s
H  435   286                    4.775040e+10 5.5347e+10  15.9%  91.2   31s
H  516   339                    4.892040e+10 5.5347e+10  13.1%  83.8   35s
   588   382 5.4185e+10   33  218 4.8920e+10 5.5347e+10  13.1%  84.3   40s
   655   423 5.4185e+10   40  373 4.8920e+10 5.5347e+10  13.1%  80.5   45s
   657   424 5.3600e+10   35  358 4.8920e+10 5.5347e+10  13.1%  80.3   52s
   660   426 5.3600e+10   54  647 4.8920e+10 5.4177e+10  10.7%  79.9   55s
   664   429 5.3600e+10   86  598 4.8920e+10 5.4159e+10  10.7%  79.4   60s
   667   431 5.3600e+10   40  331 4.8920e+10 5.4159e+10  10.7%  79.1   65s
   672   434 5.3600e+10   73  428 4.8920e+10 5.4159e+10  10.7%  78.5   71s
   675   436 5.4159e+10    8  624 4.8920e+10 5.4159e+10  10.7%  78.1   75s
   680   441 5.3600e+10   92  373 4.8920e+10 5.4159e+10  10.7%   199   80s
   682   442 5.4159e+10   25  541 4.8920e+10 5.4159e+10  10.7%   198   85s
   686   445 5.2430e+10   20  358 4.8920e+10 5.4116e+10  10.6%   197   91s
   690   448 5.3600e+10   91  425 4.8920e+10 5.4116e+10  10.6%   196   96s
   694   450 5.3600e+10   46  484 4.8920e+10 5.4116e+10  10.6%   195  101s
   697   452 5.3600e+10   57  685 4.8920e+10 5.4116e+10  10.6%   194  105s
   701   455 5.3600e+10   66  535 4.8920e+10 5.4116e+10  10.6%   193  110s
   704   457 5.3600e+10   32  356 4.8920e+10 5.4047e+10  10.5%   192  115s
