Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (linux64 - "Oracle Linux Server 9.4")

CPU model: Intel(R) Xeon(R) CPU E5-2660 v4 @ 2.00GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 28 physical cores, 28 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  3598.023887823
SoftMemLimit  16
NumericFocus  1
Threads  1

Academic license 2690100 - for non-commercial use only - registered to ju___@uclm.es
Optimize a model with 20173 rows, 4694 columns and 80424 nonzeros
Model fingerprint: 0x0dfd9eac
Variable types: 72 continuous, 4622 integer (4622 binary)
Coefficient statistics:
  Matrix range     [1e+00, 8e+12]
  Objective range  [1e+09, 3e+09]
  Bounds range     [1e+03, 1e+04]
  RHS range        [1e+00, 2e+14]
Warning: Model contains large matrix coefficient range
Warning: Model contains large objective coefficients
Warning: Model contains large rhs
Found heuristic solution: objective -0.0000000
Presolve removed 4441 rows and 77 columns
Presolve time: 0.39s
Presolved: 15732 rows, 4617 columns, 57886 nonzeros
Variable types: 72 continuous, 4545 integer (4545 binary)

Root relaxation: objective 9.469800e+10, 1927 iterations, 0.24 seconds (0.19 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 9.4698e+10    0  189   -0.00000 9.4698e+10      -     -    1s
H    0     0                    1.042200e+10 9.4698e+10   809%     -    1s
     0     0 9.4698e+10    0  442 1.0422e+10 9.4698e+10   809%     -    2s
     0     0 9.4698e+10    0  441 1.0422e+10 9.4698e+10   809%     -    2s
     0     0 9.4698e+10    0  163 1.0422e+10 9.4698e+10   809%     -    4s
H    0     0                    4.743000e+10 9.4698e+10   100%     -    4s
     0     0 9.4698e+10    0  403 4.7430e+10 9.4698e+10   100%     -    5s
     0     0 9.4698e+10    0  305 4.7430e+10 9.4698e+10   100%     -    7s
     0     0 9.4698e+10    0  299 4.7430e+10 9.4698e+10   100%     -    7s
     0     0 9.4698e+10    0  224 4.7430e+10 9.4698e+10   100%     -   10s
H    0     0                    6.816600e+10 9.4698e+10  38.9%     -   10s
H    0     0                    6.933600e+10 9.4698e+10  36.6%     -   10s
H    0     0                    7.050600e+10 9.4698e+10  34.3%     -   10s
     0     0 9.4698e+10    0  295 7.0506e+10 9.4698e+10  34.3%     -   11s
     0     0 9.4698e+10    0  287 7.0506e+10 9.4698e+10  34.3%     -   13s
     0     0 9.4698e+10    0  542 7.0506e+10 9.4698e+10  34.3%     -   13s
     0     0 9.4698e+10    0  135 7.0506e+10 9.4698e+10  34.3%     -   15s
     0     0 9.4698e+10    0  135 7.0506e+10 9.4698e+10  34.3%     -   15s
     0     0 9.4698e+10    0  155 7.0506e+10 9.4698e+10  34.3%     -   17s
     0     0 9.4698e+10    0  486 7.0506e+10 9.4698e+10  34.3%     -   17s
     0     0 9.4698e+10    0  257 7.0506e+10 9.4698e+10  34.3%     -   20s
     0     0 9.4698e+10    0  257 7.0506e+10 9.4698e+10  34.3%     -   21s
     0     2 9.4698e+10    0  257 7.0506e+10 9.4698e+10  34.3%     -   24s
     6     8 9.4698e+10    3  320 7.0506e+10 9.4698e+10  34.3%   847   25s
H   26    26                    8.433000e+10 9.4698e+10  12.3%   249   26s
   187   114 9.1242e+10  104   62 8.4330e+10 9.4698e+10  12.3%  55.0   30s
   303   164 9.1242e+10  125   76 8.4330e+10 9.4698e+10  12.3%  38.9   35s
   460   238 9.1242e+10  123   81 8.4330e+10 9.4698e+10  12.3%  30.4   40s
   710   398 9.4698e+10   55  257 8.4330e+10 9.4698e+10  12.3%  25.1   48s
   712   399 9.1242e+10   48  186 8.4330e+10 9.4698e+10  12.3%  25.1   51s
   715   401 9.1242e+10  137  183 8.4330e+10 9.4698e+10  12.3%  25.0   57s
   717   403 9.1242e+10   80  304 8.4330e+10 9.4698e+10  12.3%  24.9   61s
   719   404 9.1242e+10   96  126 8.4330e+10 9.4698e+10  12.3%  24.8   65s
   721   405 9.1242e+10  141  137 8.4330e+10 9.4698e+10  12.3%  24.7   70s
   725   408 9.1242e+10  110  111 8.4330e+10 9.4698e+10  12.3%  24.6   77s
   727   409 9.1242e+10   71   86 8.4330e+10 9.4698e+10  12.3%  24.5   80s
   729   411 9.1242e+10  104   73 8.4330e+10 9.4698e+10  12.3%  24.5   85s
   731   412 9.1242e+10  118  263 8.4330e+10 9.4698e+10  12.3%  24.4   90s
   733   413 9.1242e+10   79  225 8.4330e+10 9.4698e+10  12.3%  24.3   95s
   758   432 9.4698e+10   31  365 8.4330e+10 9.4698e+10  12.3%   239  100s
   785   450 9.4698e+10   52  240 8.4330e+10 9.4698e+10  12.3%   234  105s
   823   475 9.4698e+10   76  189 8.4330e+10 9.4698e+10  12.3%   226  110s
   868   503 9.1242e+10  102  101 8.4330e+10 9.4698e+10  12.3%   216  115s
   882   497 9.1242e+10  101  111 8.4330e+10 9.4698e+10  12.3%   214  121s
   914   496 9.4698e+10   14  533 8.4330e+10 9.4698e+10  12.3%   211  125s
   917   498 9.4698e+10   17  379 8.4330e+10 9.4698e+10  12.3%   211  130s
