Item ident;Id truck;Id stack;Item code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
0090018000_08062023001040;P191731005;P191731005_1;A1;0;0;0;1800;1200;1350
0090018000_08062023004986;P191731005;P191731005_1;A2;0;0;1350;1800;1200;2655
0090018000_08062023001040;P191731005;P191731005_2;B1;0;1200;0;1800;2400;1350
0090018000_08062023004986;P191731005;P191731005_2;B2;0;1200;1350;1800;2400;2655
0090018000_08062023002220;P191731005;P191731005_3;C1;1800;0;0;3400;1200;930
0090018000_08062023004456;P191731005;P191731005_3;C2;1800;0;930;3400;1200;1815
0090018000_08062023008978;P191731005;P191731005_3;C3;1800;0;1815;3400;1200;2520
0090018000_08062023008708;P191731005;P191731005_4;D1;1800;1200;0;3400;2400;930
0090018000_08062023008002;P191731005;P191731005_4;D2;1800;1200;930;3400;2400;1815
0090018000_08062023012806;P191731005;P191731005_4;D3;1800;1200;1815;3400;2400;2700
0090018000_08062023010792;P191731005;P191731005_5;E1;3400;0;0;5000;1200;750
0090018000_08062023012806;P191731005;P191731005_5;E2;3400;0;750;5000;1200;1635
0090018000_08062023012806;P191731005;P191731005_5;E3;3400;0;1635;5000;1200;2520
0090018000_08062023007903;P191731005;P191731005_6;F1;3400;1200;0;5000;2400;930
0090018000_08062023008512;P191731005;P191731005_6;F2;3400;1200;930;5000;2400;1815
0090018000_08062023008932;P191731005;P191731005_6;F3;3400;1200;1815;5000;2400;2700
0090018000_08062023003194;P191731005;P191731005_7;G1;5000;0;0;6600;1200;930
0090018000_08062023008978;P191731005;P191731005_7;G2;5000;0;930;6600;1200;1635
0090018000_08062023009355;P191731005;P191731005_7;G3;5000;0;1635;6600;1200;2520
0090018000_08062023013319;P191731005;P191731005_8;H1;5000;1200;0;6600;2400;750
0090018000_08062023001284;P191731005;P191731005_8;H2;5000;1200;750;6600;2400;1635
0090018000_08062023008978;P191731005;P191731005_8;H3;5000;1200;1635;6600;2400;2340
0090018000_08062023002679;P191731005;P191731005_9;I1;6600;0;0;8600;1200;545
0090018000_08062023002679;P191731005;P191731005_9;I2;6600;0;545;8600;1200;1045
0090018000_08062023010461;P191731005;P191731005_10;J1;6600;1205;0;8200;2405;930
0090018000_08062023004878;P191731005;P191731005_10;J2;6600;1205;930;8200;2405;1815
0090018000_08062023008747;P191731005;P191731005_10;J3;6600;1205;1815;8200;2405;2700
0090018000_08062023008932;P191731005;P191731005_11;K1;8200;1200;0;9800;2400;930
0090018000_08062023007645;P191731005;P191731005_11;K2;8200;1200;930;9800;2400;1815
0090018000_08062023010461;P191731005;P191731005_11;K3;8200;1200;1815;9800;2400;2700
0090018000_08062023003493;P191731005;P191731005_12;L1;8600;0;0;10200;1200;930
0090018000_08062023007060;P191731005;P191731005_12;L2;8600;0;930;10200;1200;1815
0090018000_08062023009355;P191731005;P191731005_12;L3;8600;0;1815;10200;1200;2700
0090018000_08062023000346;P191731005;P191731005_13;M1;9800;1205;0;10800;2405;975
0090018000_08062023003521;P191731005;P191731005_13;M2;9800;1205;975;10800;2405;1860
0090018000_08062023006833;P191731005;P191731005_13;M3;9800;1205;1860;10800;2405;2790
0090018000_08062023008280;P191731005;P191731005_14;N1;10200;0;0;11805;1205;990
0090018000_08062023008280;P191731005;P191731005_14;N2;10200;0;990;11805;1205;1935
0090018000_08062023008280;P191731005;P191731005_14;N3;10200;0;1935;11805;1205;2880
0090018000_08062023010403;P191731005;P191731005_15;O1;10800;1205;0;12000;2205;930
0090018000_08062023000346;P191731005;P191731005_15;O2;10800;1205;930;12000;2205;1860
0090018000_08062023005299;P191731005;P191731005_15;O3;10800;1205;1860;12000;2205;2790
0090018000_08062023001064;P191731005;P191731005_16;P1;12000;5;0;13000;1205;750
0090018000_08062023013306;P191731005;P191731005_16;P2;12000;5;750;13000;1205;1455
0090018000_08062023014328;P191731005;P191731005_16;P3;12000;5;1455;13000;1205;2160
0090018000_08062023014614;P191731005;P191731005_16;P4;12000;5;2160;13000;1205;2865
0090018000_08062023013086;P191731005;P191731005_17;Q1;12000;1205;0;13605;2410;1950
0090018000_08062023011264;P191731005;P191731005_18;R1;13000;0;0;14000;1200;750
0090018000_08062023005311;P191731005;P191731005_18;R2;13000;0;750;14000;1200;1635
0090018000_08062023009463;P191731005;P191731005_18;R3;13000;0;1635;14000;1200;2520
0090018000_08062023011933;P191731005;P191731005_19;S1;13605;1205;0;14805;2205;750
0090018000_08062023002537;P191731005;P191731005_19;S2;13605;1205;750;14805;2205;1635
0090018000_08062023011181;P191731005;P191731005_19;S3;13605;1205;1635;14805;2205;2135
0090018000_08062023013113;P191731005;P191731005_19;S4;13605;1205;2135;14805;2205;2840
