scope;anomaly;data;
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023001844;input item qty = 2;output item qty = 1
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023002535;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023002785;input item qty = 2;output item qty = 1
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023003787;input item qty = 2;output item qty = 1
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023004402;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023011598;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023015822;input item qty = 9;output item qty = 1
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023027392;input item qty = 3;output item qty = 2
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023028073;input item qty = 3;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023030012;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023030817;input item qty = 8;output item qty = 2
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023031185;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023032563;input item qty = 1;output item qty = 0
