Item ident;Id truck;Id stack;Item code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
0091017700_08062023001574;P209574901;P209574901_1;A1;0;0;0;1010;1206;785
0091017700_08062023003950;P209574901;P209574901_1;A2;0;0;785;1010;1206;1570
0091017700_08062023005052;P209574901;P209574901_1;A3;0;0;1570;1010;1206;2355
0091017700_08062023002224;P209574901;P209574901_2;B1;0;1206;0;1200;2206;975
0091017700_08062023004421;P209574901;P209574901_2;B2;0;1206;975;1200;2206;1905
0091017700_08062023004421;P209574901;P209574901_2;B3;0;1206;1905;1200;2206;2835
0091017700_08062023001574;P209574901;P209574901_3;C1;1010;0;0;2216;1010;785
0091017700_08062023005052;P209574901;P209574901_3;C2;1010;0;785;2216;1010;1570
0091017700_08062023005052;P209574901;P209574901_3;C3;1010;0;1570;2216;1010;2355
0091017700_08062023001574;P209574901;P209574901_4;D1;1200;1206;0;2210;2412;785
0091017700_08062023003950;P209574901;P209574901_4;D2;1200;1206;785;2210;2412;1570
0091017700_08062023005052;P209574901;P209574901_4;D3;1200;1206;1570;2210;2412;2355
0091017700_08062023001574;P209574901;P209574901_5;E1;2210;1206;0;3416;2216;785
0091017700_08062023005052;P209574901;P209574901_5;E2;2210;1206;785;3416;2216;1570
0091017700_08062023005052;P209574901;P209574901_5;E3;2210;1206;1570;3416;2216;2355
0091017700_08062023002224;P209574901;P209574901_6;F1;2216;0;0;3216;1200;975
0091017700_08062023004421;P209574901;P209574901_6;F2;2216;0;975;3216;1200;1905
0091017700_08062023004962;P209574901;P209574901_6;F3;2216;0;1905;3216;1200;2835
0091017700_08062023001574;P209574901;P209574901_7;G1;3216;0;0;4422;1010;785
0091017700_08062023001574;P209574901;P209574901_7;G2;3216;0;785;4422;1010;1570
0091017700_08062023003950;P209574901;P209574901_7;G3;3216;0;1570;4422;1010;2355
0091017700_08062023004421;P209574901;P209574901_8;H1;3416;1206;0;4416;2406;975
0091017700_08062023004962;P209574901;P209574901_8;H2;3416;1206;975;4416;2406;1905
0091017700_08062023004962;P209574901;P209574901_8;H3;3416;1206;1905;4416;2406;2835
0091017700_08062023002224;P209574901;P209574901_9;I1;4416;1200;0;5416;2400;975
0091017700_08062023004962;P209574901;P209574901_9;I2;4416;1200;975;5416;2400;1905
0091017700_08062023004962;P209574901;P209574901_9;I3;4416;1200;1905;5416;2400;2835
0091017700_08062023002098;P209574901;P209574901_10;J1;4422;0;0;5422;1200;975
0091017700_08062023005615;P209574901;P209574901_10;J2;4422;0;975;5422;1200;1905
0091017700_08062023005615;P209574901;P209574901_10;J3;4422;0;1905;5422;1200;2835
0091017700_08062023000049;P209574901;P209574901_11;K1;5416;1206;0;6426;2412;985
0091017700_08062023003241;P209574901;P209574901_11;K2;5416;1206;985;6426;2412;1970
0091017700_08062023003353;P209574901;P209574901_11;K3;5416;1206;1970;6426;2412;2955
0091017700_08062023001801;P209574901;P209574901_12;L1;5422;0;0;6422;1200;975
0091017700_08062023002253;P209574901;P209574901_12;L2;5422;0;975;6422;1200;1905
0091017700_08062023005814;P209574901;P209574901_12;L3;5422;0;1905;6422;1200;2835
0091017700_08062023001801;P209574901;P209574901_13;M1;6422;0;0;7422;1200;975
0091017700_08062023002098;P209574901;P209574901_13;M2;6422;0;975;7422;1200;1905
0091017700_08062023003905;P209574901;P209574901_13;M3;6422;0;1905;7422;1200;2835
0091017700_08062023000548;P209574901;P209574901_14;N1;6426;1206;0;7436;2412;985
0091017700_08062023003353;P209574901;P209574901_14;N2;6426;1206;985;7436;2412;1970
0091017700_08062023002098;P209574901;P209574901_15;O1;7422;0;0;8422;1200;975
0091017700_08062023003905;P209574901;P209574901_15;O2;7422;0;975;8422;1200;1905
0091017700_08062023005448;P209574901;P209574901_15;O3;7422;0;1905;8422;1200;2835
0091017700_08062023002253;P209574901;P209574901_16;P1;7436;1206;0;8436;2406;975
0091017700_08062023003905;P209574901;P209574901_16;P2;7436;1206;975;8436;2406;1905
0091017700_08062023003905;P209574901;P209574901_16;P3;7436;1206;1905;8436;2406;2835
0091017700_08062023002098;P209574901;P209574901_17;Q1;8436;6;0;9436;1206;975
0091017700_08062023005615;P209574901;P209574901_17;Q2;8436;6;975;9436;1206;1905
0091017700_08062023005704;P209574901;P209574901_17;Q3;8436;6;1905;9436;1206;2835
0091017700_08062023002253;P209574901;P209574901_18;R1;9436;0;0;10436;1200;975
0091017700_08062023005615;P209574901;P209574901_18;R2;9436;0;975;10436;1200;1905
0091017700_08062023005814;P209574901;P209574901_18;R3;9436;0;1905;10436;1200;2835
0091017700_08062023000049;P209574901;P209574901_19;S1;9436;1206;0;10446;2412;985
0091017700_08062023003241;P209574901;P209574901_19;S2;9436;1206;985;10446;2412;1970
0091017700_08062023003353;P209574901;P209574901_19;S3;9436;1206;1970;10446;2412;2955
0091017700_08062023002098;P209574901;P209574901_20;T1;10446;6;0;11446;1206;975
0091017700_08062023003806;P209574901;P209574901_20;T2;10446;6;975;11446;1206;1905
0091017700_08062023003905;P209574901;P209574901_20;T3;10446;6;1905;11446;1206;2835
0091017700_08062023002098;P209574901;P209574901_21;U1;10446;1206;0;11446;2406;975
0091017700_08062023002098;P209574901;P209574901_21;U2;10446;1206;975;11446;2406;1905
0091017700_08062023001801;P209574901;P209574901_22;V1;11446;0;0;12446;1200;975
0091017700_08062023002103;P209574901;P209574901_22;V2;11446;0;975;12446;1200;1905
0091017700_08062023005615;P209574901;P209574901_22;V3;11446;0;1905;12446;1200;2835
0091017700_08062023001801;P209574901;P209574901_23;W1;11446;1206;0;12446;2406;975
0091017700_08062023002103;P209574901;P209574901_23;W2;11446;1206;975;12446;2406;1905
0091017700_08062023005615;P209574901;P209574901_23;W3;11446;1206;1905;12446;2406;2835
0091017700_08062023000049;P209574901;P209574901_24;X1;12446;0;0;13456;1206;985
0091017700_08062023000049;P209574901;P209574901_24;X2;12446;0;985;13456;1206;1970
0091017700_08062023000115;P209574901;P209574901_25;Y1;12446;1206;0;13446;2406;975
0091017700_08062023003806;P209574901;P209574901_25;Y2;12446;1206;975;13446;2406;1905
0091017700_08062023003905;P209574901;P209574901_25;Y3;12446;1206;1905;13446;2406;2835
