Id truck;Id stack;Stack code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
P209574901;P209574901_1;A;0;0;0;1010;1206;2355
P209574901;P209574901_2;B;0;1206;0;1200;2206;2835
P209574901;P209574901_3;C;1010;0;0;2216;1010;2355
P209574901;P209574901_4;D;1200;1206;0;2210;2412;2355
P209574901;P209574901_5;E;2210;1206;0;3416;2216;2355
P209574901;P209574901_6;F;2216;0;0;3216;1200;2835
P209574901;P209574901_7;G;3216;0;0;4422;1010;2355
P209574901;P209574901_8;H;3416;1206;0;4416;2406;2835
P209574901;P209574901_9;I;4416;1200;0;5416;2400;2835
P209574901;P209574901_10;J;4422;0;0;5422;1200;2835
P209574901;P209574901_11;K;5416;1206;0;6426;2412;2955
P209574901;P209574901_12;L;5422;0;0;6422;1200;2835
P209574901;P209574901_13;M;6422;0;0;7422;1200;2835
P209574901;P209574901_14;N;6426;1206;0;7436;2412;1970
P209574901;P209574901_15;O;7422;0;0;8422;1200;2835
P209574901;P209574901_16;P;7436;1206;0;8436;2406;2835
P209574901;P209574901_17;Q;8436;6;0;9436;1206;2835
P209574901;P209574901_18;R;9436;0;0;10436;1200;2835
P209574901;P209574901_19;S;9436;1206;0;10446;2412;2955
P209574901;P209574901_20;T;10446;6;0;11446;1206;2835
P209574901;P209574901_21;U;10446;1206;0;11446;2406;1905
P209574901;P209574901_22;V;11446;0;0;12446;1200;2835
P209574901;P209574901_23;W;11446;1206;0;12446;2406;2835
P209574901;P209574901_24;X;12446;0;0;13456;1206;1970
P209574901;P209574901_25;Y;12446;1206;0;13446;2406;2835
