Item ident;Id truck;Id stack;Item code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
0090038200_14062023000196;P210390025;P210390025_1;A1;0;0;0;3200;2400;1700
0090038200_14062023016949;P210390025;P210390025_2;B1;3200;0;0;6400;2400;1700
0090038200_14062023002700;P210390025;P210390025_3;C1;6400;0;0;9600;2400;1700
0090038200_14062023016057;P210390025;P210390025_4;D1;9600;0;0;11205;1205;960
0090038200_14062023016057;P210390025;P210390025_4;D2;9600;0;960;11205;1205;1875
0090038200_14062023020150;P210390025;P210390025_4;D3;9600;0;1875;11205;1205;2790
0090038200_14062023006999;P210390025;P210390025_5;E1;9600;1205;0;11400;2405;1000
0090038200_14062023014461;P210390025;P210390025_5;E2;9600;1205;1000;11400;2405;2285
0090038200_14062023005476;P210390025;P210390025_6;F1;11205;0;0;13405;1200;1250
0090038200_14062023008698;P210390025;P210390025_6;F2;11205;0;1250;13405;1200;2455
0090038200_14062023021340;P210390025;P210390025_7;G1;11400;1240;0;13400;2440;1500
