Item ident;Id truck;Id stack;Item code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
0090017100_14062023018978;P192050601;P192050601_1;A1;0;0;0;1000;1200;930
0090017100_14062023015292;P192050601;P192050601_1;A2;0;0;930;1000;1200;1860
0090017100_14062023027273;P192050601;P192050601_1;A3;0;0;1860;1000;1200;2745
0090017100_14062023004361;P192050601;P192050601_2;B1;0;1240;0;1000;2440;975
0090017100_14062023004361;P192050601;P192050601_2;B2;0;1240;975;1000;2440;1905
0090017100_14062023004361;P192050601;P192050601_2;B3;0;1240;1905;1000;2440;2835
0090017100_14062023008751;P192050601;P192050601_3;C1;1000;0;0;2000;1200;930
0090017100_14062023024540;P192050601;P192050601_3;C2;1000;0;930;2000;1200;1860
0090017100_14062023025583;P192050601;P192050601_3;C3;1000;0;1860;2000;1200;2790
0090017100_14062023020966;P192050601;P192050601_4;D1;1000;1240;0;2000;2440;975
0090017100_14062023002915;P192050601;P192050601_4;D2;1000;1240;975;2000;2440;1905
0090017100_14062023024540;P192050601;P192050601_4;D3;1000;1240;1905;2000;2440;2835
0090017100_14062023011792;P192050601;P192050601_5;E1;2000;0;0;3000;1200;975
0090017100_14062023008169;P192050601;P192050601_5;E2;2000;0;975;3000;1200;1905
0090017100_14062023024148;P192050601;P192050601_5;E3;2000;0;1905;3000;1200;2835
0090017100_14062023002915;P192050601;P192050601_6;F1;3000;0;0;4000;1200;975
0090017100_14062023007657;P192050601;P192050601_6;F2;3000;0;975;4000;1200;1905
0090017100_14062023016286;P192050601;P192050601_6;F3;3000;0;1905;4000;1200;2790
0090017100_14062023016884;P192050601;P192050601_7;G1;3000;1200;0;4010;2406;1185
0090017100_14062023010913;P192050601;P192050601_7;G2;3000;1200;1185;4010;2406;2270
0090017100_14062023016543;P192050601;P192050601_8;H1;4010;0;0;5010;1200;930
0090017100_14062023008169;P192050601;P192050601_8;H2;4010;0;930;5010;1200;1860
0090017100_14062023014791;P192050601;P192050601_8;H3;4010;0;1860;5010;1200;2790
0090017100_14062023010981;P192050601;P192050601_9;I1;4010;1240;0;5010;2440;930
0090017100_14062023024540;P192050601;P192050601_9;I2;4010;1240;930;5010;2440;1860
0090017100_14062023026277;P192050601;P192050601_9;I3;4010;1240;1860;5010;2440;2790
0090017100_14062023002677;P192050601;P192050601_10;J1;5010;0;0;6210;1000;975
0090017100_14062023007657;P192050601;P192050601_10;J2;5010;0;975;6210;1000;1905
0090017100_14062023014791;P192050601;P192050601_10;J3;5010;0;1905;6210;1000;2835
0090017100_14062023002915;P192050601;P192050601_11;K1;5010;1440;0;6210;2440;975
0090017100_14062023007657;P192050601;P192050601_11;K2;5010;1440;975;6210;2440;1905
0090017100_14062023025583;P192050601;P192050601_11;K3;5010;1440;1905;6210;2440;2835
0090017100_14062023020966;P192050601;P192050601_12;L1;6210;34;0;7210;1234;975
0090017100_14062023024540;P192050601;P192050601_12;L2;6210;34;975;7210;1234;1905
0090017100_14062023025583;P192050601;P192050601_12;L3;6210;34;1905;7210;1234;2835
0090017100_14062023016543;P192050601;P192050601_13;M1;6210;1240;0;7210;2440;930
0090017100_14062023007657;P192050601;P192050601_13;M2;6210;1240;930;7210;2440;1860
0090017100_14062023024148;P192050601;P192050601_13;M3;6210;1240;1860;7210;2440;2790
0090017100_14062023011792;P192050601;P192050601_14;N1;7210;0;0;8210;1200;975
0090017100_14062023017017;P192050601;P192050601_14;N2;7210;0;975;8210;1200;1860
0090017100_14062023024148;P192050601;P192050601_14;N3;7210;0;1860;8210;1200;2790
0090017100_14062023008169;P192050601;P192050601_15;O1;7210;1200;0;8210;2400;975
0090017100_14062023024540;P192050601;P192050601_15;O2;7210;1200;975;8210;2400;1905
0090017100_14062023025583;P192050601;P192050601_15;O3;7210;1200;1905;8210;2400;2835
0090017100_14062023024148;P192050601;P192050601_16;P1;8210;0;0;9210;1200;975
0090017100_14062023011792;P192050601;P192050601_16;P2;8210;0;975;9210;1200;1905
0090017100_14062023024148;P192050601;P192050601_16;P3;8210;0;1905;9210;1200;2835
0090017100_14062023011362;P192050601;P192050601_17;Q1;8210;1234;0;9210;2434;930
0090017100_14062023024540;P192050601;P192050601_17;Q2;8210;1234;930;9210;2434;1860
0090017100_14062023025583;P192050601;P192050601_17;Q3;8210;1234;1860;9210;2434;2790
0090017100_14062023011362;P192050601;P192050601_18;R1;9210;234;0;10410;1234;930
0090017100_14062023008169;P192050601;P192050601_18;R2;9210;234;930;10410;1234;1860
0090017100_14062023024540;P192050601;P192050601_18;R3;9210;234;1860;10410;1234;2790
0090017100_14062023018621;P192050601;P192050601_19;S1;9210;1234;0;10410;2234;930
0090017100_14062023024148;P192050601;P192050601_19;S2;9210;1234;930;10410;2234;1860
0090017100_14062023024148;P192050601;P192050601_19;S3;9210;1234;1860;10410;2234;2790
0090017100_14062023010023;P192050601;P192050601_20;T1;10410;34;0;11410;1234;930
0090017100_14062023011362;P192050601;P192050601_20;T2;10410;34;930;11410;1234;1815
0090017100_14062023019595;P192050601;P192050601_20;T3;10410;34;1815;11410;1234;2700
0090017100_14062023014691;P192050601;P192050601_21;U1;10410;1234;0;11420;2440;1085
0090017100_14062023015536;P192050601;P192050601_21;U2;10410;1234;1085;11420;2440;2170
0090017100_14062023007657;P192050601;P192050601_22;V1;11420;40;0;12420;1240;975
0090017100_14062023014791;P192050601;P192050601_22;V2;11420;40;975;12420;1240;1905
0090017100_14062023024148;P192050601;P192050601_22;V3;11420;40;1905;12420;1240;2835
0090017100_14062023000444;P192050601;P192050601_23;W1;11420;1240;0;12420;2440;975
0090017100_14062023024540;P192050601;P192050601_23;W2;11420;1240;975;12420;2440;1905
0090017100_14062023025583;P192050601;P192050601_23;W3;11420;1240;1905;12420;2440;2835
0090017100_14062023002145;P192050601;P192050601_24;X1;12420;0;0;13420;1200;930
0090017100_14062023024540;P192050601;P192050601_24;X2;12420;0;930;13420;1200;1860
0090017100_14062023025583;P192050601;P192050601_24;X3;12420;0;1860;13420;1200;2790
