Id truck;Id stack;Stack code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
P192050601;P192050601_1;A;0;0;0;1000;1200;2745
P192050601;P192050601_2;B;0;1240;0;1000;2440;2835
P192050601;P192050601_3;C;1000;0;0;2000;1200;2790
P192050601;P192050601_4;D;1000;1240;0;2000;2440;2835
P192050601;P192050601_5;E;2000;0;0;3000;1200;2835
P192050601;P192050601_6;F;3000;0;0;4000;1200;2790
P192050601;P192050601_7;G;3000;1200;0;4010;2406;2270
P192050601;P192050601_8;H;4010;0;0;5010;1200;2790
P192050601;P192050601_9;I;4010;1240;0;5010;2440;2790
P192050601;P192050601_10;J;5010;0;0;6210;1000;2835
P192050601;P192050601_11;K;5010;1440;0;6210;2440;2835
P192050601;P192050601_12;L;6210;34;0;7210;1234;2835
P192050601;P192050601_13;M;6210;1240;0;7210;2440;2790
P192050601;P192050601_14;N;7210;0;0;8210;1200;2790
P192050601;P192050601_15;O;7210;1200;0;8210;2400;2835
P192050601;P192050601_16;P;8210;0;0;9210;1200;2835
P192050601;P192050601_17;Q;8210;1234;0;9210;2434;2790
P192050601;P192050601_18;R;9210;234;0;10410;1234;2790
P192050601;P192050601_19;S;9210;1234;0;10410;2234;2790
P192050601;P192050601_20;T;10410;34;0;11410;1234;2700
P192050601;P192050601_21;U;10410;1234;0;11420;2440;2170
P192050601;P192050601_22;V;11420;40;0;12420;1240;2835
P192050601;P192050601_23;W;11420;1240;0;12420;2440;2835
P192050601;P192050601_24;X;12420;0;0;13420;1200;2790
