Item ident;Id truck;Id stack;Item code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
0090017100_08062023021953;P172156215;P172156215_1;A1;0;0;0;1600;1200;750
0090017100_08062023006626;P172156215;P172156215_1;A2;0;0;750;1600;1200;1635
0090017100_08062023014484;P172156215;P172156215_1;A3;0;0;1635;1600;1200;2520
0090017100_08062023004090;P172156215;P172156215_2;B1;0;1200;0;1600;2400;930
0090017100_08062023004090;P172156215;P172156215_2;B2;0;1200;930;1600;2400;1815
0090017100_08062023016399;P172156215;P172156215_2;B3;0;1200;1815;1600;2400;2700
0090017100_08062023001697;P172156215;P172156215_3;C1;1600;0;0;2600;1200;750
0090017100_08062023005161;P172156215;P172156215_3;C2;1600;0;750;2600;1200;1455
0090017100_08062023010293;P172156215;P172156215_3;C3;1600;0;1455;2600;1200;2160
0090017100_08062023021025;P172156215;P172156215_3;C4;1600;0;2160;2600;1200;2865
0090017100_08062023001697;P172156215;P172156215_4;D1;1600;1240;0;2600;2440;750
0090017100_08062023011409;P172156215;P172156215_4;D2;1600;1240;750;2600;2440;1455
0090017100_08062023021025;P172156215;P172156215_4;D3;1600;1240;1455;2600;2440;2160
0090017100_08062023021025;P172156215;P172156215_4;D4;1600;1240;2160;2600;2440;2865
0090017100_08062023001697;P172156215;P172156215_5;E1;2600;0;0;3600;1200;750
0090017100_08062023010293;P172156215;P172156215_5;E2;2600;0;750;3600;1200;1455
0090017100_08062023010293;P172156215;P172156215_5;E3;2600;0;1455;3600;1200;2160
0090017100_08062023016461;P172156215;P172156215_5;E4;2600;0;2160;3600;1200;2865
0090017100_08062023006626;P172156215;P172156215_6;F1;2600;1200;0;4200;2400;930
0090017100_08062023006626;P172156215;P172156215_6;F2;2600;1200;930;4200;2400;1815
0090017100_08062023024186;P172156215;P172156215_6;F3;2600;1200;1815;4200;2400;2520
0090017100_08062023013337;P172156215;P172156215_7;G1;4200;0;0;5800;1200;750
0090017100_08062023016399;P172156215;P172156215_7;G2;4200;0;750;5800;1200;1635
0090017100_08062023016399;P172156215;P172156215_7;G3;4200;0;1635;5800;1200;2520
0090017100_08062023004090;P172156215;P172156215_8;H1;4200;1240;0;5800;2440;930
0090017100_08062023006626;P172156215;P172156215_8;H2;4200;1240;930;5800;2440;1815
0090017100_08062023006626;P172156215;P172156215_8;H3;4200;1240;1815;5800;2440;2700
0090017100_08062023006626;P172156215;P172156215_9;I1;5800;40;0;7400;1240;930
0090017100_08062023014484;P172156215;P172156215_9;I2;5800;40;930;7400;1240;1815
0090017100_08062023014484;P172156215;P172156215_9;I3;5800;40;1815;7400;1240;2700
0090017100_08062023006626;P172156215;P172156215_10;J1;5800;1240;0;7400;2440;930
0090017100_08062023004090;P172156215;P172156215_10;J2;5800;1240;930;7400;2440;1815
0090017100_08062023016399;P172156215;P172156215_10;J3;5800;1240;1815;7400;2440;2700
0090017100_08062023001697;P172156215;P172156215_11;K1;7400;0;0;8600;1000;750
0090017100_08062023010293;P172156215;P172156215_11;K2;7400;0;750;8600;1000;1455
0090017100_08062023011409;P172156215;P172156215_11;K3;7400;0;1455;8600;1000;2160
0090017100_08062023011409;P172156215;P172156215_11;K4;7400;0;2160;8600;1000;2865
0090017100_08062023009818;P172156215;P172156215_12;L1;7400;1200;0;9000;2400;930
0090017100_08062023009818;P172156215;P172156215_12;L2;7400;1200;930;9000;2400;1815
0090017100_08062023016399;P172156215;P172156215_12;L3;7400;1200;1815;9000;2400;2700
0090017100_08062023004090;P172156215;P172156215_13;M1;9000;0;0;10600;1200;930
0090017100_08062023006626;P172156215;P172156215_13;M2;9000;0;930;10600;1200;1815
0090017100_08062023014484;P172156215;P172156215_13;M3;9000;0;1815;10600;1200;2700
0090017100_08062023022382;P172156215;P172156215_14;N1;9000;1240;0;10600;2440;750
0090017100_08062023014484;P172156215;P172156215_14;N2;9000;1240;750;10600;2440;1635
0090017100_08062023014484;P172156215;P172156215_14;N3;9000;1240;1635;10600;2440;2520
0090017100_08062023001697;P172156215;P172156215_15;O1;10600;0;0;11600;1200;750
0090017100_08062023011409;P172156215;P172156215_15;O2;10600;0;750;11600;1200;1455
0090017100_08062023011409;P172156215;P172156215_15;O3;10600;0;1455;11600;1200;2160
0090017100_08062023016461;P172156215;P172156215_15;O4;10600;0;2160;11600;1200;2865
0090017100_08062023001697;P172156215;P172156215_16;P1;10600;1200;0;11800;2200;750
0090017100_08062023010293;P172156215;P172156215_16;P2;10600;1200;750;11800;2200;1455
0090017100_08062023011409;P172156215;P172156215_16;P3;10600;1200;1455;11800;2200;2160
0090017100_08062023021025;P172156215;P172156215_16;P4;10600;1200;2160;11800;2200;2865
0090017100_08062023006961;P172156215;P172156215_17;Q1;11600;0;0;13200;1200;750
0090017100_08062023014484;P172156215;P172156215_17;Q2;11600;0;750;13200;1200;1635
0090017100_08062023014484;P172156215;P172156215_17;Q3;11600;0;1635;13200;1200;2520
0090017100_08062023006626;P172156215;P172156215_18;R1;11800;1240;0;13400;2440;930
0090017100_08062023014484;P172156215;P172156215_18;R2;11800;1240;930;13400;2440;1815
0090017100_08062023016399;P172156215;P172156215_18;R3;11800;1240;1815;13400;2440;2700
