Id truck;Id stack;Stack code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
P172156215;P172156215_1;A;0;0;0;1600;1200;2520
P172156215;P172156215_2;B;0;1200;0;1600;2400;2700
P172156215;P172156215_3;C;1600;0;0;2600;1200;2865
P172156215;P172156215_4;D;1600;1240;0;2600;2440;2865
P172156215;P172156215_5;E;2600;0;0;3600;1200;2865
P172156215;P172156215_6;F;2600;1200;0;4200;2400;2520
P172156215;P172156215_7;G;4200;0;0;5800;1200;2520
P172156215;P172156215_8;H;4200;1240;0;5800;2440;2700
P172156215;P172156215_9;I;5800;40;0;7400;1240;2700
P172156215;P172156215_10;J;5800;1240;0;7400;2440;2700
P172156215;P172156215_11;K;7400;0;0;8600;1000;2865
P172156215;P172156215_12;L;7400;1200;0;9000;2400;2700
P172156215;P172156215_13;M;9000;0;0;10600;1200;2700
P172156215;P172156215_14;N;9000;1240;0;10600;2440;2520
P172156215;P172156215_15;O;10600;0;0;11600;1200;2865
P172156215;P172156215_16;P;10600;1200;0;11800;2200;2865
P172156215;P172156215_17;Q;11600;0;0;13200;1200;2520
P172156215;P172156215_18;R;11800;1240;0;13400;2440;2700
