Item ident;Id truck;Id stack;Item code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
0090018000_08062023003738;P213752701;P213752701_1;A1;0;205;0;1200;1205;1057
0090018000_08062023002847;P213752701;P213752701_1;A2;0;205;1057;1200;1205;1316
0090018000_08062023006979;P213752701;P213752701_1;A3;0;205;1316;1200;1205;2373
0090018000_08062023007945;P213752701;P213752701_1;A4;0;205;2373;1200;1205;2732
0090018000_08062023007379;P213752701;P213752701_2;B1;1200;5;0;2200;1205;975
0090018000_08062023010314;P213752701;P213752701_2;B2;1200;5;975;2200;1205;1905
0090018000_08062023012997;P213752701;P213752701_2;B3;1200;5;1905;2200;1205;2790
0090018000_08062023005544;P213752701;P213752701_3;C1;1200;1205;0;2200;2405;975
0090018000_08062023003275;P213752701;P213752701_3;C2;1200;1205;975;2200;2405;1905
0090018000_08062023007379;P213752701;P213752701_3;C3;1200;1205;1905;2200;2405;2835
0090018000_08062023008865;P213752701;P213752701_4;D1;2200;0;0;3200;1200;975
0090018000_08062023003719;P213752701;P213752701_4;D2;2200;0;975;3200;1200;1905
0090018000_08062023014641;P213752701;P213752701_4;D3;2200;0;1905;3200;1200;2610
0090018000_08062023003719;P213752701;P213752701_5;E1;2200;1205;0;3400;2205;975
0090018000_08062023003459;P213752701;P213752701_5;E2;2200;1205;975;3400;2205;1905
0090018000_08062023012768;P213752701;P213752701_5;E3;2200;1205;1905;3400;2205;2835
0090018000_08062023005449;P213752701;P213752701_6;F1;3200;0;0;4400;1000;1057
0090018000_08062023001424;P213752701;P213752701_6;F2;3200;0;1057;4400;1000;1416
0090018000_08062023013174;P213752701;P213752701_6;F3;3200;0;1416;4400;1000;2473
0090018000_08062023013360;P213752701;P213752701_6;F4;3200;0;2473;4400;1000;2932
0090018000_08062023002775;P213752701;P213752701_7;G1;3400;1205;0;4400;2405;975
0090018000_08062023012768;P213752701;P213752701_7;G2;3400;1205;975;4400;2405;1905
0090018000_08062023013724;P213752701;P213752701_7;G3;3400;1205;1905;4400;2405;2835
0090018000_08062023004500;P213752701;P213752701_8;H1;4400;0;0;6005;1205;1450
0090018000_08062023004500;P213752701;P213752701_8;H2;4400;0;1450;6005;1205;2855
0090018000_08062023004036;P213752701;P213752701_9;I1;4400;1205;0;5400;2405;930
0090018000_08062023008321;P213752701;P213752701_9;I2;4400;1205;930;5400;2405;1635
