Id truck;Id stack;Stack code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
P212738701;P212738701_1;A;0;0;0;1000;2350;2760
P212738701;P212738701_2;B;1000;0;0;2000;2350;2760
P212738701;P212738701_3;C;2000;0;0;4350;1000;2760
P212738701;P212738701_4;D;2000;1500;0;4350;2500;2760
P212738701;P212738701_5;E;4350;0;0;5350;2350;2760
P212738701;P212738701_6;F;5350;0;0;6350;2350;2760
P212738701;P212738701_7;G;6350;0;0;7350;2350;2760
P212738701;P212738701_8;H;7350;500;0;9700;1500;2760
P212738701;P212738701_9;I;7350;1500;0;9700;2500;2760
P212738701;P212738701_10;J;9700;0;0;10700;2350;2760
P212738701;P212738701_11;K;10700;0;0;11700;2350;2760
P212738701;P212738701_12;L;11700;0;0;12700;2350;2760
P212738701;P212738701_13;M;12700;0;0;13700;2350;2760
P212738701;P212738701_14;N;13700;0;0;14700;2350;2760
