Id truck;Id stack;Stack code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
P172069007;P172069007_1;A;0;0;0;1800;1200;2340
P172069007;P172069007_2;B;0;1200;0;1800;2400;2340
P172069007;P172069007_3;C;1800;0;0;3600;1200;2340
P172069007;P172069007_4;D;1800;1200;0;3600;2400;2340
P172069007;P172069007_5;E;3600;0;0;4800;2400;2460
P172069007;P172069007_6;F;4800;0;0;6600;1200;2340
P172069007;P172069007_7;G;4800;1240;0;6600;2440;2340
P172069007;P172069007_8;H;6600;0;0;8400;1200;2340
P172069007;P172069007_9;I;6600;1240;0;8400;2440;2340
P172069007;P172069007_10;J;8400;0;0;10200;1200;2340
P172069007;P172069007_11;K;8400;1240;0;10200;2440;2340
P172069007;P172069007_12;L;10200;40;0;11400;1240;2200
P172069007;P172069007_13;M;10200;1240;0;12000;2440;2340
P172069007;P172069007_14;N;11400;0;0;13200;1200;2340
P172069007;P172069007_15;O;12000;1240;0;13200;2440;2200
