Item ident;Id truck;Id stack;Item code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
0090016900_14062023014794;P208065831;P208065831_1;A1;0;0;0;1010;1206;485
0090016900_14062023010532;P208065831;P208065831_1;A2;0;0;485;1010;1206;970
0090016900_14062023010532;P208065831;P208065831_1;A3;0;0;970;1010;1206;1455
0090016900_14062023025441;P208065831;P208065831_1;A4;0;0;1455;1010;1206;1840
0090016900_14062023034229;P208065831;P208065831_1;A5;0;0;1840;1010;1206;2623
0090016900_14062023039274;P208065831;P208065831_1;A6;0;0;2623;1010;1206;2908
0090016900_14062023013870;P208065831;P208065831_2;B1;0;1234;0;1010;2440;1085
0090016900_14062023013434;P208065831;P208065831_2;B2;0;1234;1085;1010;2440;2170
0090016900_14062023021590;P208065831;P208065831_2;B3;0;1234;2170;1010;2440;2953
0090016900_14062023037268;P208065831;P208065831_3;C1;1010;0;0;2216;1010;485
0090016900_14062023013434;P208065831;P208065831_3;C2;1010;0;485;2216;1010;1570
0090016900_14062023013772;P208065831;P208065831_3;C3;1010;0;1570;2216;1010;1955
0090016900_14062023014794;P208065831;P208065831_3;C4;1010;0;1955;2216;1010;2440
0090016900_14062023031125;P208065831;P208065831_3;C5;1010;0;2440;2216;1010;2925
0090016900_14062023044079;P208065831;P208065831_4;D1;1010;1234;0;2020;2440;485
0090016900_14062023010532;P208065831;P208065831_4;D2;1010;1234;485;2020;2440;970
0090016900_14062023016922;P208065831;P208065831_4;D3;1010;1234;970;2020;2440;2151
0090016900_14062023034229;P208065831;P208065831_4;D4;1010;1234;2151;2020;2440;2934
0090016900_14062023013870;P208065831;P208065831_5;E1;2020;1234;0;3030;2440;1085
0090016900_14062023002941;P208065831;P208065831_5;E2;2020;1234;1085;3030;2440;2170
0090016900_14062023034229;P208065831;P208065831_5;E3;2020;1234;2170;3030;2440;2953
0090016900_14062023021590;P208065831;P208065831_6;F1;2216;0;0;3422;1010;783
0090016900_14062023002941;P208065831;P208065831_6;F2;2216;0;783;3422;1010;1868
0090016900_14062023013434;P208065831;P208065831_6;F3;2216;0;1868;3422;1010;2953
0090016900_14062023002368;P208065831;P208065831_7;G1;3030;1240;0;4030;2440;975
0090016900_14062023021732;P208065831;P208065831_8;H1;3422;0;0;4628;1010;585
0090016900_14062023008542;P208065831;P208065831_8;H2;3422;0;585;4628;1010;1766
0090016900_14062023016922;P208065831;P208065831_8;H3;3422;0;1766;4628;1010;2947
0090016900_14062023028415;P208065831;P208065831_9;I1;4030;1430;0;5236;2440;485
0090016900_14062023008135;P208065831;P208065831_9;I2;4030;1430;485;5236;2440;770
0090016900_14062023013434;P208065831;P208065831_9;I3;4030;1430;770;5236;2440;1855
0090016900_14062023021732;P208065831;P208065831_9;I4;4030;1430;1855;5236;2440;2440
0090016900_14062023031125;P208065831;P208065831_9;I5;4030;1430;2440;5236;2440;2925
0090016900_14062023031125;P208065831;P208065831_10;J1;4628;0;0;5638;1206;485
0090016900_14062023017180;P208065831;P208065831_10;J2;4628;0;485;5638;1206;1467
0090016900_14062023024124;P208065831;P208065831_10;J3;4628;0;1467;5638;1206;2648
0090016900_14062023039274;P208065831;P208065831_10;J4;4628;0;2648;5638;1206;2933
0090016900_14062023021652;P208065831;P208065831_11;K1;5638;0;0;6648;1206;1085
0090016900_14062023000223;P208065831;P208065831_11;K2;5638;0;1085;6648;1206;1370
0090016900_14062023039762;P208065831;P208065831_11;K3;5638;0;1370;6648;1206;2555
0090016900_14062023039762;P208065831;P208065831_12;L1;5638;1206;0;6648;2412;1185
0090016900_14062023021652;P208065831;P208065831_12;L2;5638;1206;1185;6648;2412;2270
0090016900_14062023005848;P208065831;P208065831_13;M1;6648;0;0;7658;1206;285
0090016900_14062023000223;P208065831;P208065831_13;M2;6648;0;285;7658;1206;570
0090016900_14062023021652;P208065831;P208065831_13;M3;6648;0;570;7658;1206;1655
0090016900_14062023021652;P208065831;P208065831_13;M4;6648;0;1655;7658;1206;2740
0090016900_14062023017661;P208065831;P208065831_14;N1;6648;1206;0;8248;2406;750
0090016900_14062023021327;P208065831;P208065831_14;N2;6648;1206;750;8248;2406;1455
0090016900_14062023033599;P208065831;P208065831_14;N3;6648;1206;1455;8248;2406;2160
0090016900_14062023033599;P208065831;P208065831_14;N4;6648;1206;2160;8248;2406;2865
0090016900_14062023017661;P208065831;P208065831_15;O1;7658;6;0;9258;1206;750
0090016900_14062023021327;P208065831;P208065831_15;O2;7658;6;750;9258;1206;1455
