Id truck;Id stack;Stack code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
P216730301;P216730301_1;A;0;0;0;1000;1200;2865
P216730301;P216730301_2;B;0;1300;0;1000;2500;2872
P216730301;P216730301_3;C;1000;0;0;2000;1200;2332
P216730301;P216730301_4;D;2000;0;0;3000;1200;2793
P216730301;P216730301_5;E;3000;0;0;4000;1200;2835
P216730301;P216730301_6;F;3000;1200;0;4000;2400;2835
P216730301;P216730301_7;G;4000;0;0;5000;1200;2865
P216730301;P216730301_8;H;4000;1300;0;5000;2500;2932
P216730301;P216730301_9;I;5000;0;0;6000;1200;1316
P216730301;P216730301_10;J;5000;1300;0;6000;2500;2835
P216730301;P216730301_11;K;6000;0;0;7900;1200;2160
P216730301;P216730301_12;L;6000;1300;0;7000;2500;2835
P216730301;P216730301_13;M;7000;1300;0;8000;2500;1899
P216730301;P216730301_14;N;7900;0;0;8900;1200;2835
P216730301;P216730301_15;O;8900;0;0;10500;1200;2835
P216730301;P216730301_16;P;8900;1200;0;9900;2400;2573
P216730301;P216730301_17;Q;9900;1200;0;11500;2400;2835
P216730301;P216730301_18;R;10500;0;0;12100;1200;2835
P216730301;P216730301_19;S;12100;0;0;13100;1200;2835
P216730301;P216730301_20;T;12100;1200;0;13700;2400;2835
P216730301;P216730301_21;U;13100;0;0;14100;1200;2835
P216730301;P216730301_22;V;13700;1200;0;14700;2400;2835
