Id truck;Id stack;Stack code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
P172137503;P172137503_1;A;0;0;0;1600;1200;1250
P172137503;P172137503_2;B;0;1240;0;1600;2440;2865
P172137503;P172137503_3;C;1600;0;0;3200;1200;2865
P172137503;P172137503_4;D;1600;1200;0;2800;2200;975
P172137503;P172137503_5;E;2800;1240;0;3800;2440;1905
P172137503;P172137503_6;F;3200;200;0;4400;1200;2080
P172137503;P172137503_7;G;3800;1240;0;5000;2240;2080
P172137503;P172137503_8;H;4400;0;0;6000;1200;1955
P172137503;P172137503_9;I;5000;1240;0;6000;2440;2080
P172137503;P172137503_10;J;6000;0;0;7600;1200;2865
P172137503;P172137503_11;K;6000;1240;0;7600;2440;2865
P172137503;P172137503_12;L;7600;0;0;9200;1200;2660
P172137503;P172137503_13;M;7600;1200;0;9200;2400;2660
P172137503;P172137503_14;N;9200;0;0;10200;1200;2835
P172137503;P172137503_15;O;9200;1200;0;10800;2400;2455
P172137503;P172137503_16;P;10200;0;0;11800;1200;2865
P172137503;P172137503_17;Q;10800;1240;0;11800;2440;1905
P172137503;P172137503_18;R;11800;40;0;13400;1240;2840
P172137503;P172137503_19;S;11800;1240;0;12800;2440;2080
