Item ident;Id truck;Id stack;Item code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
0090016200_08062023027479;P206291501;P206291501_1;A1;0;0;0;1010;1206;985
0090016200_08062023013125;P206291501;P206291501_1;A2;0;0;985;1010;1206;1370
0090016200_08062023024615;P206291501;P206291501_1;A3;0;0;1370;1010;1206;2155
0090016200_08062023024936;P206291501;P206291501_1;A4;0;0;2155;1010;1206;2540
0090016200_08062023005200;P206291501;P206291501_2;B1;0;1206;0;1010;2412;385
0090016200_08062023008940;P206291501;P206291501_2;B2;0;1206;385;1010;2412;770
0090016200_08062023019826;P206291501;P206291501_2;B3;0;1206;770;1010;2412;1355
0090016200_08062023031249;P206291501;P206291501_2;B4;0;1206;1355;1010;2412;1740
0090016200_08062023031599;P206291501;P206291501_2;B5;0;1206;1740;1010;2412;2125
0090016200_08062023031599;P206291501;P206291501_2;B6;0;1206;2125;1010;2412;2510
0090016200_08062023030883;P206291501;P206291501_3;C1;1010;234;0;2210;1234;895
0090016200_08062023025586;P206291501;P206291501_4;D1;1010;1600;0;2210;2400;740
0090016200_08062023025586;P206291501;P206291501_5;E1;2210;0;0;3410;800;740
0090016200_08062023025586;P206291501;P206291501_6;F1;2210;1600;0;3410;2400;740
0090016200_08062023025586;P206291501;P206291501_7;G1;3410;0;0;4610;800;740
0090016200_08062023025586;P206291501;P206291501_8;H1;3410;800;0;4610;1600;740
0090016200_08062023025586;P206291501;P206291501_9;I1;3410;1640;0;4610;2440;740
0090016200_08062023025586;P206291501;P206291501_10;J1;4610;0;0;5810;800;740
0090016200_08062023025586;P206291501;P206291501_11;K1;4610;1640;0;5810;2440;740
0090016200_08062023025586;P206291501;P206291501_12;L1;5810;0;0;7010;800;740
0090016200_08062023025586;P206291501;P206291501_13;M1;5810;1640;0;7010;2440;740
0090016200_08062023025586;P206291501;P206291501_14;N1;7010;0;0;8210;800;740
0090016200_08062023025586;P206291501;P206291501_15;O1;7010;800;0;8210;1600;740
0090016200_08062023025586;P206291501;P206291501_16;P1;7010;1640;0;8210;2440;740
0090016200_08062023025586;P206291501;P206291501_17;Q1;8210;800;0;9410;1600;740
0090016200_08062023025586;P206291501;P206291501_18;R1;8210;1640;0;9410;2440;740
0090016200_08062023024719;P206291501;P206291501_19;S1;9410;0;0;10420;1206;1083
0090016200_08062023016273;P206291501;P206291501_19;S2;9410;0;1083;10420;1206;2166
0090016200_08062023025586;P206291501;P206291501_20;T1;9410;1206;0;10610;2006;740
0090016200_08062023032911;P206291501;P206291501_21;U1;10420;0;0;11430;1206;1085
0090016200_08062023020084;P206291501;P206291501_21;U2;10420;0;1085;11430;1206;2168
0090016200_08062023016273;P206291501;P206291501_22;V1;10610;1234;0;11620;2440;1083
0090016200_08062023015056;P206291501;P206291501_22;V2;10610;1234;1083;11620;2440;2168
0090016200_08062023019432;P206291501;P206291501_23;W1;11430;0;0;12636;1010;1181
0090016200_08062023015056;P206291501;P206291501_23;W2;11430;0;1181;12636;1010;2266
0090016200_08062023032911;P206291501;P206291501_24;X1;11620;1234;0;12630;2440;1085
0090016200_08062023015056;P206291501;P206291501_24;X2;11620;1234;1085;12630;2440;2170
