Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (linux64 - "Oracle Linux Server 9.4")

CPU model: Intel(R) Xeon(R) CPU E5-2660 v4 @ 2.00GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 28 physical cores, 28 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  3599.685361974
SoftMemLimit  16
NumericFocus  1
Threads  1

Academic license 2690100 - for non-commercial use only - registered to ju___@uclm.es
Optimize a model with 9950 rows, 2436 columns and 34467 nonzeros
Model fingerprint: 0xbcf400e0
Variable types: 56 continuous, 2380 integer (2380 binary)
Coefficient statistics:
  Matrix range     [1e+00, 7e+13]
  Objective range  [1e+09, 4e+09]
  Bounds range     [1e+03, 1e+04]
  RHS range        [1e+00, 2e+14]
Warning: Model contains large matrix coefficient range
Warning: Model contains large objective coefficients
Warning: Model contains large rhs
Found heuristic solution: objective -0.0000000
Presolve removed 3431 rows and 498 columns
Presolve time: 0.17s
Presolved: 6519 rows, 1938 columns, 24002 nonzeros
Variable types: 56 continuous, 1882 integer (1882 binary)

Root relaxation: objective 8.634780e+10, 1020 iterations, 0.04 seconds (0.02 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 8.6348e+10    0  130   -0.00000 8.6348e+10      -     -    0s
     0     0 8.6348e+10    0  115   -0.00000 8.6348e+10      -     -    0s
H    0     0                    2.393520e+10 8.6348e+10   261%     -    0s
     0     0 8.6348e+10    0  315 2.3935e+10 8.6348e+10   261%     -    0s
     0     0 8.6348e+10    0  309 2.3935e+10 8.6348e+10   261%     -    0s
     0     0 8.6348e+10    0  405 2.3935e+10 8.6348e+10   261%     -    0s
     0     0 8.6348e+10    0  202 2.3935e+10 8.6348e+10   261%     -    1s
     0     0 8.6348e+10    0  190 2.3935e+10 8.6348e+10   261%     -    1s
     0     0 8.6348e+10    0  193 2.3935e+10 8.6348e+10   261%     -    1s
     0     0 8.6348e+10    0   18 2.3935e+10 8.6348e+10   261%     -    1s
     0     0 8.6348e+10    0   23 2.3935e+10 8.6348e+10   261%     -    1s
     0     0 8.6348e+10    0    8 2.3935e+10 8.6348e+10   261%     -    1s
H    0     0                    3.354150e+10 8.6348e+10   157%     -    1s
     0     0 8.6348e+10    0    8 3.3542e+10 8.6348e+10   157%     -    1s
     0     0 8.6348e+10    0   12 3.3542e+10 8.6348e+10   157%     -    1s
     0     0 8.6348e+10    0   15 3.3542e+10 8.6348e+10   157%     -    1s
     0     0 8.6348e+10    0   14 3.3542e+10 8.6348e+10   157%     -    1s
     0     0 8.6348e+10    0   12 3.3542e+10 8.6348e+10   157%     -    1s
     0     0 8.6348e+10    0   12 3.3542e+10 8.6348e+10   157%     -    1s
H    0     0                    6.879780e+10 8.6348e+10  25.5%     -    2s
     0     2 8.6348e+10    0   12 6.8798e+10 8.6348e+10  25.5%     -    2s
H   26    18                    7.221780e+10 8.6348e+10  19.6%  61.7    2s
H  130    62                    7.581780e+10 8.6348e+10  13.9%  50.1    3s
H  319   188                    7.932780e+10 8.6348e+10  8.85%  52.6    5s
H  555   219                    8.283780e+10 8.6348e+10  4.24%  60.2    7s
   690   354 8.6348e+10  151  201 8.2838e+10 8.6348e+10  4.24%  51.5   10s
   737   393 8.6348e+10   73   70 8.2838e+10 8.6348e+10  4.24%  48.8   15s
   882   473 8.6348e+10   49  124 8.2838e+10 8.6348e+10  4.24%  71.7   20s
  1040   545 8.4556e+10   95  203 8.2838e+10 8.6348e+10  4.24%  69.3   25s
  1262   507 8.6348e+10   70  182 8.2838e+10 8.6348e+10  4.24%  65.3   30s
  1393   578 8.6348e+10   93   71 8.2838e+10 8.6348e+10  4.24%  63.2   35s
  1551   650 8.6348e+10  102   72 8.2838e+10 8.6348e+10  4.24%  59.9   40s
  1677   708 8.3097e+10  183   25 8.2838e+10 8.6348e+10  4.24%  58.8   45s
  1939   819 infeasible   66      8.2838e+10 8.6348e+10  4.24%  56.4   50s
  2141   938 8.6348e+10  112   46 8.2838e+10 8.6348e+10  4.24%  55.1   55s
  2340  1035 8.6348e+10   70   53 8.2838e+10 8.6348e+10  4.24%  54.9   60s
  2519  1121 8.4195e+10   72   92 8.2838e+10 8.6348e+10  4.24%  54.3   65s
  2789  1299 8.4869e+10   99   86 8.2838e+10 8.6348e+10  4.24%  53.2   70s
  2932  1350 8.4807e+10  112   79 8.2838e+10 8.6348e+10  4.24%  53.4   75s
  3079  1407 8.5773e+10   62  122 8.2838e+10 8.6348e+10  4.24%  53.9   80s
  3189  1465 8.6348e+10   53   90 8.2838e+10 8.6348e+10  4.24%  53.8   86s
  3319  1542 8.4503e+10  120   69 8.2838e+10 8.6348e+10  4.24%  54.8   90s
  3459  1592 8.4807e+10  116   58 8.2838e+10 8.6348e+10  4.24%  54.9   95s
  3567  1632 8.6329e+10  121  115 8.2838e+10 8.6348e+10  4.24%  56.1  100s
  3772  1724 8.6348e+10   63   79 8.2838e+10 8.6348e+10  4.24%  55.9  105s
  3853  1761 8.6348e+10   80   94 8.2838e+10 8.6348e+10  4.24%  57.1  110s
