Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (linux64 - "Oracle Linux Server 9.4")

CPU model: Intel(R) Xeon(R) CPU E5-2660 v4 @ 2.00GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 28 physical cores, 28 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  3599.768439602
SoftMemLimit  16
NumericFocus  1
Threads  1

Academic license 2690100 - for non-commercial use only - registered to ju___@uclm.es
Optimize a model with 8419 rows, 2106 columns and 29033 nonzeros
Model fingerprint: 0x0d13e844
Variable types: 52 continuous, 2054 integer (2054 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+13]
  Objective range  [1e+09, 5e+09]
  Bounds range     [1e+03, 1e+04]
  RHS range        [1e+00, 2e+14]
Warning: Model contains large matrix coefficient range
Warning: Model contains large objective coefficients
Warning: Model contains large rhs
Found heuristic solution: objective -0.0000000
Presolve removed 1903 rows and 138 columns
Presolve time: 0.14s
Presolved: 6516 rows, 1968 columns, 24043 nonzeros
Variable types: 52 continuous, 1916 integer (1916 binary)

Root relaxation: objective 8.040654e+10, 739 iterations, 0.02 seconds (0.01 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 8.0407e+10    0   42   -0.00000 8.0407e+10      -     -    0s
H    0     0                    1.849124e+10 8.0407e+10   335%     -    0s
     0     0 8.0000e+10    0  132 1.8491e+10 8.0000e+10   333%     -    0s
     0     0 8.0000e+10    0  124 1.8491e+10 8.0000e+10   333%     -    0s
H    0     0                    2.741924e+10 7.9560e+10   190%     -    0s
     0     0 7.9560e+10    0  122 2.7419e+10 7.9560e+10   190%     -    0s
     0     0 7.9560e+10    0  264 2.7419e+10 7.9560e+10   190%     -    0s
H    0     0                    3.005756e+10 7.9560e+10   165%     -    0s
     0     0 7.9560e+10    0  221 3.0058e+10 7.9560e+10   165%     -    0s
     0     0 7.9560e+10    0  291 3.0058e+10 7.9560e+10   165%     -    0s
     0     0 7.9560e+10    0  222 3.0058e+10 7.9560e+10   165%     -    0s
     0     0 7.9560e+10    0   32 3.0058e+10 7.9560e+10   165%     -    1s
     0     0 7.9560e+10    0   34 3.0058e+10 7.9560e+10   165%     -    1s
     0     0 7.9560e+10    0   39 3.0058e+10 7.9560e+10   165%     -    1s
     0     0 7.9560e+10    0   10 3.0058e+10 7.9560e+10   165%     -    1s
     0     0 7.9560e+10    0   11 3.0058e+10 7.9560e+10   165%     -    1s
     0     0 7.9560e+10    0   11 3.0058e+10 7.9560e+10   165%     -    1s
     0     0 7.9560e+10    0    7 3.0058e+10 7.9560e+10   165%     -    1s
     0     0 7.9560e+10    0   14 3.0058e+10 7.9560e+10   165%     -    1s
     0     0 7.9560e+10    0    8 3.0058e+10 7.9560e+10   165%     -    1s
H    0     0                    3.564602e+10 7.9560e+10   123%     -    1s
     0     0 7.9560e+10    0    8 3.5646e+10 7.9560e+10   123%     -    1s
     0     0 7.9560e+10    0   12 3.5646e+10 7.9560e+10   123%     -    1s
     0     0 7.9560e+10    0   26 3.5646e+10 7.9560e+10   123%     -    1s
     0     0 7.9560e+10    0   18 3.5646e+10 7.9560e+10   123%     -    1s
     0     0 7.9560e+10    0   12 3.5646e+10 7.9560e+10   123%     -    1s
     0     2 7.9560e+10    0   12 3.5646e+10 7.9560e+10   123%     -    2s
H   52    37                    4.186056e+10 7.9560e+10  90.1%  48.8    2s
H   78    51                    4.481070e+10 7.9560e+10  77.5%  43.5    3s
   318   117 7.9560e+10    6  226 4.4811e+10 7.9560e+10  77.5%  24.0    5s
H  546   246                    4.803978e+10 7.9560e+10  65.6%  23.2    6s
H  573   253                    5.067810e+10 7.9560e+10  57.0%  23.6    6s
H  681   359                    5.429396e+10 7.9560e+10  46.5%  22.2    7s
H  708   381                    5.849018e+10 7.9560e+10  36.0%  21.9    8s
H  725   375                    6.090076e+10 7.9560e+10  30.6%  21.6   10s
H  728   358                    6.451662e+10 7.9560e+10  23.3%  21.5   10s
   818   419 7.9560e+10   76  290 6.4517e+10 7.9560e+10  23.3%  40.3   15s
  1059   445 7.9560e+10   35  129 6.4517e+10 7.9560e+10  23.3%  34.9   20s
H 1334   524                    6.681333e+10 7.9560e+10  19.1%  31.0   23s
  1362   535 7.9560e+10   21  107 6.6813e+10 7.9560e+10  19.1%  30.9   25s
  1510   616 7.5603e+10   69  160 6.6813e+10 7.9560e+10  19.1%  29.8   30s
H 1578   578                    6.969038e+10 7.9560e+10  14.2%  29.8   33s
  1653   624 7.5603e+10  119  143 6.9690e+10 7.9560e+10  14.2%  30.0   35s
  2027   814 7.9560e+10   66  203 6.9690e+10 7.9560e+10  14.2%  28.6   40s
  2231   954 7.1976e+10  194   75 6.9690e+10 7.9560e+10  14.2%  28.3   45s
H 2578  1088                    7.232870e+10 7.9560e+10  10.0%  27.7   49s
H 2587  1085                    7.236834e+10 7.9560e+10  9.94%  27.7   50s
H 2587  1085                    7.237337e+10 7.9560e+10  9.93%  27.7   50s
H 2587  1084                    7.353399e+10 7.9560e+10  8.20%  27.7   50s
