Item ident;Id truck;Id stack;Item code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
0090016200_14062023019713;P192138401;P192138401_1;A1;0;0;0;1600;1200;930
0090016200_14062023019713;P192138401;P192138401_1;A2;0;0;930;1600;1200;1815
0090016200_14062023019713;P192138401;P192138401_1;A3;0;0;1815;1600;1200;2700
0090016200_14062023026279;P192138401;P192138401_2;B1;0;1200;0;1600;2400;750
0090016200_14062023026279;P192138401;P192138401_2;B2;0;1200;750;1600;2400;1455
0090016200_14062023026279;P192138401;P192138401_2;B3;0;1200;1455;1600;2400;2160
0090016200_14062023026279;P192138401;P192138401_2;B4;0;1200;2160;1600;2400;2865
0090016200_14062023009673;P192138401;P192138401_3;C1;1600;0;0;3200;1200;765
0090016200_14062023009673;P192138401;P192138401_3;C2;1600;0;765;3200;1200;1485
0090016200_14062023009673;P192138401;P192138401_3;C3;1600;0;1485;3200;1200;2205
0090016200_14062023009673;P192138401;P192138401_3;C4;1600;0;2205;3200;1200;2925
0090016200_14062023009673;P192138401;P192138401_4;D1;1600;1200;0;3200;2400;765
0090016200_14062023009673;P192138401;P192138401_4;D2;1600;1200;765;3200;2400;1485
0090016200_14062023009673;P192138401;P192138401_4;D3;1600;1200;1485;3200;2400;2205
0090016200_14062023009673;P192138401;P192138401_4;D4;1600;1200;2205;3200;2400;2925
0090016200_14062023026279;P192138401;P192138401_5;E1;3200;0;0;4800;1200;750
0090016200_14062023026279;P192138401;P192138401_5;E2;3200;0;750;4800;1200;1455
0090016200_14062023026279;P192138401;P192138401_5;E3;3200;0;1455;4800;1200;2160
0090016200_14062023026279;P192138401;P192138401_5;E4;3200;0;2160;4800;1200;2865
0090016200_14062023009673;P192138401;P192138401_6;F1;3200;1200;0;4800;2400;765
0090016200_14062023009673;P192138401;P192138401_6;F2;3200;1200;765;4800;2400;1485
0090016200_14062023009673;P192138401;P192138401_6;F3;3200;1200;1485;4800;2400;2205
0090016200_14062023009673;P192138401;P192138401_6;F4;3200;1200;2205;4800;2400;2925
0090016200_14062023026279;P192138401;P192138401_7;G1;4800;0;0;6400;1200;750
0090016200_14062023026279;P192138401;P192138401_7;G2;4800;0;750;6400;1200;1455
0090016200_14062023026279;P192138401;P192138401_7;G3;4800;0;1455;6400;1200;2160
0090016200_14062023026279;P192138401;P192138401_7;G4;4800;0;2160;6400;1200;2865
0090016200_14062023009673;P192138401;P192138401_8;H1;4800;1200;0;6400;2400;765
0090016200_14062023009673;P192138401;P192138401_8;H2;4800;1200;765;6400;2400;1485
0090016200_14062023009673;P192138401;P192138401_8;H3;4800;1200;1485;6400;2400;2205
0090016200_14062023009673;P192138401;P192138401_8;H4;4800;1200;2205;6400;2400;2925
0090016200_14062023023504;P192138401;P192138401_9;I1;6400;6;0;7400;1206;975
0090016200_14062023023504;P192138401;P192138401_9;I2;6400;6;975;7400;1206;1905
0090016200_14062023023504;P192138401;P192138401_9;I3;6400;6;1905;7400;1206;2835
0090016200_14062023009673;P192138401;P192138401_10;J1;6400;1206;0;8000;2406;765
0090016200_14062023009673;P192138401;P192138401_10;J2;6400;1206;765;8000;2406;1485
0090016200_14062023009673;P192138401;P192138401_10;J3;6400;1206;1485;8000;2406;2205
0090016200_14062023009673;P192138401;P192138401_10;J4;6400;1206;2205;8000;2406;2925
0090016200_14062023019713;P192138401;P192138401_11;K1;7400;0;0;9000;1200;930
0090016200_14062023019713;P192138401;P192138401_11;K2;7400;0;930;9000;1200;1815
0090016200_14062023019713;P192138401;P192138401_11;K3;7400;0;1815;9000;1200;2700
0090016200_14062023023504;P192138401;P192138401_12;L1;8000;1206;0;9000;2406;975
0090016200_14062023023504;P192138401;P192138401_12;L2;8000;1206;975;9000;2406;1905
0090016200_14062023023504;P192138401;P192138401_12;L3;8000;1206;1905;9000;2406;2835
0090016200_14062023014824;P192138401;P192138401_13;M1;9000;0;0;10010;1206;1185
0090016200_14062023023504;P192138401;P192138401_14;N1;9000;1206;0;10000;2406;975
0090016200_14062023023504;P192138401;P192138401_14;N2;9000;1206;975;10000;2406;1905
0090016200_14062023023504;P192138401;P192138401_14;N3;9000;1206;1905;10000;2406;2835
0090016200_14062023019713;P192138401;P192138401_15;O1;10010;6;0;11610;1206;930
0090016200_14062023009673;P192138401;P192138401_15;O2;10010;6;930;11610;1206;1650
0090016200_14062023009673;P192138401;P192138401_15;O3;10010;6;1650;11610;1206;2370
0090016200_14062023026279;P192138401;P192138401_16;P1;10010;1206;0;11610;2406;750
0090016200_14062023026279;P192138401;P192138401_16;P2;10010;1206;750;11610;2406;1455
0090016200_14062023026279;P192138401;P192138401_16;P3;10010;1206;1455;11610;2406;2160
0090016200_14062023026279;P192138401;P192138401_16;P4;10010;1206;2160;11610;2406;2865
0090016200_14062023009673;P192138401;P192138401_17;Q1;11610;6;0;13210;1206;765
0090016200_14062023026279;P192138401;P192138401_17;Q2;11610;6;765;13210;1206;1470
0090016200_14062023026279;P192138401;P192138401_17;Q3;11610;6;1470;13210;1206;2175
0090016200_14062023026279;P192138401;P192138401_17;Q4;11610;6;2175;13210;1206;2880
0090016200_14062023026279;P192138401;P192138401_18;R1;11610;1206;0;13210;2406;750
