Item ident;Id truck;Id stack;Item code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
0091017700_08062023004962;P209574901;P209574901_1;A1;0;6;0;1000;1206;975
0091017700_08062023004962;P209574901;P209574901_1;A2;0;6;975;1000;1206;1905
0091017700_08062023004962;P209574901;P209574901_1;A3;0;6;1905;1000;1206;2835
0091017700_08062023005052;P209574901;P209574901_2;B1;0;1206;0;1010;2412;785
0091017700_08062023005052;P209574901;P209574901_2;B2;0;1206;785;1010;2412;1570
0091017700_08062023005052;P209574901;P209574901_2;B3;0;1206;1570;1010;2412;2355
0091017700_08062023005052;P209574901;P209574901_3;C1;1000;0;0;2010;1206;785
0091017700_08062023005052;P209574901;P209574901_3;C2;1000;0;785;2010;1206;1570
0091017700_08062023005052;P209574901;P209574901_3;C3;1000;0;1570;2010;1206;2355
0091017700_08062023004962;P209574901;P209574901_4;D1;1010;1212;0;2010;2412;975
0091017700_08062023004962;P209574901;P209574901_4;D2;1010;1212;975;2010;2412;1905
0091017700_08062023004962;P209574901;P209574901_4;D3;1010;1212;1905;2010;2412;2835
0091017700_08062023004421;P209574901;P209574901_5;E1;2010;6;0;3010;1206;975
0091017700_08062023004962;P209574901;P209574901_5;E2;2010;6;975;3010;1206;1905
0091017700_08062023004962;P209574901;P209574901_5;E3;2010;6;1905;3010;1206;2835
0091017700_08062023004421;P209574901;P209574901_6;F1;2010;1206;0;3010;2406;975
0091017700_08062023004421;P209574901;P209574901_6;F2;2010;1206;975;3010;2406;1905
0091017700_08062023004421;P209574901;P209574901_6;F3;2010;1206;1905;3010;2406;2835
0091017700_08062023003950;P209574901;P209574901_7;G1;3010;0;0;4020;1206;785
0091017700_08062023003950;P209574901;P209574901_7;G2;3010;0;785;4020;1206;1570
0091017700_08062023003950;P209574901;P209574901_7;G3;3010;0;1570;4020;1206;2355
0091017700_08062023001574;P209574901;P209574901_8;H1;3010;1206;0;4020;2412;785
0091017700_08062023001574;P209574901;P209574901_8;H2;3010;1206;785;4020;2412;1570
0091017700_08062023001574;P209574901;P209574901_8;H3;3010;1206;1570;4020;2412;2355
0091017700_08062023001574;P209574901;P209574901_9;I1;4020;0;0;5030;1206;785
0091017700_08062023001574;P209574901;P209574901_9;I2;4020;0;785;5030;1206;1570
0091017700_08062023001574;P209574901;P209574901_9;I3;4020;0;1570;5030;1206;2355
0091017700_08062023002224;P209574901;P209574901_10;J1;4020;1206;0;5020;2406;975
0091017700_08062023002224;P209574901;P209574901_10;J2;4020;1206;975;5020;2406;1905
0091017700_08062023002224;P209574901;P209574901_10;J3;4020;1206;1905;5020;2406;2835
0091017700_08062023001801;P209574901;P209574901_11;K1;5030;0;0;6030;1200;975
0091017700_08062023001801;P209574901;P209574901_11;K2;5030;0;975;6030;1200;1905
0091017700_08062023002098;P209574901;P209574901_11;K3;5030;0;1905;6030;1200;2835
0091017700_08062023000115;P209574901;P209574901_12;L1;5030;1206;0;6030;2406;975
0091017700_08062023001801;P209574901;P209574901_12;L2;5030;1206;975;6030;2406;1905
0091017700_08062023001801;P209574901;P209574901_12;L3;5030;1206;1905;6030;2406;2835
0091017700_08062023003241;P209574901;P209574901_13;M1;6030;0;0;7040;1206;985
0091017700_08062023003353;P209574901;P209574901_13;M2;6030;0;985;7040;1206;1970
0091017700_08062023003353;P209574901;P209574901_13;M3;6030;0;1970;7040;1206;2955
0091017700_08062023005814;P209574901;P209574901_14;N1;6030;1212;0;7030;2412;975
0091017700_08062023005814;P209574901;P209574901_14;N2;6030;1212;975;7030;2412;1905
0091017700_08062023005615;P209574901;P209574901_15;O1;7030;1212;0;8030;2412;975
0091017700_08062023005615;P209574901;P209574901_15;O2;7030;1212;975;8030;2412;1905
0091017700_08062023005704;P209574901;P209574901_15;O3;7030;1212;1905;8030;2412;2835
0091017700_08062023002253;P209574901;P209574901_16;P1;7040;0;0;8040;1200;975
0091017700_08062023002253;P209574901;P209574901_16;P2;7040;0;975;8040;1200;1905
0091017700_08062023003806;P209574901;P209574901_16;P3;7040;0;1905;8040;1200;2835
0091017700_08062023003905;P209574901;P209574901_17;Q1;8030;1212;0;9030;2412;975
0091017700_08062023005448;P209574901;P209574901_17;Q2;8030;1212;975;9030;2412;1905
0091017700_08062023005615;P209574901;P209574901_17;Q3;8030;1212;1905;9030;2412;2835
0091017700_08062023000049;P209574901;P209574901_18;R1;8040;0;0;9050;1206;985
0091017700_08062023000049;P209574901;P209574901_18;R2;8040;0;985;9050;1206;1970
0091017700_08062023000049;P209574901;P209574901_18;R3;8040;0;1970;9050;1206;2955
0091017700_08062023005615;P209574901;P209574901_19;S1;9030;1212;0;10030;2412;975
0091017700_08062023005615;P209574901;P209574901_19;S2;9030;1212;975;10030;2412;1905
0091017700_08062023005615;P209574901;P209574901_19;S3;9030;1212;1905;10030;2412;2835
0091017700_08062023002103;P209574901;P209574901_20;T1;9050;0;0;10050;1200;975
0091017700_08062023002103;P209574901;P209574901_20;T2;9050;0;975;10050;1200;1905
0091017700_08062023002253;P209574901;P209574901_20;T3;9050;0;1905;10050;1200;2835
0091017700_08062023003353;P209574901;P209574901_21;U1;10030;1200;0;11236;2210;985
0091017700_08062023003806;P209574901;P209574901_22;V1;10050;0;0;11050;1200;975
0091017700_08062023003905;P209574901;P209574901_22;V2;10050;0;975;11050;1200;1905
0091017700_08062023003905;P209574901;P209574901_22;V3;10050;0;1905;11050;1200;2835
0091017700_08062023003905;P209574901;P209574901_23;W1;11236;0;0;12236;1200;975
0091017700_08062023003905;P209574901;P209574901_23;W2;11236;0;975;12236;1200;1905
0091017700_08062023003905;P209574901;P209574901_23;W3;11236;0;1905;12236;1200;2835
0091017700_08062023000049;P209574901;P209574901_24;X1;11236;1200;0;12246;2406;985
0091017700_08062023000548;P209574901;P209574901_24;X2;11236;1200;985;12246;2406;1970
0091017700_08062023003241;P209574901;P209574901_24;X3;11236;1200;1970;12246;2406;2955
0091017700_08062023002098;P209574901;P209574901_25;Y1;12236;0;0;13236;1200;975
0091017700_08062023002098;P209574901;P209574901_25;Y2;12236;0;975;13236;1200;1905
0091017700_08062023002098;P209574901;P209574901_25;Y3;12236;0;1905;13236;1200;2835
0091017700_08062023002098;P209574901;P209574901_26;Z1;12246;1212;0;13246;2412;975
0091017700_08062023002098;P209574901;P209574901_26;Z2;12246;1212;975;13246;2412;1905
0091017700_08062023002098;P209574901;P209574901_26;Z3;12246;1212;1905;13246;2412;2835
