Id truck;Id stack;Stack code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
P209574901;P209574901_1;A;0;6;0;1000;1206;2835
P209574901;P209574901_2;B;0;1206;0;1010;2412;2355
P209574901;P209574901_3;C;1000;0;0;2010;1206;2355
P209574901;P209574901_4;D;1010;1212;0;2010;2412;2835
P209574901;P209574901_5;E;2010;6;0;3010;1206;2835
P209574901;P209574901_6;F;2010;1206;0;3010;2406;2835
P209574901;P209574901_7;G;3010;0;0;4020;1206;2355
P209574901;P209574901_8;H;3010;1206;0;4020;2412;2355
P209574901;P209574901_9;I;4020;0;0;5030;1206;2355
P209574901;P209574901_10;J;4020;1206;0;5020;2406;2835
P209574901;P209574901_11;K;5030;0;0;6030;1200;2835
P209574901;P209574901_12;L;5030;1206;0;6030;2406;2835
P209574901;P209574901_13;M;6030;0;0;7040;1206;2955
P209574901;P209574901_14;N;6030;1212;0;7030;2412;1905
P209574901;P209574901_15;O;7030;1212;0;8030;2412;2835
P209574901;P209574901_16;P;7040;0;0;8040;1200;2835
P209574901;P209574901_17;Q;8030;1212;0;9030;2412;2835
P209574901;P209574901_18;R;8040;0;0;9050;1206;2955
P209574901;P209574901_19;S;9030;1212;0;10030;2412;2835
P209574901;P209574901_20;T;9050;0;0;10050;1200;2835
P209574901;P209574901_21;U;10030;1200;0;11236;2210;985
P209574901;P209574901_22;V;10050;0;0;11050;1200;2835
P209574901;P209574901_23;W;11236;0;0;12236;1200;2835
P209574901;P209574901_24;X;11236;1200;0;12246;2406;2955
P209574901;P209574901_25;Y;12236;0;0;13236;1200;2835
P209574901;P209574901_26;Z;12246;1212;0;13246;2412;2835
