Item ident;Id truck;Id stack;Item code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
0091017200_08062023000023;P199630901;P199630901_1;A1;0;0;0;1000;1200;975
0091017200_08062023000023;P199630901;P199630901_1;A2;0;0;975;1000;1200;1905
0091017200_08062023000023;P199630901;P199630901_1;A3;0;0;1905;1000;1200;2835
0091017200_08062023000046;P199630901;P199630901_2;B1;0;1200;0;1000;2400;975
0091017200_08062023000046;P199630901;P199630901_2;B2;0;1200;975;1000;2400;1905
0091017200_08062023000046;P199630901;P199630901_2;B3;0;1200;1905;1000;2400;2835
0091017200_08062023000088;P199630901;P199630901_3;C1;1000;0;0;2000;1200;975
0091017200_08062023000088;P199630901;P199630901_3;C2;1000;0;975;2000;1200;1905
0091017200_08062023000098;P199630901;P199630901_3;C3;1000;0;1905;2000;1200;2835
0091017200_08062023000023;P199630901;P199630901_4;D1;1000;1200;0;2000;2400;975
0091017200_08062023000023;P199630901;P199630901_4;D2;1000;1200;975;2000;2400;1905
0091017200_08062023000023;P199630901;P199630901_4;D3;1000;1200;1905;2000;2400;2835
0091017200_08062023000023;P199630901;P199630901_5;E1;2000;0;0;3000;1200;975
0091017200_08062023000023;P199630901;P199630901_5;E2;2000;0;975;3000;1200;1905
0091017200_08062023000023;P199630901;P199630901_5;E3;2000;0;1905;3000;1200;2835
0091017200_08062023000098;P199630901;P199630901_6;F1;2000;1200;0;3000;2400;975
0091017200_08062023000105;P199630901;P199630901_6;F2;2000;1200;975;3000;2400;1905
0091017200_08062023000105;P199630901;P199630901_6;F3;2000;1200;1905;3000;2400;2835
0091017200_08062023000023;P199630901;P199630901_7;G1;3000;0;0;4000;1200;975
0091017200_08062023000023;P199630901;P199630901_7;G2;3000;0;975;4000;1200;1905
0091017200_08062023000023;P199630901;P199630901_7;G3;3000;0;1905;4000;1200;2835
0091017200_08062023000010;P199630901;P199630901_8;H1;3000;1400;0;4200;2400;975
0091017200_08062023000010;P199630901;P199630901_8;H2;3000;1400;975;4200;2400;1905
