Id truck;Id stack;Stack code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
P199630901;P199630901_1;A;0;0;0;1000;1200;2835
P199630901;P199630901_2;B;0;1200;0;1000;2400;2835
P199630901;P199630901_3;C;1000;0;0;2000;1200;2835
P199630901;P199630901_4;D;1000;1200;0;2000;2400;2835
P199630901;P199630901_5;E;2000;0;0;3000;1200;2835
P199630901;P199630901_6;F;2000;1200;0;3000;2400;2835
P199630901;P199630901_7;G;3000;0;0;4000;1200;2835
P199630901;P199630901_8;H;3000;1400;0;4200;2400;2835
P199630901;P199630901_9;I;4000;0;0;5000;1200;2835
P199630901;P199630901_10;J;4200;1200;0;5200;2400;2835
P199630901;P199630901_11;K;5000;0;0;6000;1200;2835
P199630901;P199630901_12;L;5200;1200;0;6200;2400;2835
P199630901;P199630901_13;M;6000;200;0;7200;1200;2835
P199630901;P199630901_14;N;6200;1200;0;7200;2400;2835
P199630901;P199630901_15;O;7200;0;0;8200;1200;2835
P199630901;P199630901_16;P;7200;1400;0;8400;2400;2835
P199630901;P199630901_17;Q;8200;0;0;9200;1200;2835
P199630901;P199630901_18;R;8400;1200;0;9400;2400;1905
P199630901;P199630901_19;S;9400;0;0;10400;1200;1905
P199630901;P199630901_20;T;9400;1200;0;10400;2400;1905
P199630901;P199630901_21;U;10400;0;0;11400;1200;1905
P199630901;P199630901_22;V;10400;1200;0;11400;2400;1905
P199630901;P199630901_23;W;11400;0;0;12400;1200;1905
P199630901;P199630901_24;X;11400;1200;0;12400;2400;1905
P199630901;P199630901_25;Y;12400;0;0;13400;1200;1905
P199630901;P199630901_26;Z;12400;1200;0;13400;2400;1905
