Item ident;Id truck;Id stack;Item code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
0090017100_14062023004721;P200050703;P200050703_1;A1;0;0;0;1000;1200;975
0090017100_14062023004721;P200050703;P200050703_1;A2;0;0;975;1000;1200;1905
0090017100_14062023006707;P200050703;P200050703_1;A3;0;0;1905;1000;1200;2835
0090017100_14062023013074;P200050703;P200050703_2;B1;0;1200;0;1000;2400;975
0090017100_14062023013074;P200050703;P200050703_2;B2;0;1200;975;1000;2400;1905
0090017100_14062023013074;P200050703;P200050703_2;B3;0;1200;1905;1000;2400;2835
0090017100_14062023004721;P200050703;P200050703_3;C1;1000;0;0;2000;1200;975
0090017100_14062023004721;P200050703;P200050703_3;C2;1000;0;975;2000;1200;1905
0090017100_14062023004721;P200050703;P200050703_3;C3;1000;0;1905;2000;1200;2835
0090017100_14062023013074;P200050703;P200050703_4;D1;1000;1200;0;2000;2400;975
0090017100_14062023019735;P200050703;P200050703_4;D2;1000;1200;975;2000;2400;1860
0090017100_14062023006707;P200050703;P200050703_5;E1;2000;200;0;3200;1200;975
0090017100_14062023013074;P200050703;P200050703_5;E2;2000;200;975;3200;1200;1905
0090017100_14062023013074;P200050703;P200050703_5;E3;2000;200;1905;3200;1200;2835
0090017100_14062023015546;P200050703;P200050703_6;F1;2000;1200;0;3200;2200;975
0090017100_14062023015954;P200050703;P200050703_6;F2;2000;1200;975;3200;2200;1905
0090017100_14062023015954;P200050703;P200050703_6;F3;2000;1200;1905;3200;2200;2835
0090017100_14062023021703;P200050703;P200050703_7;G1;3200;190;0;4406;1200;1185
0090017100_14062023024581;P200050703;P200050703_7;G2;3200;190;1185;4406;1200;2270
0090017100_14062023007165;P200050703;P200050703_8;H1;3200;1212;0;4200;2412;930
0090017100_14062023007165;P200050703;P200050703_8;H2;3200;1212;930;4200;2412;1815
0090017100_14062023007165;P200050703;P200050703_8;H3;3200;1212;1815;4200;2412;2700
0090017100_14062023002314;P200050703;P200050703_9;I1;4406;0;0;5406;1200;930
0090017100_14062023002314;P200050703;P200050703_9;I2;4406;0;930;5406;1200;1815
0090017100_14062023002314;P200050703;P200050703_9;I3;4406;0;1815;5406;1200;2700
0090017100_14062023007312;P200050703;P200050703_10;J1;4406;1200;0;5406;2400;975
0090017100_14062023007312;P200050703;P200050703_10;J2;4406;1200;975;5406;2400;1905
0090017100_14062023007312;P200050703;P200050703_10;J3;4406;1200;1905;5406;2400;2835
0090017100_14062023022189;P200050703;P200050703_11;K1;5406;0;0;6406;1200;975
0090017100_14062023022189;P200050703;P200050703_11;K2;5406;0;975;6406;1200;1905
0090017100_14062023022189;P200050703;P200050703_11;K3;5406;0;1905;6406;1200;2835
0090017100_14062023022473;P200050703;P200050703_12;L1;5406;1200;0;6406;2400;975
0090017100_14062023022473;P200050703;P200050703_12;L2;5406;1200;975;6406;2400;1905
0090017100_14062023022542;P200050703;P200050703_12;L3;5406;1200;1905;6406;2400;2835
0090017100_14062023022189;P200050703;P200050703_13;M1;6406;0;0;7406;1200;975
0090017100_14062023022189;P200050703;P200050703_13;M2;6406;0;975;7406;1200;1905
0090017100_14062023022473;P200050703;P200050703_13;M3;6406;0;1905;7406;1200;2835
0090017100_14062023002585;P200050703;P200050703_14;N1;6406;1200;0;7406;2400;975
0090017100_14062023002585;P200050703;P200050703_14;N2;6406;1200;975;7406;2400;1905
0090017100_14062023002585;P200050703;P200050703_14;N3;6406;1200;1905;7406;2400;2835
0090017100_14062023028885;P200050703;P200050703_15;O1;7406;0;0;8406;1200;975
