Id truck;Id stack;Stack code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
P192050601;P192050601_1;A;0;0;0;1000;1200;2790
P192050601;P192050601_2;B;0;1212;0;1000;2412;2835
P192050601;P192050601_3;C;1000;0;0;2200;1800;2055
P192050601;P192050601_4;D;2200;12;0;3200;1212;2835
P192050601;P192050601_5;E;2200;1212;0;3200;2412;2835
P192050601;P192050601_6;F;3200;12;0;4200;1212;2835
P192050601;P192050601_7;G;3200;1212;0;4200;2412;2835
P192050601;P192050601_8;H;4200;0;0;5200;1200;2835
P192050601;P192050601_9;I;4200;1212;0;5200;2412;2835
P192050601;P192050601_10;J;5200;0;0;6200;1200;2835
P192050601;P192050601_11;K;5200;1200;0;6200;2400;2700
P192050601;P192050601_12;L;6200;0;0;7200;1200;2835
P192050601;P192050601_13;M;6200;1200;0;7210;2406;2270
P192050601;P192050601_14;N;7200;0;0;8200;1200;2700
P192050601;P192050601_15;O;7210;1200;0;8210;2400;2835
P192050601;P192050601_16;P;8210;0;0;9210;1200;2835
P192050601;P192050601_17;Q;8210;1212;0;9210;2412;2835
P192050601;P192050601_18;R;9210;0;0;10210;1200;2790
P192050601;P192050601_19;S;9210;1200;0;10210;2400;2700
P192050601;P192050601_20;T;10210;200;0;11410;1200;2700
P192050601;P192050601_21;U;10210;1200;0;11220;2406;2170
P192050601;P192050601_22;V;11410;0;0;12410;1200;2835
P192050601;P192050601_23;W;11410;1200;0;12410;2400;2835
P192050601;P192050601_24;X;12410;0;0;13410;1200;2835
P192050601;P192050601_25;Y;12410;1212;0;13410;2412;2835
