Item ident;Id truck;Id stack;Item code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
0090017100_08062023014484;P172156215;P172156215_1;A1;0;0;0;1600;1200;930
0090017100_08062023014484;P172156215;P172156215_1;A2;0;0;930;1600;1200;1815
0090017100_08062023014484;P172156215;P172156215_1;A3;0;0;1815;1600;1200;2700
0090017100_08062023014484;P172156215;P172156215_2;B1;0;1200;0;1600;2400;930
0090017100_08062023014484;P172156215;P172156215_2;B2;0;1200;930;1600;2400;1815
0090017100_08062023014484;P172156215;P172156215_2;B3;0;1200;1815;1600;2400;2700
0090017100_08062023014484;P172156215;P172156215_3;C1;1600;0;0;3200;1200;930
0090017100_08062023016399;P172156215;P172156215_3;C2;1600;0;930;3200;1200;1815
0090017100_08062023016399;P172156215;P172156215_3;C3;1600;0;1815;3200;1200;2700
0090017100_08062023004090;P172156215;P172156215_4;D1;1600;1200;0;3200;2400;930
0090017100_08062023004090;P172156215;P172156215_4;D2;1600;1200;930;3200;2400;1815
0090017100_08062023004090;P172156215;P172156215_4;D3;1600;1200;1815;3200;2400;2700
0090017100_08062023006626;P172156215;P172156215_5;E1;3200;0;0;4800;1200;930
0090017100_08062023006626;P172156215;P172156215_5;E2;3200;0;930;4800;1200;1815
0090017100_08062023006626;P172156215;P172156215_5;E3;3200;0;1815;4800;1200;2700
0090017100_08062023004090;P172156215;P172156215_6;F1;3200;1200;0;4800;2400;930
0090017100_08062023004090;P172156215;P172156215_6;F2;3200;1200;930;4800;2400;1815
0090017100_08062023006626;P172156215;P172156215_6;F3;3200;1200;1815;4800;2400;2700
0090017100_08062023021025;P172156215;P172156215_7;G1;4800;0;0;5800;1200;750
0090017100_08062023022880;P172156215;P172156215_7;G2;4800;0;750;5800;1200;1455
0090017100_08062023024219;P172156215;P172156215_7;G3;4800;0;1455;5800;1200;2160
0090017100_08062023024219;P172156215;P172156215_7;G4;4800;0;2160;5800;1200;2865
0090017100_08062023021025;P172156215;P172156215_8;H1;4800;1200;0;5800;2400;750
0090017100_08062023021025;P172156215;P172156215_8;H2;4800;1200;750;5800;2400;1455
0090017100_08062023021025;P172156215;P172156215_8;H3;4800;1200;1455;5800;2400;2160
0090017100_08062023021025;P172156215;P172156215_8;H4;4800;1200;2160;5800;2400;2865
0090017100_08062023011409;P172156215;P172156215_9;I1;5800;0;0;6800;1200;750
0090017100_08062023011409;P172156215;P172156215_9;I2;5800;0;750;6800;1200;1455
0090017100_08062023016461;P172156215;P172156215_9;I3;5800;0;1455;6800;1200;2160
0090017100_08062023016461;P172156215;P172156215_9;I4;5800;0;2160;6800;1200;2865
0090017100_08062023016399;P172156215;P172156215_10;J1;5800;1200;0;7400;2400;930
0090017100_08062023006961;P172156215;P172156215_10;J2;5800;1200;930;7400;2400;1635
0090017100_08062023013337;P172156215;P172156215_10;J3;5800;1200;1635;7400;2400;2340
0090017100_08062023006626;P172156215;P172156215_11;K1;6800;0;0;8400;1200;930
0090017100_08062023006626;P172156215;P172156215_11;K2;6800;0;930;8400;1200;1815
0090017100_08062023009818;P172156215;P172156215_11;K3;6800;0;1815;8400;1200;2700
0090017100_08062023009818;P172156215;P172156215_12;L1;7400;1200;0;9000;2400;930
0090017100_08062023014484;P172156215;P172156215_12;L2;7400;1200;930;9000;2400;1815
0090017100_08062023014484;P172156215;P172156215_12;L3;7400;1200;1815;9000;2400;2700
0090017100_08062023011409;P172156215;P172156215_13;M1;8400;0;0;9400;1200;750
0090017100_08062023011409;P172156215;P172156215_13;M2;8400;0;750;9400;1200;1455
0090017100_08062023011409;P172156215;P172156215_13;M3;8400;0;1455;9400;1200;2160
0090017100_08062023011409;P172156215;P172156215_13;M4;8400;0;2160;9400;1200;2865
0090017100_08062023016399;P172156215;P172156215_14;N1;9000;1200;0;10600;2400;930
0090017100_08062023016399;P172156215;P172156215_14;N2;9000;1200;930;10600;2400;1815
0090017100_08062023016399;P172156215;P172156215_14;N3;9000;1200;1815;10600;2400;2700
0090017100_08062023006626;P172156215;P172156215_15;O1;9400;0;0;11000;1200;930
0090017100_08062023006626;P172156215;P172156215_15;O2;9400;0;930;11000;1200;1815
0090017100_08062023006626;P172156215;P172156215_15;O3;9400;0;1815;11000;1200;2700
0090017100_08062023021953;P172156215;P172156215_16;P1;10600;1200;0;12200;2400;750
0090017100_08062023022382;P172156215;P172156215_16;P2;10600;1200;750;12200;2400;1455
0090017100_08062023024186;P172156215;P172156215_16;P3;10600;1200;1455;12200;2400;2160
0090017100_08062023010293;P172156215;P172156215_17;Q1;11000;0;0;12000;1200;750
0090017100_08062023010293;P172156215;P172156215_17;Q2;11000;0;750;12000;1200;1455
0090017100_08062023010293;P172156215;P172156215_17;Q3;11000;0;1455;12000;1200;2160
0090017100_08062023010293;P172156215;P172156215_17;Q4;11000;0;2160;12000;1200;2865
0090017100_08062023001697;P172156215;P172156215_18;R1;12200;0;0;13200;1200;750
0090017100_08062023001697;P172156215;P172156215_18;R2;12200;0;750;13200;1200;1455
0090017100_08062023005161;P172156215;P172156215_18;R3;12200;0;1455;13200;1200;2160
0090017100_08062023010293;P172156215;P172156215_18;R4;12200;0;2160;13200;1200;2865
0090017100_08062023001697;P172156215;P172156215_19;S1;12200;1200;0;13200;2400;750
0090017100_08062023001697;P172156215;P172156215_19;S2;12200;1200;750;13200;2400;1455
0090017100_08062023001697;P172156215;P172156215_19;S3;12200;1200;1455;13200;2400;2160
0090017100_08062023001697;P172156215;P172156215_19;S4;12200;1200;2160;13200;2400;2865
